Province,District,Commune,Vil_Code,Village,L1_HH,L2_HH,L1_Per_HH,L2_Per_HH,TOT_Per_HH,TOT_HH,Rounds,Scale
Banteay Meanchey,Mongkol Borei,Kouk Ballangk,1020402,Ta An,15,20,0.099,0.132,0.23,35,2010,1
Banteay Meanchey,Mongkol Borei,Kouk Ballangk,1020403,Pralay Chrey,17,20,0.109,0.128,0.237,37,2010,1
Banteay Meanchey,Mongkol Borei,Kouk Ballangk,1020404,Cheung Chab,15,20,0.105,0.14,0.245,35,2010,1
Banteay Meanchey,Mongkol Borei,Kouk Ballangk,1020405,Phat Sanday,8,23,0.06,0.173,0.233,31,2010,1
Banteay Meanchey,Mongkol Borei,Kouk Ballangk,1020406,Char Thmei,25,63,0.078,0.196,0.274,88,2010,2
Banteay Meanchey,Mongkol Borei,Kouk Ballangk,1020407,Ph'av Thmei,18,15,0.127,0.106,0.232,33,2010,1
Banteay Meanchey,Mongkol Borei,Kouk Ballangk,1020408,Ta Sal,14,22,0.09,0.141,0.231,36,2010,1
Banteay Meanchey,Mongkol Borei,Koy Maeng,1020501,Koy Maeng,20,25,0.111,0.139,0.25,45,2010,1
Banteay Meanchey,Mongkol Borei,Koy Maeng,1020502,Sdei Leu,8,18,0.046,0.103,0.149,26,2010,2
Banteay Meanchey,Mongkol Borei,Koy Maeng,1020503,Phlov Siem,5,30,0.023,0.138,0.161,35,2010,1
Banteay Meanchey,Mongkol Borei,Koy Maeng,1020504,Ta Nong,19,21,0.158,0.175,0.333,40,2010,1
Banteay Meanchey,Mongkol Borei,Koy Maeng,1020505,Angkar Khmau,13,41,0.083,0.261,0.344,54,2010,2
Banteay Meanchey,Mongkol Borei,Koy Maeng,1020506,Kasang Thmei,23,24,0.152,0.159,0.311,47,2010,1
Banteay Meanchey,Mongkol Borei,Koy Maeng,1020507,Stueng Chas,34,49,0.114,0.165,0.279,83,2010,2
Banteay Meanchey,Mongkol Borei,Koy Maeng,1020508,Sdei Kraom,17,11,0.083,0.054,0.137,28,2010,2
Banteay Meanchey,Mongkol Borei,Ou Prasat,1020601,Phnum Thum Tboung,38,35,0.113,0.104,0.217,73,2010,2
Banteay Meanchey,Mongkol Borei,Ou Prasat,1020602,Phnum Prasat,29,24,0.116,0.096,0.213,53,2010,2
Banteay Meanchey,Mongkol Borei,Ou Prasat,1020603,Phnum Thum Cheung,20,25,0.102,0.128,0.23,45,2010,1
Banteay Meanchey,Mongkol Borei,Ou Prasat,1020604,Chamkar Louk,20,35,0.08,0.14,0.22,55,2010,2
Banteay Meanchey,Mongkol Borei,Ou Prasat,1020605,Phnum Thum Thmei,20,32,0.093,0.149,0.242,52,2010,2
Banteay Meanchey,Mongkol Borei,Ou Prasat,1020606,Anlong Sdei,11,16,0.088,0.128,0.216,27,2010,4
Banteay Meanchey,Mongkol Borei,Ou Prasat,1020607,Kouk Thnong Kaeut,16,22,0.09,0.124,0.215,38,2010,1
Banteay Meanchey,Mongkol Borei,Ou Prasat,1020608,Kouk Thnong Kandal,11,14,0.095,0.121,0.216,25,2010,1
Banteay Meanchey,Mongkol Borei,Ou Prasat,1020609,Ou Snguot,37,18,0.157,0.076,0.233,55,2010,1
Banteay Meanchey,Mongkol Borei,Ou Prasat,1020610,Ou Prasat,17,32,0.082,0.154,0.236,49,2010,1
Banteay Meanchey,Mongkol Borei,Ou Prasat,1020611,Kouk Ampil,20,46,0.073,0.168,0.242,66,2010,2
Banteay Meanchey,Mongkol Borei,Ou Prasat,1020612,Ra Chamkar Chek,20,18,0.09,0.081,0.172,38,2010,1
Banteay Meanchey,Mongkol Borei,Ou Prasat,1020613,Pou Rieng,20,21,0.114,0.12,0.234,41,2010,1
Banteay Meanchey,Mongkol Borei,Ou Prasat,1020614,Rung Krabau,17,33,0.083,0.161,0.244,50,2010,1
Banteay Meanchey,Mongkol Borei,Phnum Touch,1020701,Phnum Touch Tboung,50,54,0.127,0.137,0.264,104,2010,2
Banteay Meanchey,Mongkol Borei,Phnum Touch,1020702,Phnum Touch Cheung,28,52,0.083,0.154,0.237,80,2010,2
Banteay Meanchey,Mongkol Borei,Phnum Touch,1020703,Thnal Bat,41,37,0.161,0.146,0.307,78,2010,1
Banteay Meanchey,Mongkol Borei,Phnum Touch,1020704,Ou Nhor,17,48,0.059,0.166,0.224,65,2010,2
Banteay Meanchey,Mongkol Borei,Phnum Touch,1020705,Boeng Tras,19,17,0.125,0.112,0.237,36,2010,1
Banteay Meanchey,Mongkol Borei,Phnum Touch,1020706,Monourom,17,9,0.153,0.081,0.234,26,2010,1
Banteay Meanchey,Mongkol Borei,Phnum Touch,1020707,Paoy Ta Sek,29,8,0.207,0.057,0.264,37,2010,2
