NCDD_CodeP,NCDD_CodeD,NCDD_CodeC,Commune,TT_Family,Commune_S,Corn_Ha,Corn_Yield,Cass_Ha,Cass_Yield,Cash_Ha,Cash_Yield,Mang_Ha,Mang_Yield,PigFarm,PigRaised,ChickFarm,ChickRaise,DuckFarm,DuckRaised,CowFarm,CowRaised,BuffFarm,BuffRaised,Rpig,Rpoultry,Rcow,Rbuff,RLUn_1Ha_N,RLUn_1Ha_P,Per_HH_El,Fami_Impro,Fami_Unim,RatImpLatH,RiField_Ha,Ratio
1,104,10409,Bos Sbov,2689,6827,0,0,193,1,0,0,0,0,390,769,1605,6827,310,2064,708,1411,13,46,1.9718,4.6428,1.9929,3.5385,255,9.4831,2.898551,138,63,5.132019,6349,93
1,105,10501,Changha,1517,950,10,5,0,0,10,1,5,3,92,826,1306,6528,106,1217,212,993,8,40,8.9783,5.4851,4.684,5,127,8.3718,38.910761,855,68,56.361239,200,21.05
1,105,10502,Koub,1974,2748,0,0,0,0,0,0,0,0,245,514,1272,5166,155,1012,257,792,0,0,2.098,4.3294,3.0817,0,521,26.3931,35.157042,710,171,35.967579,2432,88.5
1,105,10503,Kuttasat,1391,5500,6,2.5,0,0,0,0,0,0,260,448,855,6092,95,572,23,99,0,0,1.7231,7.0147,4.3043,0,43,3.0913,63.980661,777,28,55.859094,4804,87.35
1,105,10505,Samraong,1793,9674,0,0,0,0,0,0,0,0,291,448,868,4653,187,6156,77,208,2,11,1.5395,10.2455,2.7013,5.5,93,5.1868,25.412736,427,217,23.814835,7954,82.22
1,105,10506,Souphi,1194,7859,4,0.5,6,1.5,0,0,0,0,23,209,755,2379,29,445,126,465,1,3,9.087,3.602,3.6905,3,17,1.4238,18.705882,334,0,27.973199,5410,68.84
1,105,10507,Soengh,1474,8100,5,5,5,5,0,0,0,0,59,154,1209,3453,250,927,341,1282,11,68,2.6102,3.0021,3.7595,6.1818,114,7.7341,21.076573,239,172,16.214383,3727,46.01
1,105,10509,Ou Bei Choan,3114,5500,20,2,1292,6,0,0,0,0,43,144,1023,4849,139,1421,92,607,0,0,3.3488,5.3959,6.5978,0,528,16.9557,29.562543,292,371,9.377007,2270,41.27
1,106,10602,Kampong Svay,5167,3616,21,0.5,15,10,0,0,1,1,196,560,134,1210,23,2043,170,291,55,55,2.8571,20.7197,1.7118,1,190,3.6772,86.579805,3043,1035,58.892975,2650,73.29
1,106,10603,Kaoh Pong Satv,1025,1504,5,0.6,0,0,0,0,0,0,148,363,715,3020,26,32015,94,196,0,0,2.4527,47.2807,2.0851,0,81,7.9024,38.049303,200,421,19.512195,1339,89.03
1,106,10604,Mkak,1841,7998.3,5,2,20,20,0,0,0,0,256,495,1309,4752,120,565,652,1147,5,26,1.9336,3.7208,1.7592,5.2,73,3.9652,25.188537,82,538,4.454101,3949.8,49.38
1,106,10605,Ou Ambel,3705,3800,0,0,0,0,0,0,0,0,32,180,275,3712,91,1430,18,67,0,0,5.625,14.0492,3.7222,0,229,6.1808,98.221396,1941,586,52.388664,3242,85.32
1,106,10606,Phniet,1068,3014.34,18,2,0,0,0,0,0,0,174,627,755,2458,55,9509,144,418,2,7,3.6034,14.7741,2.9028,3.5,124,11.6105,53.515625,249,0,23.314607,2907,96.44
1,106,10607,Preah Ponlea,3067,1410,0,0,0,0,0,0,0,0,37,217,764,3295,6,519,27,63,1,3,5.8649,4.9532,2.3333,3,367,11.9661,98.304598,1654,678,53.928921,1145,81.21
1,106,10608,Tuek Thla,3228,3149,5,1,6,2,0,0,0,0,0,0,7,2901,0,0,0,0,0,0,0,414.4286,0,0,75,2.3234,93.916756,1760,902,54.522924,2668,84.73
1,107,10701,Banteay Chhmar,3611,36404.14,8,5,8156,20,0,0,51,1,819,1172,2655,10411,241,859,206,914,41,259,1.431,3.8916,4.4369,6.3171,451,12.4896,11.943262,521,383,14.428136,2850,7.83
1,107,10702,Kouk Romiet,4558,18828.115,40,2,1568,45,0,0,24,2.2,686,1302,3050,12836,386,1843,208,696,167,369,1.898,4.2721,3.3462,2.2096,998,21.8956,42.860594,565,691,12.395788,9952.458,52.86
1,107,10703,Phum Thmei,1621,3496,0,0,311,20,0,0,5,5,527,835,841,4828,98,666,208,583,58,202,1.5844,5.8509,2.8029,3.4828,566,34.9167,11.504425,41,25,2.529303,2501,71.54
1,107,10704,Thma Puok,1969,7272.689,0,0,500,20,0,0,0,0,963,1308,1747,34660,285,2283,125,673,82,292,1.3583,18.1806,5.384,3.561,82,4.1646,39.807384,262,160,13.306247,6273,86.25
1,107,10705,Kouk Kakthen,1727,9744,0,0,0,0,0,0,0,0,482,773,1076,5537,207,1078,270,862,60,212,1.6037,5.1559,3.1926,3.5333,503,29.1257,3.020768,51,104,2.953098,5218,53.55
1,107,10706,Kumru,1808,7252,0,0,223.5,25,0,0,0,0,615,943,1647,4570,160,1293,58,203,23,135,1.5333,3.2446,3.5,5.8696,172,9.5133,33.154762,551,73,30.475664,5755.5,79.36
1,108,10801,Phkoam,2298,8124,0,0,782,36,0,0,0,0,821,1162,1699,5453,269,1248,733,1478,266,578,1.4153,3.405,2.0164,2.1729,479,20.8442,18.464052,43,148,1.871192,5304,65.29
1,108,10802,Sarongk,1087,2895,0,0,95,4,0,0,0,0,57,155,274,1030,25,255,156,463,6,34,2.7193,4.2977,2.9679,5.6667,75,6.8997,22.602089,97,17,8.923643,2600,89.81
1,108,10803,Sla Kram,2525,17442.67,0,0,535,20,0,0,0,0,173,370,1657,4921,194,1004,424,1097,24,136,2.1387,3.201,2.5873,5.6667,440,17.4257,18.026263,482,120,19.089109,4267,24.46
1,108,10804,Svay Chek,2336,21420,0,0,0,0,0,0,0,0,253,512,1737,7331,366,1895,306,1111,14,89,2.0237,4.3871,3.6307,6.3571,349,14.9401,25.403412,543,51,23.244863,6595,30.79
1,108,10805,Ta Baen,972,5303,0,0,265.1,15,0,0,0,0,24,95,532,2825,42,141,124,363,15,52,3.9583,5.1672,2.9274,3.4667,292,30.0412,16.138329,179,1,18.415638,1509,28.46
1,108,10806,Ta Phou,1912,8000,0,0,113,20,0,0,0,0,359,818,1414,5593,788,2572,621,1512,15,100,2.2786,3.708,2.4348,6.6667,393,20.5544,26.494346,221,5,11.558577,7056,88.2
1,108,10807,Treas,2804,23968,0,0,3050,20,0,0,0,0,1472,1992,2666,7883,970,2990,328,729,64,213,1.3533,2.9904,2.2226,3.3281,263,9.3795,26.117373,389,49,13.873039,6420,26.79
1,108,10808,Roluos,967,1959,0,0,520,15,0,0,0,0,143,196,899,4210,35,537,90,381,9,39,1.3706,5.0824,4.2333,4.3333,119,12.3061,32.432432,107,266,11.06515,1202,61.36
1,109,10901,Boeng Beng,1567,5900,245,5,4895,50,0,0,0,0,46,510,1052,3178,254,732,46,152,0,0,11.087,2.9939,3.3043,0,157,10.0191,68.71207,159,557,10.146777,150,2.54
