Commune,LSize_Ha,Corn_Ha,Corn_Yield,Cassava_Ha,CassaYield,Cashew_Ha,CasheYield,Mango_Ha,MangoYield
Kampong Thum,872471,0,0,0,0,0,0,0,0
Ou Kanthor,3508.5,0,0,0,0,0,0,0,0
Kampong Pou,1629,0,0,0,0,0,0,0,0
Kanhchor,8543,3,2,0,0,0,0,0,0
Sung,6870,680,9,97,15,0,0,0,0
Kakaoh,9000,0,0,75,10,13,1.5,25,9
Preaek Chik,17384,756,4,92,35,0,0,25,24
Srayov,15558.79,4,1,0,0,0,0,0,0
Kaoh Chum,3550,0,0,0,0,0,0,0,0
Kampong Lpov,43001,3070,6,15,40,0,0,0,0
Chroab,3906.95,0,0,0,0,40,2.5,0,0
Sokh Dom,78172,0,0,340,20,0,0,0,0
Prey Tralach,32400,512,20,512,50,0,0,0,0
Ou Sandan,8892,0,0,0,0,0,0,0,0
Srae Ampum,19720,0,0,300,6,0,0,0,0
Sna Ansa,10800,0,0,105,30,0,0,13,0
Svay Luong,1190,0,0,0,0,0,0,0,0
Rumlech,6000,0,0,1.5,1,0,0,0,0
Trapeang chorng,9200,5,3,3,4,0,0,3,1.5
Khnar Totueng,6969,3.5,3.8,2.5,4.5,0,0,8,7
Tang Krasang,5273,0,0,0,0,469,0,0,0
Anlong Vil,5297,0,0,0,0,0,0,0,0
Srae Chhuk,51481,0,0,0,0,15,0,0,0
Dar,13940,0,0,330,4,5,0,4,0
Phlov Tuk,20638,105,1.5,0,0,0,0,0,0
Spean Mean Chey,6,0,0,150,18,0,0,0,0
Anlong Tnaot,9200,0,0,1240,15,0,0,90,1.5
Kampong Thma,3814,0,0,17,1,68.8,1,0,0
Kou Loab,5140,5,10,250,6,0,0,45,0
Prasat,5450,0,0,5,98,0,1,0,0
Romonea,740,0,0,150,15,0,1,0,0
Phteah Prey,1085,0,0,0,0,0,0,0,0
Memang,37953,5,2,0,0,0,0.6,0,0
Kbal Trach,13206,0,0,0,0,0,0,0,0
Veal,467.33,0,0,0,0,0,0,0,0
Thma Kreae,4500,8,5,80,25,0,0,0,0
Ta Lou,29104.72,5,10,137,25,0,0,0,0
Krapeu Pir,59900,160,5,0,0,0,0,0,0
Boeng Kantuot,2172,0,0,0,0,0,0,0,0
Chranouk,2440,0,0,23,1,0,1.5,0,0
Banteay Dei,1060,0,0,0,0,0,0,0,0
Dak Dam,75000,3,1.5,245,8,0,0.5,2,0
Ansa Chambak,2917,0,0,0,0,0,0,0,0
Svay At,1023,0,0,0,0,5,0,0,0
Monourom,2600,0,0,80,30,7,0,0,0
Chaeung Daeung,8183,51,1.5,51,10,0,0.7,0,0
Pnov,14656,0,0,0,0,56,0,0,0
Prey Nhi,870,0,0,0,0,0,0,80,15
Saob,24980,17,1.5,1500,6.5,0,1000,3,2000
Krakor,1330,5,3,0,0,0,0,0,0
Tnaot Chum,3837,0,0,0,0,25,0,0,0
Lolok Sa,2347,8.3,1.7,1.3,3.3,0,0,0,0
Bak Sna,4539,23,7,1257.7,20,0,1.7,0,0
Roleab,4498,7.5,2.7,277,21.25,0,1.5,7,3
Krava,4800,0,0,461,12,45,9,5,9
Kaoh Trong,223,0,0,2,10,184,0,0,0
Ou Ruessei,2940,0,0,0,0,0,0,1,5
Tnaot Chum,17366.92,0,0,200,15,0,0,0,0
Ta Taok,7771,524.32,3,0,0,0,0,0,0
Phteah Rung,8793.45,16,8,750,30,0,0,0,0
Svay Chreah,69400,0,0,705,10,2456,1.5,0,0
Chhnok Tru,6123,11,2,0,0,0,0,0,0
Pralay Meas,12800,260,0.8,0,0,0,0,0,0
Bak Chenhchien,1952,5,1.2,2,5,0,0,0,0
Chamraeun Phal,5196,10,3,123,6,0,0,125,3
Ballangk,3024,0,0,248,30,36,1,10,5.5
Samraong,2949,35,3,20,1,0,0,0,0
Tuol Sambuor,15040,0,0,4500,18,2241.21,20,0,0
Kantuot,4155,10,3,150,7,4,0,0,0
Trapeang Chan,3992,0,0,0,0,0,0,0,0
Kracheh,390,0,0,0,0,0,0,0,0
Chong Doung,11689,0,0,170,7,0,0,0,0
Ou Mlu,956,210,4,1568,15,2550,10,0,0
Dang Kdar,17200,21,5,2226,22,123,1,6,1
Kokir Thum,16000,33,15,611,17,3.5,1.5,5,17
Chak,1412.27,0,0,0,0,0,0,0,0
Roka Kandal,2200,60,4,0,0,0,0,0,0
Khon Rang,2753.6,0,0,0,0,0,0,0,0
Saen Monourom,78571,2,0.7,613,20,469,1.5,0,0
Chambak,10060,23,3,215,5,0,0,0,0
Preaek Prasab,17380,15,4,4500,10,0,1.5,25,4
Ruessei Kaev,9807,20,1,1000,15,450,0,0,0
Dar,8500,5,1,3,1.5,3,1.5,0,0
Ponley,1446,0,0,0,0,0,0,0,0
Prongil,50350,15,2,210,9,0,4,4,8
Bos Leav,6420,150,3,50,3,15,0,0,0
Thma Andaeuk,53500,66,5,414,3,0,0,0,0
Kampong Preah Kokir,1499,120,1.5,0,0,0,0,0,0
Anlong Reab,15066,986,3,15,2,0,0,13,0
Areaks Tnot,16292.328,0,0,2575,20,0,1,15,2.5
Phsar,3449,0,0,0,0,0,0,0,0
Boeng,4800,0,0,15,10,0,0,0,0
Popel,1315,0,0,1,8,0,0,0,0
Baray,16390,0,0,15,10,15,0,0,0
Pech Changvar,5740,0,0,0,0,0,0,0,0
Pramaoy,44170,59,10,0,0,0,0,0,0
Srae Preah,441204,6,8,245,15,3096,1000,2,800
Melum,3084,0,0,31,8,0,0,0,0
Chhuk Khsach,4812,0,0,70,12,50,0,0,0
Pou,3946,0,0,0,0,0,0,0,0
Khpob Ta Nguon,9599,120,4,454,7,411,0,0,0
Kaoh Chraeng,468,258,2.5,0,0,672.31,0,0,0
Svay Sa,7873.75,0,0,0,0,0,0,0,0
Khsuem,92780,12.5,3,1890,10,7,2,0,0
Thma Da,80968,15,1,10,2,0,2,0,0
Chheu Tom,19859,0,0,27,36,0,0,45,4
Ta Prok,2621.1,35,10,107,5,539,1.5,0,0
Ta Mau,12451.464,18,6,1200,8,5,2,0,0
Kampong Kor,4810,0,0,90,5,14,2.5,0,0
Chamkar Andoung,9150,395,5,750,10,1700,1.2,15,10
Samraong Saen,305,0,0,0,0,0,0,0,0
Leach,2238,0,0,0,0,0,0,0,0
Anhchanh Rung,5184.3,0,0,0,0,0,0,0,0
Lvea Leu,167460,9,5.5,95,18,217,1,0,0
Spueu,587142,0,0,0,0,23152,1.2,0,0
Preak Kak,13800,36,1.2,1046,13,16,0,2,0
Triel,11305,25,1.5,198,18,0,0.75,0,0
Svay Rumpear,8000,0,0,0,0,0,0.5,0,0
Svay Chrum,8587,27,2,7,2.5,0,0,0,0
Kanhchor,8730,11,4,0,0,0,0,0,0
Prasnoeb,12501,0,0,5,1.6,0,2,6,2.2
Krang Skear,63604,28,2,225,5,0,0,0,0
Me Sar Chrey,4520,5,1.5,2200,8.5,0,1.5,174,5
Santreae,66732,6,1.5,15,1.5,0,0,0,0
Rokat,2450,14,1,8,15,5,0,0,0
Cheyyou,4150,0,0,26,25,5085,1.5,2,0
Peam Kaoh Snar,4286,0,0,5,8,18,0,0,0
Trangel,2232,0,0,0,0,4,0,0,0
Preah Andoung,3600,0,0,0,0,2,0,0,0
Sralau,13600,0,0,0,0,0,0,0,0
Banteay Preal,5313,0,0,0,0,0,0,0,0
Svay Teab,7100,450,13,802,17,523,1,315,50
Phsar Chhnang,1051,8,2,0,0,0,0,0,0
Khsam,1053,25,2,2,4,0,0,0,0
Andoung Pou,2637,20,2,25,4,49,0,0,0
Srae Khtum,31971,607,3,4920,15,0,2,0,0
Soupheas,5000,18,9,374,1.6,426,1,3,1.8
Kampong Hau,4456,65,2,0,0,14,0,0,0
Pongro,135790,0,0,0,0,0,0,10.65,1.5
Peam Chhkaok,9685,250,2.5,0,0,0,0,0,0
Krouch Chhmar,4274,300,6,0,0,0,0,0,0
Preaek Saman,8290,0,0,721,10,0,0.8,0,0
Chrolong,3118,0,0,0,0,0,0.3,0,0
Trea,210622,0,0,0,0,0,0,0,0
Ta Ong,15900,550,5,650,10,450,2,12,3
Svay Khleang,366843,220,6,0,0,0,0,0,0
Kaoh Ta Suy,1100,540,3,0,0,3,0,0,0
Peus Pir,2734,32,6,0,0,0,0,0,0
Pongro,4806,0,0,0,0,0,0,0,0
Chraneang,2413,40,7,370,12,12,1,0,0
Ou Saom,84600,75,4,1500,6,0,0,0,0
Srae Thmei,2693,0,0,0,0,0,0,0,0
Tuol Preah Khleang,4790.17,0,0,288,15,1671,0,0,0
Chhloung,2000,10,5,300,13,0,2,5,0.9
Kampong Chhnang,2121.124,22,1,0,0,0,0,0,0
Peus Muoy,3206,275,4,0,0,0,0,0,0
Han Chey,2380,21,4,0,0,0,0,0,0
Sou Young,1572,0,0,0,0,0,0,0,0
Trab,10260,0,0,0,0,0,0,0,0
Pongro,2284,80,3,0,0,0,0,0,0
Khsach Andaet,2683.05,0,0,0,0,0,0,0,0
Roka Khnor,279316,1000,5,0,0,0,0,0,0
Chumnik,2407,500,7,0,0,460,0,0,0
Damrei Phong,2046,0,0,1292,20,10,0,0,0
B'er,226,0,0,0,0,0,0,0,0
Kampong Ous,3513,139,3,0,0,0,0,0,0
Krang Leav,6459,0,0,0,0,3,0,0,0
Svay Phleung,2100,0,0,85,15,0,1.5,0,0
Sandaek,5950,0,0,0,0,0,0,0,0
Preaek A chi,415080,1,7,0,0,0,0,0,0
Chhuk,15487,68,6,6849,18,0,2,40,5
Pring Chrum,4789,0,0,0,0,0,0,0,0
Chrey Bak,5193,0,0,0,0,0,0,0,0
Preaek Bak,882,41,5,155,17,0,2.5,0,0
Seda,16800,0,0,3760,6,4.5,0,65,0
Sampong Chey,7900,0,0,0,0,0,0,0,0
Tuol Snuol,12649.95,17,6,48,15,0,0,0,0
Boeng Nay,4325.162,0,0,47,20,0,1.5,10,5
Snuol,16830,8,3,3224,2.5,797,1.8,0,0
Bos Khnor,1361104,700,12,250,10,300,21,0,0
Kouk Banteay,6668,12,3,0.5,0.4,0,2,0.5,2
Prey Kri,3488.5,0,0,0,0,0,0,0,0
Trapeang Pring,22000,0,0,0,0,150,0,0,0
Kampong Damrei,30050,0,0,218,6,0,0,0,0
Chol Sar,5747,5,0.5,0,0,0,0,0,0
Thma Pun,2689,28,2.5,22,18,0,1.5,0,0
Andoung Snay,4046,0,0,0,0,0,0,0,0
Rolea B'ier,11321,0,0,2,2,0,0,0,0
Srak,8240.28,15,4.5,557,20,0,1.5,12,2.5
Prey Mul,4479,0,0,2,1,2,0,0,0
Kaoh Pir,1077,25,6,0,0,0,0,0,0
Hanchey,1901,375,8,20,15,0,1,1,0
Krouch,2481,4,2.15,0,0,0,0,0,0
Kor,3107,0,0,0,0,0,0,0,0
Srae Char,27600,69,2,5370,25,368,2,13,0.9
Tang Krasang,13100,0,0,0,0,0,0,0,0
Kampong Treas,2550,750,6,0,0,0,0,0,0
Rumchek,26390,50.25,4,5209.33,15,214,1.5,0,0
Cheung Kreav,5498,0,0,0,0,0,0,0,0
Sdaeung Chey,4400,0,0,0,0,0,1.2,0,0
Trapeang Preah,3130,0,0,0,0,0,0,0,0
Chieb,12,2,0.5,5,2,0,0.5,5,8
Kaoh Thkov,11529,490,5,0,0,0,0,0,0
Pir Thnu,54500,0,0,903,8,140,0,0,0
Peam Chileang,5020.9,110,5,0,0,144.02,0,0,0
Trapeang Kor,2176.4193,0,0,0,0,157,0,0,0
Ou Svay,2157,50,3,20,20,0,2,6,6
Roka Po Pram,18000,0,0,529,20,0,0.7,0,0
Khlong Popok,10760,0,0,0,0,0,0,0,0
Rumchek,1350,12,5.6,0,0,0,0,0,0
Baray,3057.86,0,0,0,0,6,0,0,0
Tuek Hout,5100,0,0,90,1.5,0,0,0,0
Kien Chrey,1929,25,3,0,0,15,0,0,0
Saeb,256353,0,0,0,0,0,0,2.3,3
Ta Tey Leu,33600,8,1,10,10,9,0,0,0
Trean,3900,0,0,10,15,105,1.5,0,0
Tang Krasang,4450,0,0,0,0,0,0,0,0
Tumnob,2000,0,0,0,0,0,0.8,0,0
Sour Saen,1688,0,0,0,0,0,0,0,0
Kaoh Samraong,2997,0,0,0,0,0,0,0,0
Thma Pech,2478,0,0,195,17,268.91,1,0,0
Dambae,8240,0,0,2058,19.5,38,0.5,0,0
Sramar,3300,0,0,0,0,0,2,0,0
Prey Chhor,1040,0,0,0,0,0,0,0,0
Pdau Chum,1409.76,0,0,0,0,150,0,0,0
Kouk Rovieng,2580,0,0,0,0,490,0.4,0,0
Krala,2481,0,0,0,0,0,0,0,0
Soutib,1301,0,0,0,0,1328.47,0,0,0
Khvet Thum,1432,0,0,0,0,0,0,0,0
Khnor Dambang,1890,0,0,10,5,177.1,5,100,6
Trapeang Chour,33859,8512,5,0,0,0,0,0,0
Cheung Prey,2600,0,0,12,3,108,1.5,0,0
Ampil Tuek,4500.75,0,0,0,0,0,0,0,0
Boeng Pruol,1671.45,245,3,9,4,0,0,0,0
Lvea,3026,0,0,0,0,0,0,0,0
Chrey Vien,2374,0,0,0,0,17,0,0,0
Sragnae,2426,0,0,0,0,0,0,0,0
Ro'ang,2043.41,10.5,5,1.5,5,45,0,0,0
Me Pring,2886.87,0,0,0,0,0,0,0,0
Akphivoadth,6228.35,0,0,0,0,0,0,0,0
Chhuk Sa,230426,0,0,30.26,3,0,0,5,0
Ta Ches,6346,29,1,35,1,0,0,0,0
Mien,4400,0,0,0,0,0,0,0,0
Prey Char,12224,0,0,0,0,0,0,0,0
Samraong,1685.51,0,0,0,0,0,0,0,0
Vihear Thum,2590,0,0,0,0,12,0,0,0
Khna Chhmar,4000,0,0,0,0,0,0,0,0
Ph'av,1356,0,0,0,0,0,0,0,0
Chaong Maong,6450,0,0,0,0,3,0,0,0
Tong Rong,1750.4,0,0,0,0,15,0,0,0
Kampoan,19020,415,5,3479,18,12,1.5,37,20
Ampil,1955,0,0,15,2,0,0,0,0
Tuol Khpos,12670,8,5.2,9,1,0,2.5,2,6
Chirou Ti Muoy,3231,550,4,0,0,6.5,0,3,0
Pak Khlang,46620,0,0,3,3,0,0.6,10,1.2
Preaek Krabau,4500,12,0.798,0,0,0,0.4,0,0
Kor,4760,0,0,450,22,0,1.1,0,0
Chirou Ti Pir,3122,12.5,4,89,18,0,0,0,0
Kouk Srok,14400,0,0,8049,17,96,0,12,1.5
Boeng Kok,4933,0,0,0,0,0,0,0,0
Sour Kong,3921.9,4.5,4,0,0,0,0,0,0
Kbal Tuek,21660,0,0,0,0,0,0,2,1
Batheay,9150,0,0,0,0,0,0,0,0
Thma Edth,1395,0,0,1,2,0,0,0,0
Tonle Bet,4275,25,3,0,0,5,0,0,0
Reay Pay,7853.66,0,0,0,0,5,0,0,0
Kampong Cham,1686,0,0,0,0,0,0,0,0
Veal Vong,273,0,0,0,0,0,0,0,0
Chres,350900,0,0,0,0,10,1.5,1500,3
Roka Koy,108488,56,8,0,0,0,0,6,3
Vihear Luong,3823.84,0,0,298,20,110,0,0,0
Sambuor Meas,0,0,0,0,0,0,0,0,0
Angkor Ban,937.7,60,10,0,0,0,0,0,0
Kaoh Roka,759,10,2.5,0,0,0,0,0,0
Tonlung,24200,0,0,0,0,341,0,0,0
Krang Lvea,19180,0,0,1,1,0,500,1.5,300
Kaoh Mitt,1843,417,4,0,0,0,0,0,0
Kokor,1858,2,4,0,0,0,0,0,0
Chbar Ampov,3900,0,0,0,0,0,0,0,0
Chob,4058.08,0,0,0,0,0,0,2,4
Memong,8446,5,1,1640,15,576,2,0,0
Suong,4125.39,0,0,0,0,0,3,0,0
Thlok Vien,4200,0,0,15,1.6,0,0,15,1.2
Choam Ta Mau,10361,6,18,6137,10,2800.2,2,0,0
Kampong Tralach,1389,3,1,0,0,1000,0,0,0
Lngieng,2034,0,0,832,25,20,2,0,0
Preaek Koy,4793,0,0,0,0,0,0,0,0
Peam Chi Kang,1819.16,110,4,0,0,0,0,10,18
Ou Ruessei,179522,0,0,0,0,0,0,0,0
Khchau,2050,6,3,0,0,0,0,4,0
Amleang,2384,88,4,107,8,0,0,0,0
Tuek Chrov,7315,10,5,780,15,829,1.5,10,5
Chong Cheach,4201.7,0,0,1453,10,0,5,0,0
Peani,1798,0,0,0,0,0,0,0,0
Ruessei Srok,1596,23,0.9,0,0,0,0,0,0
Kaoh Sotin,2223,52,2.5,0,0,0,0,0,0
Sralab,8032,0,0,755.5,15,20,0,0,0
Kaoh Tontuem,321,61.5,2.5,0,0,0,0,0,0
Pralay,6984,0,0,0,0,0,0,0,0
Chealea,5000,0,0,0,0,0,0,0,0
Kokir,7045,3,3,2895,20,15,0,0,0
Svay Khsach Phnum,1878.11,55,6,0,0,0,0,0,0
Kaoh Andaet,2495.36,0,0,0,0,0,0,0,0
Moha Khnhoung,2704,20,2,0,0,0,0,2,5
Sambour,9300,0,0,0,0,0,0,0,0
Tbaeng Khpos,3146,0,0,36,1.6,0,0,0,0
Kampong Reab,1972,50,3,0,0,0,0,0,0
Preaek Ta Nong,3697,0,0,0,0,0,0,0,0
Sedthei,6650,0,0,0,0,0,0,0,0
Preaek Rumdeng,3431,10,4,0,0,0,0,25,10
Ta Sal,18383,0,0,0,0,0,0,0,0
Mong Riev,2767.42,0,0,198,4.5,8,2.3,0,0
Preaek Dambouk,1852.3,11,1.5,0,0,0,0,0,0
Longveaek,4567,0,0,3,1,0,0,0,0
Preah Theat,5908.17,8,2,78.27,15,0,0,0,0
Peam Prathnuoh,1970,22,3,75,28,0,0,0,0
Kang Ta Noeng,3039,15,1,0,0,0,0,0,0
Roka Ar,960.95,19,5,0,0,0,0,13,1.5
Neang Teut,2500,0,0,0,0,257,1.5,0,0
Pongro,855,1.5,1.5,4,8,0,0,0,0
Kandaol Chrum,7200,0,0,686,10,486,0.6,0,0
Tramung,8654,58,1.6,2899,13,457.24,2,3,0
Sdau,950,0,0,0,0,0,0,0,0
Phteah Kandal,2037,7,1,0,0,0,0,7,11
Kaoh Chen,4153.95,0,0,0,0,0,0,0,0
Baray,6446,0,0,0,0,0,0,0,0
Tang Krang,0,0,0,0,0,0,0,0,0
Svay Chuk,11450,4,3.5,8.5,13.5,0,0,0,0
Kampong Luong,1891.32,0,0,0,0,0,0,0,0
Lve,2859,1.5,0.8,0,0,0,0,0,0
Chikor,4452,0,0,603.5,20,0,0,0,0
Roka Kong Ti Muoy,419,5,1.5,0,0,0,0,0,0
Veal Mlu,3638,30,7,1623,15,93,2,0,0
Svay Ampear,2134,15,1.5,0,0,0,0,20,1
Memot,5000,6,1.5,930,25,108,1.2,0,0
Anhchaeum,5665,0,0,0,0,3200,0,0,0
Popel,3400,0,0,613,20,16,3,1,6
Dar,10428,0,0,310,15,168,1.5,0,0
Preaek Changkran,602,25,0.5,0,0,0,0,0,0
Moha Leaph,1538.5,66,3,0,0,0,0,0,0
Kraek,17762,0,0,802,17,37,1.5,0,0
Svay,3634,0,0,0,0,0,0,0,0
Peam,10560,3,1.5,3,2.5,4.5,0,10,10
Pnov Ti Muoy,3650,0,0,0,0,0,0,0,0
Roka Kong Ti Pir,729,20,3,0,0,0,0,0,0
Choam Kravien,20800,5,5,3500,15,0,3,0,0
Chhean Laeung,6610,10,1,6,1,0,0,0,0
Tuol Souphi,4977.73,200,1.5,116,17,0,0,0,0
Preaek Pou,2365.69,0,0,0,0,0,0,6,4
Ta Aek,641,3.5,2,0,0,0,0,0,0
Mean Chey,847,14,4,0,0,0,0,0,0
Rumlech,3170,0,0,0,0,0,0,0,0
Mien,4852,0,0,0,0,0,0,0,0
Lve,960.73,0,0,0,0,0,0,0,0
Ampil Ta Pok,3205,0,0,10,9,17,0,2,0
Preaek Dambang,1277,34,1.8,0,0,0,0,0,0
Vihear Luong,646.52,0,0,0,0,0,0,0,0
Kaoh Chouram,2586,3,1,0,0,0,0,6,8
Damril,3229,0,0,131,12,1.5,0,0,0
Pram Yam,2594.37,0,0,0,0,0,0,0,0
Kampong Os,7614.52,0,0,0,0,0,0,0,0
Chak,5439,0,0,61.5,12,0,1.5,0,0
Chrey Khmum,3830,0,0,0,0,0,0,0,0
Veang Chas,665,0,0,0,0,10,0,0,0
Sambuor Meas,9297.616,3,1.5,0,0,0,0,5,1.5
Kong Chey,4235,103,3,80,8,0,0,4,4
Phsar Daek,1110.1,0,0,0,0,0,0,0,0
Kaong Kang,4500,0,0,57,15,13272,1,3,5
Svay Romiet,461.61,0,0,0,0,0,0,0,0
Preah Srae,1523,0,0,0,0,0,0,8,4
Pnov Ti Pir,2991,0,0,0,0,0,0,0,0
Veal Pong,5324,2,1.5,30,2,0,0.5,2,0.5
Dountei,9300,0,0,0,0,0,0.5,430,50
Svay Pou,2150,0,0,0,0,0,0,0,0
Triek,5441,0,0,42,25,0,2.5,0,0
Khnar Sa,1230,0,0,0,0,0,0,1,3
Ponhea Lueu,765.86,17,2,0,0,0,0,0,0
Veal Pon,3800,0,0,0,0,0,0,15,2
Ruessei Chrouy,1670,24,2,0,0,0,0,0,0
Mesar Prachan,3913,0,0,0,0,0,0,0,0
Chan Mul,4054,0,0,630,30,0,0,0,0
Kak,17600,0,0,920,15,136,1.3,0,0
Prey Sralet,3837,0,0,11,6.5,0,0,0,0
Prey Daeum Thnoeng,2134,0,0,0,0,0,0,0,0
Phnum Bat,3536.03,0,0,0,0,0,0,0,0
Preah Prasab,1267,6,1.5,0,0,0,0,6,15
Tong Tralach,2481,0,0,0,0,0,0,0,0
Rung,5146,0,0,703,16,428.5,0.5,0,0
Tumnob Thum,1301,0,0,0,0,0,0,0,0
Preaek Anhchanh,4265.52,4,2,0,0,0,0,5,0
Monourom,2300,0,0,1.5,3,0,0,0,0
Prey Tueng,3332,0,0,0,0,0,0,0,0
Ruessei Sanh,3648,0,0,0,0,0,0,0,0
Prambei Mum,12600,31,1.3,6,2.5,0,0,170,3
Chi Bal,938,0,0,0,0,0,0,0,0
Preaek Ta Meak,1885.5,4,2,0,0,0,0,8,5
Ampil Krau,3720,0,0,0,0,0,0,0,0
Choam,674433,0,0,1250,16,398.5,0,0,0
Trapeang Phlong,13970,20,3,295,20,110,1.5,0,0
Preaek Ta Teaen,1003.03,0,0,0,0,0,0,0,0
Sangkae Satob,18352,55,15,0,0,0,0,0,0
Tnaot,1884.52,0,0,0,0,0,0,0,0
Kanhcham,5486,0,0,0,0,0,0,0,0
Trach Tong,2299.388,0,0,60,3,0,0,0,0
Ruessei Chrum,63000,4,3,4,4,0,0,0,0
Roka Chonlueng,1706,0,0,0,0,0,0,0,0
Kouk Kong Lech,3836,0,0,0,0,0,0,0,0
Kouk Kong Kaeut,3728,0,0,0,0,0,0,0,0
Rung Roeang,4400,0,0,2,1,0,0,0,0
Chey Thum,1775,0,0,0,0,0,0,0,0
Chrey Loas,3197.49,0,0,0,0,0,0,0,0
Puk Ruessei,3022,0,0,0,0,0,0,0,0
Bak Kaeng,2661.52,12,5,0,0,0,0,0,0
Khsem Khsant,1183.77,0,0,0,0,0,0,0,0
Kanhchriech,3179,0,0,0,0,0,0,0,0
Pou Ti,2241,0,0,0,0,0,0,0,0
Cheach,7531,0,0,900,20,0,0,0,0
Mean Chey,2652,0,0,0,0,0,0,0,0
Sanlung,2671,0,0,0,0,0,0,50,625
Kdoeang Reay,4730,0,0,0,0,0,0,0,0
Thma Pun,3740,0,0,0,0,0,0,0,0
Samraong,1883.39,0,0,0,0,0,0,0,0
Chan Saen,276518,0,0,0,0,0,0,0,0
Roka,5895,0,0,0,0,0,0,0,0
Kaoh Dach,2301.69,175,2,0,0,0,0,45,15
Yutth Sameakki,4884.56,0,0,0,0,0,0,0,0
Vihear Suork,4407,0,0,0,0,0,0,0,0
Prey Pnov,8158,0,0,0,0,0,0,0,0
Chhveang,2618.97,0,0,0,0,0,0,191.96,7.8
Kampong Popil,4494,10,2,0,0,0,0,90,5
Chong Ampil,3680,0,0,0,0,0,0,0,0
Sithor,1174,0,0,0,0,0,0,33,60
Krabau,5684,0,0,997,10,0,0,0,0
Preaek Phnov,654.22,0,0,0,0,0,0,0,0
Yea Angk,17268,13,2.7,0,0,0,0,0,0
Reab,4600,0,0,0,0,0,0,0,0
Preal,6919.6,0,0,0,0,0,0,0,0
Mkak,2980,0,0,0,0,0,0,0,0
Chumnoab,1000,0,0,0,0,0,0,0,0
Preaek Lieb,1498,0,0,0,0,0,0,0,0
Preaek Ampil,2508,10,1,6,2,0,0,25,3
Ponhea Pon,1950.1,0,0,0,0,0,0,6,3.2
Kampong Chamlang,1027,20,4,0,0,0,0,0,0
Preaek Ta Sek,1688.12,0,0,0,0,0,0,0,0
Cheung Roas,1172,0,0,0,0,0,0,0,0
Seang Khveang,5629,0,0,0,0,0,0,0,0
Damnak Reang,1188,0,0,0,0,0,0,83,5
Kouk Roka,3261,0,0,0,0,0,0,0,0
Svay Pak,410,0,0,0,0,0,0,0,0
Smach Mean Chey,5748.19,0,0,0,0,6.5,0,0,0
Ponsang,3692.2,0,0,10,14,0,0,20,4
Kaoh Oknha Tei,678,0.5,0.5,0,0,0,0,0,0
Trabaek,4123.5,0,0,0,0,0,0,0,0
Prey Khla,3088,0,0,0,0,0,0,0,0
Khmuonh,1864,0,0,0,0,0,0,0,0
Ta Tai Kraom,49478,0,0,0,0,0,0,0,0
Tuol Prech,3230,0,0,0,0,0,0,0,0
Preaek Luong,704.4,5,1.5,5,10,0,0,0,0
Kranhung,4631.3,0,0,21,15,0,0,0,0
Prey Sniet,4329,0,0,0,0,0,0,0,0
Barong,4085,0,0,0,0,0,0,0,0
Trapeang Rung,90603.47,0,0,0,0,0,0,4.5,0
Haong Samnam,9020,15,2,3,2,0,0,5,1.5
Chrang Chamreh Ti Muoy,210.16,0,0,0,0,0,0,0,0
Reaksmei Sameakki,2217841,0,0,0,0,0,0,0,0
Prey Krasang,1200,5,1.5,6,1,0,0,4,1
Chrang Chamreh Ti Pir,290.4,0,0,0,0,0,0,0,0
Thma Doun Pov,15500,0,0,0,0,1,0,0,0
Toap Mean,6500,0,0,0,0,0,0,0,0
Kampong Prang,2445,9,1.3,0,0,0,0,20,2.8
Kilomaetr Lekh Prammuoy,424,0,0,0,0,0,0,0,0
Krang Chek,24474,10,1.2,0,0,0,0,0,0
Peang Lvea,1265,0,0,0,0,0,0,0,0
Preaek Ta kov,2149,20,3,11,3,0,0,0,0
Phnum Touch,2313,0,0,0,0,0,0,0,0
Dang Peaeng,128230,8,5,21,30,76,2,3,1.25
Krang Thnong,1216.5,0,0,0,0,0,0,0,0
Bak Dav,1091,8,2.5,0,0,0,0,0,0
Chea Khlang,3220,0,0,0,0,0,0,0,0
Ruessei Kaev,343.62,0,0,0,0,0,0,0,0
Dang Tong,3070,0,0,0,0,5,0,0,0
Kampong Ruessei,3831,0,0,0,0,0,0,0,0
Stueng Veaeng,40014.9,0,0,0,0,0,0,0,0
Svay Antor,2326.8,0,0,0,0,0,0,0,0
Doun Koeng,2373.5,0,0,0,0,0,0,0,0
Chrouy Changvar,1035.67,0,0,0,0,0,0,0,0
Snaor,1370,0,0,0,0,0,0,5,1
Dangkao,850,0,0,0,0,0,0,0,0
Tumpoar Meas,14160,26,1.5,0,0,0,0,0,0
Svay Chrum,1923,0,0,0,0,0,0,35,2.5
Phnom Penh Thmei,1441.13,0,0,0,0,0,0,0,0
Popueus,1931,0,0,0,0,0,0,0,0
Prey Kanlaong,2406,0,0,0,0,0,0,0,0
Smaong Khang Cheung,4457.2,0,0,0,0,0,0,0,0
Tuol Kokir,8000,0,0,0,0,0,0,0,0
Chumpu Proeks,2911,21.5,1.5,1,3,0,0,0,0
Tras,6300,0,0,1453,12,0,0,0,0
Andoung Trabaek,5576,0,0,137,9,0,0,0,0
Tuol Sangkae,635.3,0,0,0,0,0,0,0,0
Sarikakaev,1836,0,0,0,0,0,0,17,7
