Commune,LSize_Ha,Corn_Ha,Corn_Yield,Cassava_Ha,CassaYield,Cashew_Ha,CasheYield,Mango_Ha,MangoYield
Phnum Penh,4452,0,0,0,0,0,0,0,0
Srah Chik,4291,0,0,0,0,0,0,0,0
Mlu Prey Pir,2412,0,0,4,5,15,0.5,0,0
Spean Sraeng,6560,0,0,0,0,0,0,0,0
Kaoh Snaeng,14269,0,0,75,10,57,0,0,0
Aekakpheap,3550,0,0,538,8,7.325,0,0,0
Trapeang Kraham,164870,3,1,0,0,30,0,0,0
Pak Nhai,13009,0,0,736,8,240,1,0,0
Phnum Tbaeng Pir,28947,0,0,0,0,0,1,0,0
Ting Chak,4703.8,52,3,423,8,325,0,0,0
Ta Siem,3257,3,0.5,4,1.2,0.5,0,0,0
Lum Choar,5464.4,84,1.5,1004,10,237,1,0,0
Doun Peng,6100,0,0,0,0,0,0,0,0
Khun Ream,28900,0,0,2000,25,6,3,50,21
Yeak Laom,0,0,0,0,0,150.9,0,0,0
Soengh,8100,5,5,5,5,0,0,0,0
Sangkae Pir,6188318,0,0,0,0,10.8,0,0,0
Labansiek,2400,0,0,0,0,150.9,0,0,0
Kouk Doung,5345,4,0.5,200,15,0,0,1,1
Saen Sokh,4665,0,0,0,0,0,0,0,0
Tean Kam,5894,6,3,10,15,0,0,0,0
La Minh,5413.6,0,0,0,0,1180,0,0,0
Tasu,14300,0,0,0,0,0,0,0,0
Koul,1135,0,0,0,0,0,0,0,0
Kachanh,2400,0,0,0,0,24,0,0,0
Paoy Paet,2189.59,0,0,360,15,0,0,0,0
Bos Sbov,6827,0,0,193,1,0,0,0,0
Phluk,35606,0,0,38,15,115,0,0,0
Krouch Kor,1515,0,0,0,0,0,0,0,0
Nimitt,16932,3,2,85,20,0,0,10,2.5
Chob Veari,11212,16,0.5,1150,25,180,1.5,90,4
Ta Saom,3527,0,0,0,0,0,0,0,0
Changha,950,10,5,0,0,10,1,5,3
Mkak,7998.3,5,2,20,20,0,0,0,0
Phnum Tbaeng Muoy,12390,1,1,35,25,80,2,0,0
Char Chhuk,5600,0,0,0,0,20,0,0,0
Preah Khleang,20400,72,2.5,215,15,7,1.8,5,15
Ya Tung,53017,5,0.5,430.5,8,500,0.5,0,0
Lung Khung,5912,13.5,2,2455.5,8,0,0.6,0,0
Trapeang Chres,9998,8,2,500,10,1179,2,1,5
Souphi,7859,4,0.5,6,1.5,0,0,0,0
Koub,2748,0,0,0,0,0,0,0,0
Lbang Pir,1276,0,0,20,8,15,1.5,0,0
Chob Ta Trav,2850,0,0,250,30,0,0,0,0
Chanleas Dai,3841,0,0,0,0,0,0,0,0
Peak Snaeng,11340,12,1.2,532,25,60,0,10,1.2
Rohal,12989,0,0,50,15,0,0,0,0
Saeung,8646,0,0,3761,8,53,0.6,0,0
Ro'ang,11444.59,50,1.1,50,12,5,2,0,0
Khyang,10660.5,13,2.19,3.26,2.84,0,0,2.4,14
Pa Te,7368.137,23,0.8,390,15,130,0.3,0,0
Ta An,2280,0,0,0,0,0,0,0,0
Snuol,2796,0,0,0,0,0,0,0,0
Srae Ruessei,14461,5,3,289,3,100,0,0,0
Bar Kham,7007,0,0,6571,10,0,1,0,0
Chrach,29500,2,0.5,0,0,0,0.5,0,0
Tuek Chour,12075,7,1,10,3,0,0,0,0
Nokor Pheas,5466,0,0,0,0,0,0,0,0
Chnuor Mean Chey,5330,0,0,0,0,0,0,0,0
Kampong Svay,3616,21,0.5,15,10,0,0,1,1
S'ang,6000,10,1.5,40,3,0,0,0,0
Khnang Phnum,20300,0,0,0,0,7,0.5,0,0
Lbang Muoy,527,0,0,62,9,986,1,0,0
Putrea,17166.62,0,0,20,7,0,0,0,0
Phnum Lieb,27000,0,0,25,8,0,0,0,0
Thmea,36882.53,0,0,0,0,3,0,0,0
Chamraeun,14041,0,0,0,0,8,2,0,0
Phniet,3014.34,18,2,0,0,0,0,0,0
Sdau,1000,2,1,8,25,8,3,1,1
Thala Barivat,8846,3,0.2,224,20,0,1,0,0
Svay Leu,24725.5,5,2,150,30,1654,0,0,0
Roung Kou,1500,0,0,0,0,0,0,0,0
Kdei Run,3002,0,0,0,0,0,0,0,0
Ka Laeng,5863,0,0,2000,7,15,1,0,0
Reaksa,2959.63,0,0,7,6,0,0,0,0
Preah Netr Preah,8318,0,0,11,5,0,0,0,0
Khnar Sanday,1181,4,2.5,1400,3,0,2,12,2
Tbaeng,14306,20,5,545,30,3,1.5,120,7
Rumdaoh,46637,0,0,102,8.5,0,0,0,0
Preah Ponlea,1410,0,0,0,0,0,0,0,0
Kampong Thkov,1200,0,0,0,0,0,0,0,0
Prey Chruk,10000,0,0,0,0,0,0,0,0
Ou Rai,14671,0,0,295,7,27,1.5,0,0
Tuek Thla,3149,5,1,6,2,0,0,0,0
Tuol Pongro,16000,540,2.5,1122,18,0,0,0,0
Kbal Romeas,73740.15,0,0,380,4.5,50,2,0,0
Anlong Phe,25149,0,0,52,12,2,1.2,0,0
Trei Nhoar,4900,5,0.8,0,0,0,0,0,0
Ou Ambel,3800,0,0,0,0,0,0,0,0
Seda,3270,0,0,160,8,872,1,0,0
Kuttasat,5500,6,2.5,0,0,0,0,0,0
Kaoh Pong Satv,1504,5,0.6,0,0,0,0,0,0
Yeang,4838,0,0,0,0,0,0,0,0
Ba Tang,5000,0,0,1500,8,795,0.1,0,0
Sranal,8633,2.8,0.2,3.6,1.5,0,0,0,0
Kralanh,2272,5,0.8,0,0,0,0,0,0
Samraong,9674,0,0,0,0,0,0,0,0
Reul,8000,0,0,0,0,0,0,0,0
Malai,2152,518,2.4,1128,12,0,0,0,0
Ta Kong,14878,0,0,0,0,0,0,0,0
Ou Sampoar,4594.89,483,1.8,2268,35,5,6.4,0,0
Ou Sralau,3022,6.5,4.5,1742.26,20,0,0,0,0
Koy Maeng,2034,0,0,0,0,0,0,0,0
Svay Chek,5548.21,0,0,0,0,0,0,0,0
Serei Mongkol,1358,30,2,10,20,0,0.5,0,0
Boeng Beng,5900,245,5,4895,50,0,0,0,0
Ruessei Kraok,4002,2,1.5,0,0,0,0,0,0
Kamphun,17864.2,4,0.5,200,2,0,2.5,0,0
Chamkar Leu,852,0,0,30,4.1,32,0.6,0,0
Prasat,16510,4,3,0,0,0,0,0,0
Bat Trang,4069,5,1.5,0,0,0,0,0,0
Sasar Sdam,938,0,0,0,0,0,0,0,0
Srah Ruessei,47848,0,0,0,0,150,0,0,0
Leang Dai,13040,0,0,0,0,0,2,0,0
Khvav,5187,0,0,0,0,0,0,0,0
Ta Lam,3705,0,0,0,0,0,0,0,0
Preah Bat,55124,0,0,305,35,0,0.5,5,1
Rumchek,1286,0,0,210,23,5,0.5,5,1
Sambuor,6896,3,0.5,3,0.5,0,0,0,0
Banteay Neang,0,0,0,0,0,0,0,0,0
Stueng Traeng,74130,0,0,2100,15,0,2,12,2
Chey Otdam,7681,0,0,25,8,0,1,10,1
Rohat Tuek,6165,5,5,0,0,0,0,0,0
Lvea,6753,0,0,0,0,0,0,0,0
Doun Kaev,6852,0,0,0,0,0,0,5,8
Srae Angkrorng,1185,34,1,22,22,5,1.5,2,1.5
Srah Reang,2362,0,0,0,0,0,0,0,0
Kaoh Sralay,866.75,0,0,12,6,0,5,0,0
Mukh Paen,15000,0,0,0,0,0,0,0,0
Preah Dak,5000,3,3,6,5,18,4,25,3
Ou Prasat,2510,5,2,0,0,0,0,1,4
Boeng Mealea,17184,15,1,1100,4.5,0,1,0,0
Chamnaom,8186,0,0,0,0,0,0,0,0
Run Ta Aek,6690,4,1.2,0,0,20,1.7,0,0
Khnar Pou,2486,0,0,1100,20,0,0,0,0
Kouk Ballangk,3837,2,1.5,0,0,0,0,0,0
Rik Reay,2866,0,0,20,1.5,30,0,0,0
Soea,10500,8,3,0,0,0,0,0,0
Sambuor,10453,0,0,0,0,0,0,0,0
Romtum,31600,1,1,0,0,0,2.5,0,0
Chan Sa,7704.09,0,0,750,15,0,0,0,0
Kang Cham,20652,0,0,150,8,15,1,0,0
Ruos Roan,7500,0,0,5,7,0,1,0,0
Popel,8635,105,4,1467,15,0,7,5,8
Ronak Ser,5398101,0,0,0,0,3,0.3,0,0
Siem Bouk,103841,7,0.8,55,20,3,1.2,0,0
Puok,6069,15,1,0,0,0,0,0,0
Kouk Chak,13500,0,0,0,0,0,0,0,0
Nokor Thum,5490,0,0,0,0,0,0,0,0
Rieb Roy,33200,0,0,11,5,6,0,0,0
Kaoh Sampeay,6425,0,0,0,0,0,0,0,0
Khnat,1971,23,2.5,5,4,0,0,0,0
Ballangk,5405,0,0,0,0,0,0,0,0
Dang Kambet,48900,0,0,410,80,79,0,0,0
Robieb,7200,1,0.5,6,2,0,1.5,0,0
Tuek Vil,2900,0,0,0,0,0,0,0,0
Phnum Touch,3355,10,2.5,1,2,0,0,0,0
Ampil,4800,0,0,0,0,0,0,0,0
Samraong Yea,3075,15,3,0,0,0,0,0,0
Pou Treay,5200,0,0,0,0,0,0,0,0
Kouk Thlok Leu,99610,4,0.5,10,3,0,0,0,0
Srae Krasang,10752,3,1,50,20,40,0.75,0,0
Prey Khpos,13800,0,0,0,0,0,0,0,0
Roya,220995.47,4,3,51,18,0,0,0,0
