Province,District,Com_Code,Commune,TOTPOP,URBAN04,U_Den08,URB_RC2011,URB_RCSDC,U_Reclass,Male11,Female11,Family11,Den_2011,TOPOP11,TOT_Area_C,DENSITY
Battambang,Sangkae,20802,Norea,5609,U,774.1,U0411,U0411,1,3104,3010,1141,11.848837,6114,516,774.1
Battambang,Battambang,20309,Ou Char,16027,U,1343,U0411,U0411,1,8794,9042,2890,16.263187,17836,1096.71,1343
Battambang,Battambang,20303,Rotanak,16123,U,2362.8,U0411,U0411,1,1441,1506,623,5.812623,2947,507,2362.8
Battambang,Battambang,20310,Svay Pao,21201,U,9758.7,U0411,U0411,1,10746,10318,3262,105.32,21064,200,9758.7
Battambang,Sangkae,20801,Anlong Vil,16749,U,412.9,UNU,U04F,1,2545,2791,1154,1.703704,5336,3132,412.9
Battambang,Battambang,20301,Tuol Ta Aek,15482,U,4168.4,U0411,U0411,1,8818,9858,3612,62.946373,18676,296.697,4168.4
Battambang,Battambang,20302,Preaek Preah Sdach,15024,U,5258.9,U0411,U0411,1,6557,7430,2527,47.501671,13987,294.4528,5258.9
Battambang,Battambang,20307,Ou Mal,10104,NU,268.8,0,USDC,1,5248,5629,2270,2.846875,10877,3820.68,268.8
Battambang,Battambang,20308,Voat Kor,16044,NU,647.2,0,USDC,1,7517,8062,2782,4.993925,15579,3119.59,647.2
Pailin,Pailin,240103,Tuol Lvea,6630,NU,65.9,0,USDC,1,3328,5240,1418,0.793333,8568,10800,65.9
Pailin,Pailin,240101,Pailin,15674,U,113.9,UNU,USDC,1,6553,6227,2920,6.39,12780,2000,113.9
Pailin,Pailin,240104,Bar Yakha,3751,NU,27.9,0,USDC,1,1759,1764,729,0.298559,3523,11800,27.9
Pailin,Pailin,240102,Ou Ta Vau,10299,NU,51.1,0,USDC,1,5193,4569,2264,0.495533,9762,19700,51.1
Kampong Thom,Stueng Saen,60308,Prey Ta Hu,5681,U,848.1,U0411,U0411,1,2984,2997,1485,5.992386,5981,998.1,848.1
Kampong Thom,Stueng Saen,60309,Achar Leak,6271,U,990.2,U0411,U0411,1,3097,3132,1477,7.279931,6229,855.64,990.2
Kampong Thom,Stueng Saen,60306,Kampong Krabau,4833,U,789.4,U0411,U0411,1,2394,2383,1014,5.986216,4777,798,789.4
Kampong Thom,Stueng Saen,60303,Kampong Roteh,4987,U,7756.7,U0411,U0411,1,2214,2502,1069,4.945003,4716,953.69,7756.7
Kampong Thom,Stueng Saen,60301,Damrei Choan Khla,6626,U,704.6,U0411,U0411,1,3565,3629,1528,5.998399,7194,1199.32,704.6
Kampong Thom,Stueng Saen,60302,Kampong Thum,3473,U,484.7,U0411,U0411,1,1229,1365,553,0.002973,2594,872471,484.7
Kampong Thom,Stueng Saen,60304,Ou Kanthor,4238,NU,89.4,0,USDC,1,2478,2560,1137,1.435941,5038,3508.5,89.4
Kampong Thom,Stueng Saen,60310,Srayov,17924,NU,63.4,0,USDC,1,9287,10300,4334,1.258903,19587,15558.79,63.4
Mondul Kiri,Saen Monourom,110502,Sokh Dom,2904,NU,15.6,0,UPD,1,1305,1368,561,0.034194,2673,78172,15.6
Mondul Kiri,Saen Monourom,110503,Spean Mean Chey,4859,U,51.7,UNU,USDC,1,2324,2505,845,804.833333,4829,6,51.7
Mondul Kiri,Saen Monourom,110504,Romonea,3108,NU,17,0,USDC,1,1388,1399,627,3.766216,2787,740,17
Pursat,Pursat,150504,Phteah Prey,15860,U,1229.6,U0411,U0411,1,8255,9597,3402,16.453456,17852,1085,1229.6
Pursat,Kandieng,150209,Veal,4782,U,901.8,U0411,U0411,1,4715,4907,1842,20.589305,9622,467.33,901.8
Pursat,Pursat,150508,Banteay Dei,5391,NU,369.5,0,USDC,1,2678,2912,1261,5.273585,5590,1060,369.5
Pursat,Pursat,150507,Svay At,4110,NU,375.9,0,USDC,1,2148,2446,986,4.490714,4594,1023,375.9
Mondul Kiri,Saen Monourom,110501,Monourom,1469,NU,18.7,0,UPD,1,5429,5335,2073,4.14,10764,2600,18.7
Pursat,Pursat,150505,Prey Nhi,5008,U,628.1,U0411,U0411,1,2539,2751,1063,6.08046,5290,870,628.1
Kracheh,Kracheh,100208,Krakor,3905,U,272.1,U0411,U0411,1,1877,1919,813,2.854135,3796,1330,272.1
Pursat,Pursat,150503,Lolok Sa,8875,NU,207.4,0,USDC,1,4694,5006,1959,4.132936,9700,2347,207.4
Pursat,Pursat,150506,Roleab,13210,NU,64.6,0,USDC,1,7565,7792,3150,3.414184,15357,4498,64.6
Kracheh,Kracheh,100207,Kaoh Trong,1511,NU,104.5,0,UPD,1,837,860,342,7.609865,1697,223,104.5
Kracheh,Kracheh,100210,Ou Ruessei,11615,U,366.3,U0411,U0411,1,4289,4740,2047,3.071088,9029,2940,366.3
Pursat,Pursat,150501,Chamraeun Phal,6392,NU,108.8,0,USDC,1,3900,4029,1493,1.525982,7929,5196,108.8
Kracheh,Kracheh,100209,Kracheh,8852,U,2128,U0411,U0411,1,3102,3281,1403,16.366667,6383,390,2128
Kracheh,Kracheh,100211,Roka Kandal,4661,U,194.5,U0411,U0411,1,2706,2821,1148,2.512273,5527,2200,194.5
Kampong Cham,Chamkar Leu,30205,Spueu,13150,NU,425.9,0,UPD,1,8380,8197,3641,0.028233,16577,587142,425.9
Kampong Cham,Chamkar Leu,30206,Svay Teab,22600,NU,262.5,0,UPD,1,11654,11643,4869,3.281268,23297,7100,262.5
Kampong Chhnang,Kampong Chhnang,40301,Phsar Chhnang,20226,U,1905.5,U0411,U0411,1,8582,8907,3148,16.640343,17489,1051,1905.5
Kampong Chhnang,Kampong Chhnang,40304,Khsam,6125,U,485.3,U0411,U0411,1,2803,3096,1371,5.602089,5899,1053,485.3
Kracheh,Chhloung,100101,Chhloung,6931,U,376,U0411,U0411,1,3895,3738,1499,3.8165,7633,2000,376
Kampong Chhnang,Kampong Chhnang,40302,Kampong Chhnang,10236,U,485.1,U0411,U0411,1,5271,5547,2188,5.100126,10818,2121.124,485.1
Kampong Thom,Baray,60114,Sou Young,7315,NU,371.3,0,UPD,1,4134,4439,1915,5.453562,8573,1572,371.3
Kampong Chhnang,Kampong Chhnang,40303,B'er,6543,U,2821.1,U0411,U0411,1,2897,3257,1221,27.230088,6154,226,2821.1
Kampong Cham,Cheung Prey,30308,Soutib,13620,U,518.8,UNU,U04F,1,7761,8138,3214,12.2206,15899,1301,518.8
Kampong Cham,Prey Chhor,31303,Chrey Vien,14982,U,564,UNU,U04F,1,11073,9062,4256,8.481466,20135,2374,564
Kampong Cham,Batheay,30106,Ph'av,7386,NU,460.5,0,UPD,1,2936,2745,1209,4.189528,5681,1356,460.5
Kampong Cham,Kampong Siem,30601,Ampil,14939,NU,544,U11,U11,1,3367,3431,1388,3.477238,6798,1955,544
Koh Kong,Mondol Seima,90501,Pak Khlang,12236,NU,9,0,UPD,1,7079,5146,2311,0.262227,12225,46620,9
