Province,District,Com_Code,Commune,TOTPOP,URBAN04,U_Den08,URB_RC2011,URB_RCSDC,U_Reclass,Male11,Female11,Family11,Den_2011,TOPOP11,TOT_Area_C,DENSITY
Phnom Penh,Mean Chey,120605,Chhbar Ampov Ti Pir,24879,U,21390.6,U0411,U0411,1,10254,10653,3901,250.653399,20907,83.41,21390.6
Kandal,Angk Snuol,80801,Baek Chan,15762,U,1165.4,U0411,U0411,1,5775,6094,2520,9.193648,11869,1291,1165.4
Phnom Penh,Chamkar Mon,120112,Phsar Daeum Thkov,21977,U,22629.7,U0411,U0411,1,6541,7098,2500,128.766994,13639,105.92,22629.7
Phnom Penh,Mean Chey,120604,Chhbar Ampov Ti Muoy,8848,U,19910.7,U0411,U0411,1,4592,5258,1876,0.025785,9850,382000,19910.7
Phnom Penh,Mean Chey,120606,Chak Angrae Leu,22223,U,6994,U0411,U0411,1,7324,7633,3114,54.192029,14957,276,6994
Kandal,Angk Snuol,80811,Peuk,8504,NU,593.1,U11,U11,1,4062,4208,1664,6.778689,8270,1220,593.1
Phnom Penh,Mean Chey,120603,Preaek Pra,17856,U,2976.2,U0411,U0411,1,7865,8898,3350,36.441304,16763,460,2976.2
Kandal,Kien Svay,80206,Kokir,18058,U,1153.3,U0411,U0411,1,3909,4013,1768,3.39269,7922,2335.02,1153.3
Prey Veng,Prey Veng,141002,Cheung Tuek,4953,NU,239.1,0,USDC,1,2775,2988,1471,3.465424,5763,1663,239.1
Phnom Penh,Mean Chey,120607,Chak Angrae Kraom,26328,U,2758.9,U0411,U0411,1,8796,9928,3594,8.183566,18724,2288,2758.9
Kampong Speu,Chbar Mon,50201,Chbar Mon,8700,U,263.9,UNU,USDC,1,4337,4761,1722,3.950499,9098,2303,263.9
Kandal,Kien Svay,80203,Dei Edth,16840,NU,814.4,0,UPD,1,7766,8146,3526,3.465157,15912,4592,814.4
Kampong Speu,Samraong Tong,50713,Trapeang Kong,17356,NU,530.2,U11,U11,1,7632,8064,3282,5.858903,15696,2679,530.2
Phnom Penh,Pur SenChey,120903,Phleung Chheh Roteh,5284,NU,547.4,0,USDC,1,2466,2554,1012,4.645997,5020,1080.5,547.4
Kampong Speu,Chbar Mon,50203,Rokar Thum,16284,U,1049.4,U0411,U0411,1,7922,8156,2820,0.009011,16078,1784341,1049.4
Phnom Penh,Dangkao,120515,Cheung Aek,7194,NU,546.3,U11,U11,1,3965,4385,1922,6.41321,8350,1302,546.3
Kandal,Angk Snuol,80807,Krang Mkak,5013,NU,385.2,0,UPD,1,2518,2715,1014,6.968043,5233,751,385.2
Phnom Penh,Dangkao,120507,Pong Tuek,7899,NU,709,U11,U11,1,3647,3666,1287,5.638396,7313,1297,709
Phnom Penh,Dangkao,120508,Prey Veaeng,5455,NU,605.9,U11,U11,1,2665,2812,1128,5.823498,5477,940.5,605.9
Prey Veng,Prey Veng,141003,Kampong Leav,14548,U,816.7,U0411,U0411,1,6668,7290,2911,6.825428,13958,2045,816.7
Phnom Penh,Pur SenChey,120908,Boeng Thum,7312,NU,451.3,0,USDC,1,3616,3825,1581,4.880784,7441,1524.55,451.3
Phnom Penh,Mean Chey,120611,Preaek Thmei,17107,NU,864.5,U11,U11,1,10048,10215,4259,9.301098,20263,2178.56,864.5
Kampong Speu,Chbar Mon,50204,Sopoar Tep,6687,U,850.5,U0411,U0411,1,3513,3772,1273,18.727506,7285,389,850.5
Kandal,Ta Khmau,81103,Daeum Mien,15001,U,4754.1,U0411,U0411,1,6239,7154,2656,38.007265,13393,352.38,4754.1
Kandal,Ta Khmau,81104,Ta Khmau,28359,U,2802.1,U0411,U0411,1,9091,9750,3859,19.336081,18841,974.396,2802.1
Phnom Penh,Dangkao,120513,Prateah Lang,4557,NU,529.8,0,USDC,1,2358,2618,1078,5.628959,4976,884,529.8
Kandal,Ta Khmau,81102,Preaek Ruessei,10329,U,4925.3,U0411,U0411,1,4370,5200,1899,42.304887,9570,226.215,4925.3
Prey Veng,Prey Veng,141001,Baray,4389,NU,146,0,USDC,1,5276,5362,1935,4.22814,10638,2516,146
Phnom Penh,Dangkao,120519,Spean Thma,2904,NU,370,0,USDC,1,1475,1598,707,4.016521,3073,765.09,370
Kandal,Ta Khmau,81101,Ta Kdol,4880,U,1973.4,U0411,U0411,1,2582,2712,1138,23.518927,5294,225.0953,1973.4
Kampong Speu,Chbar Mon,50202,Kandaol Dom,7138,U,786.3,UNU,USDC,1,3593,3936,1437,11.373112,7529,662,786.3
Kandal,Ta Khmau,81106,Kampong Samnanh,12815,U,3743.5,U0411,U0411,1,6366,6229,2346,26.982733,12595,466.78,3743.5
Phnom Penh,Dangkao,120514,Sak Sampov,2588,NU,448.3,0,USDC,1,1319,1369,585,3.493177,2688,769.5,448.3
Phnom Penh,Dangkao,120517,Preaek Kampues,8167,NU,722.1,U11,U11,1,4240,4499,1888,9.535188,8739,916.5,722.1
Kandal,Ta Khmau,81105,Preaek Hou,8757,U,867.8,U0411,U0411,1,3773,4196,1639,8.537147,7969,933.45,867.8
Kampong Speu,Chbar Mon,50205,Svay Kravan,8041,U,516.5,UNU,USDC,1,4025,4278,1543,11.844508,8303,701,516.5
Kandal,S'ang,81013,Svay Rolum,18047,NU,1048,U11,U11,1,5979,6464,2773,11.489381,12443,1083,1048
Phnom Penh,Dangkao,120512,Krang Pongro,3018,NU,438.8,U11,U11,1,1347,1461,561,3.832715,2808,732.64,438.8
Kandal,S'ang,81011,Setbou,9181,NU,535.9,U11,U11,1,4061,4434,1819,4.299089,8495,1976,535.9
Phnom Penh,Dangkao,120520,Tien,2197,NU,423.7,0,USDC,1,1147,1251,567,4.027815,2398,595.36,423.7
Phnom Penh,Dangkao,120518,Roluos,2878,NU,642.4,0,USDC,1,1243,1459,637,4.805862,2702,562.23,642.4
Phnom Penh,Dangkao,120516,Kong Noy,1689,NU,524,0,USDC,1,904,925,422,4.333815,1829,422.03,524
Kandal,Kandal Stueng,80103,Barku,5394,NU,769.5,U11,U11,1,2773,3349,1153,7.879022,6122,777,769.5
Kandal,Kandal Stueng,80102,Anlong Romiet,4250,U,728.6,U0411,U0411,1,2187,2372,865,7.203577,4559,632.88,728.6
Kandal,S'ang,81009,Roka Khpos,12180,NU,353.1,U11,U11,1,5958,7121,2458,3.774603,13079,3465,353.1
Kandal,S'ang,81008,Preaek Koy,14241,NU,933.8,U11,U11,1,6968,7318,3025,9.093571,14286,1571,933.8
Prey Veng,Peam Ro,140706,Preaek Khsay Ka,7012,U,1068.2,U0411,U0411,1,3100,3224,1670,13.147609,6324,481,1068.2
Prey Veng,Peam Ro,140707,Preaek Khsay Kha,11519,U,3010.7,U0411,U0411,1,5882,5978,2455,27.645688,11860,429,3010.7
Svay Rieng,Svay Rieng,200607,Sangkhoar,6212,NU,207.9,0,USDC,1,3993,4385,1644,3.774894,8378,2219.4,207.9
Svay Rieng,Svay Rieng,200605,Chek,8316,NU,273.7,0,USDC,1,4753,5145,2118,3.895823,9898,2540.67,273.7
Koh Kong,Srae Ambel,90606,Srae Ambel,12676,U,224.8,U0411,U0411,1,7053,6615,2537,6.086298,13668,2245.7,224.8
Svay Rieng,Svay Rieng,200602,Prey Chhlak,3121,U,675,U0411,U0411,1,1626,1757,720,12.049866,3383,280.75,675
Svay Rieng,Bavet,200802,Bavet,13528,NU,281.6,U11,U11,1,6006,6062,2939,2.449858,12068,4926,281.6
Svay Rieng,Bavet,200803,Chrak Mtes,9811,NU,151.3,0,USDC,1,5393,5668,2260,2.102852,11061,5260,151.3
Svay Rieng,Svay Rieng,200604,Pou Ta Hao,1736,NU,666.9,U11,U11,1,967,1051,432,12.969152,2018,155.6,666.9
Svay Rieng,Svay Rieng,200601,Svay Rieng,13908,U,2580.8,U0411,U0411,1,6692,6906,2790,31.771028,13598,428,2580.8
Svay Rieng,Svay Rieng,200606,Svay Toea,4674,NU,218.2,0,USDC,1,2602,2941,1240,2.463556,5543,2250,218.2
Svay Rieng,Svay Rieng,200603,Koy Trabaek,2569,NU,285.6,0,USDC,1,1212,1503,655,6.782413,2715,400.3,285.6
Svay Rieng,Bavet,200801,Bati,5033,NU,120.7,0,USDC,1,2675,2796,1248,1.366145,5471,4004.7,120.7
Svay Rieng,Bavet,200805,Prey Angkunh,6535,NU,315.9,0,USDC,1,3239,3565,1531,3.24,6804,2100,315.9
Takeo,Doun Kaev,210801,Baray,11126,NU,253.4,0,USDC,1,6833,7295,2628,3.445854,14128,4100,253.4
Takeo,Doun Kaev,210802,Roka Knong,14456,U,785.5,U0411,U0411,1,6193,7014,2711,6.87392,13207,1921.32,785.5
Svay Rieng,Bavet,200804,Prasat,2216,NU,80.7,0,USDC,1,3227,3599,1224,2.498865,6826,2731.64,80.7
Takeo,Doun Kaev,210803,Roka Krau,15801,NU,470.7,0,USDC,1,9721,9592,3235,5.600844,19313,3448.23,470.7
Preah Sihanouk,Preah Sihanouk,180105,Kaoh Rung,1837,NU,17.8,0,USDC,1,1092,1035,495,0.020853,2127,102000,17.8
Preah Sihanouk,Stueng Hav,180303,Tumnob Rolok,13040,NU,89.7,0,UPD,1,3956,3896,1537,1.500765,7852,5232,89.7
Preah Sihanouk,Stueng Hav,180301,Kampenh,1905,NU,287.1,0,UPD,1,904,873,367,2.908347,1777,611,287.1
Preah Sihanouk,Stueng Hav,180302,Ou Treh,5332,NU,69.4,0,UPD,1,2033,1610,709,0.475195,3643,7666.33,69.4
Preah Sihanouk,Prey Nob,180214,Veal Renh,10228,NU,646,0,UPD,1,4917,5107,1909,6.049487,10024,1657,646
Preah Sihanouk,Preah Sihanouk,180101,Muoy,20492,U,445.5,U0411,U0411,1,8332,8883,3558,3.78153,17215,4552.39,445.5
Kampot,Tuek Chhou,70703,Kampong Kraeng,6426,NU,390.9,U11,U11,1,3358,3595,1400,4.019075,6953,1730,390.9
Preah Sihanouk,Preah Sihanouk,180103,Bei,24276,U,1789.2,U0411,U0411,1,10130,10432,4250,15.54195,20562,1323,1789.2
Kampot,Kampot,70804,Andoung Khmer,10923,U,417.3,U0411,U0411,1,5408,5564,2116,7.266225,10972,1510,417.3
Preah Sihanouk,Preah Sihanouk,180102,Pir,13041,U,5505.1,U0411,U0411,1,5083,5179,2195,43.299578,10262,237,5505.1
Kampot,Tuek Chhou,70719,Trapeang Thum,2769,U,908.9,UNU,U04F,1,4314,4310,1649,35.279198,8624,244.45,908.9
Preah Sihanouk,Preah Sihanouk,180104,Buon,31638,U,1291.3,U0411,U0411,1,11658,12275,5252,9.792553,23933,2444,1291.3
Kampot,Kampot,70802,Krang Ampil,4632,U,1868.8,U0411,U0411,1,2133,2380,903,20.513636,4513,220,1868.8
Kampot,Kampot,70803,Kampong Bay,6376,U,3519.5,U0411,U0411,1,2776,3056,1144,41.070423,5832,142,3519.5
Kampot,Tuek Chhou,70702,Chum Kriel,5834,U,281.4,UNU,U04F,1,2550,2732,1055,2.564078,5282,2060,281.4
Kampot,Kampot,70801,Kampong Kandal,8285,U,4143.6,U0411,U0411,1,3352,3552,1376,40.611765,6904,170,4143.6
Kampot,Kampot,70805,Traeuy Kaoh,6151,NU,284.3,0,USDC,1,2922,3033,1338,3.135036,5955,1899.5,284.3
Kep,Kaeb,230203,Ou Krasar,6868,NU,441.6,0,UPD,1,3518,3748,1496,9.309417,7266,780.5,441.6
Kep,Kaeb,230202,Prey Thum,8027,NU,193.6,0,USDC,1,3826,3788,1756,1.509217,7614,5045,193.6
Kampot,Kampong Trach,70605,Kampong Trach Khang Kaeut,9455,U,596.5,UNU,U04F,1,5735,5394,1985,14.497115,11129,767.67,596.5
Kep,Kaeb,230201,Kaeb,4678,U,199.7,UNU,USDC,1,2319,2485,1051,2.044255,4804,2350,199.7
Phnom Penh,Pur SenChey,120901,Trapeang Krasang,12707,NU,1403.8,U11,U11,1,6544,6989,2934,26.125483,13533,518,1403.8
Phnom Penh,Pur SenChey,120906,Samraong Kraom,6193,NU,507.9,U11,U11,1,3110,3479,1413,6.77184,6589,973,507.9
Phnom Penh,Pur SenChey,120905,Kakab,35149,U,2787.5,U0411,U0411,1,12606,14977,5820,48.819469,27583,565,2787.5
Phnom Penh,Saensokh,120802,Tuek Thla,61595,U,9186.2,U0411,U0411,1,22267,26453,8503,62.423124,48720,780.48,9186.2
Phnom Penh,Mean Chey,120601,Stueng Mean chey,88590,U,7863.8,U0411,U0411,1,30001,35047,11594,76.079532,65048,855,7863.8
Phnom Penh,Dangkao,120510,Prey Sa,8439,NU,638.4,U11,U11,1,4238,4747,1948,9.774166,8985,919.26,638.4
Battambang,Sampov Lun,21004,Santepheap,10595,NU,178.3,0,UPD,1,1723,2033,813,0.916098,3756,4100,178.3
Siem Reap,Siem Reap,171009,Siem Reab,19117,U,718.7,U0411,U0411,1,2779,2776,1081,1.69205,5555,3283,718.7
Siem Reap,Siem Reap,171007,Chong Knies,3427,NU,120.1,0,USDC,1,4574,3550,1290,1.107114,8124,7338,120.1
Phnom Penh,Pur SenChey,120904,Chaom Chau,62652,U,2351.3,U0411,U0411,1,26023,47142,12851,32.192703,73165,2272.72,2351.3
Phnom Penh,Pur SenChey,120910,Kantaok,12511,U,941.3,U0411,U0411,1,4271,4507,1814,9.520607,8778,922,941.3
Phnom Penh,Pur SenChey,120909,Kamboul,8604,U,468.7,U0411,U0411,1,4262,3889,1574,4.594701,8151,1774,468.7
