Com_Code,Commune,HH,RiField_Ha,Commune_S,Ratio
160801.00000000000,Ta Veaeng Leu,918.00000000000,7500.00000000000,66007.00000000000,11.36000000000
190303.00000000000,Santepheap,813.00000000000,455.00000000000,19619.00000000000,2.32000000000
190305.00000000000,Tma Kaev,609.00000000000,1590.00000000000,37548.00000000000,4.23000000000
160802.00000000000,Ta Veaeng Kraom,669.00000000000,256.00000000000,1596.99700000000,16.03000000000
220405.00000000000,Ou Smach,2353.00000000000,0.00000000000,6930.70000000000,0.00000000000
220403.00000000000,Koun Kriel,4336.00000000000,12643.00000000000,62576.00000000000,20.20000000000
130306.00000000000,Kantuot,1203.00000000000,1513.00000000000,25166.00000000000,6.01000000000
130301.00000000000,Choam Ksant,1968.00000000000,2004.00000000000,36534.00000000000,5.49000000000
220503.00000000000,Ou Svay,1423.00000000000,8573.00000000000,22580.00000000000,37.97000000000
160910.00000000000,Veun Sai,649.00000000000,554.00000000000,7085.00000000000,7.82000000000
220203.00000000000,Kouk Khpos,1168.00000000000,9820.00000000000,31905.00000000000,30.78000000000
220502.00000000000,Ph'av,1209.00000000000,10687.00000000000,19428.00000000000,55.01000000000
220504.00000000000,Preah Pralay,1179.00000000000,4451.00000000000,19909.00000000000,22.36000000000
220104.00000000000,Trapeang Prei,1832.00000000000,17950.00000000000,32422.00000000000,55.36000000000
190301.00000000000,Preaek Meas,650.00000000000,1054.00000000000,74811.00000000000,1.41000000000
220103.00000000000,Trapeang Tav,1853.00000000000,1184.00000000000,32938.00000000000,3.59000000000
160905.00000000000,Kaoh Pang,217.00000000000,743.75000000000,3002.00000000000,24.78000000000
220204.00000000000,Kouk Mon,2871.00000000000,6075.00000000000,19557.00000000000,31.06000000000
220101.00000000000,Anlong Veaeng,2666.00000000000,4527.00000000000,25900.00000000000,17.48000000000
130302.00000000000,Tuek Kraham,1351.00000000000,2388.00000000000,66547.98000000000,3.59000000000
220201.00000000000,Ampil,3404.00000000000,6680.00000000000,34784.00000000000,19.20000000000
160907.00000000000,Kok Lak,441.00000000000,957.00000000000,25000.00000000000,3.83000000000
220505.00000000000,Tumnob Dach,921.00000000000,1500.00000000000,17260.00000000000,8.69000000000
220401.00000000000,Bansay Reak,1992.00000000000,10957.00000000000,24023.00000000000,45.61000000000
220105.00000000000,Thlat,814.00000000000,963.00000000000,16500.00000000000,5.84000000000
220501.00000000000,Bak Anloung,527.00000000000,3200.00000000000,14100.00000000000,22.70000000000
220106.00000000000,Lumtong,1661.00000000000,5000.00000000000,58200.00000000000,8.59000000000
10701.00000000000,Banteay Chhmar,3611.00000000000,2850.00000000000,36404.14000000000,7.83000000000
130304.00000000000,Rumdaoh Srae,857.00000000000,122130.00000000000,3183980.00000000000,3.84000000000
130305.00000000000,Yeang,1271.00000000000,971.00000000000,680181.50000000000,0.14000000000
220404.00000000000,Samraong,3796.00000000000,11065.00000000000,35921.00000000000,30.80000000000
220506.00000000000,Trapeang Prasat,4258.00000000000,33419.00000000000,91977.00000000000,36.33000000000
220402.00000000000,Bos Sbov,1085.00000000000,8796.00000000000,14646.00000000000,60.06000000000
130303.00000000000,Pring Thum,529.00000000000,970.00000000000,792664.80000000005,0.12000000000
220202.00000000000,Beng,3028.00000000000,12386.00000000000,34552.00000000000,35.85000000000
130207.00000000000,Kampong Sralau Muoy,482.00000000000,739.00000000000,622162.00000000000,0.12000000000
190302.00000000000,Sekong,1039.00000000000,1520.00000000000,77319.00000000000,1.97000000000
160103.00000000000,Nhang,1370.00000000000,150.00000000000,25419.00000000000,0.59000000000
220302.00000000000,Chong Kal,1724.00000000000,2815.00000000000,15450.00000000000,18.22000000000
220304.00000000000,Pongro,1050.00000000000,8720.00000000000,28177.00000000000,30.95000000000
130406.00000000000,Srayang,2460.00000000000,19.03000000000,111161.60000000001,0.02000000000
220303.00000000000,Krasang,1366.00000000000,6510.00000000000,15400.00000000000,42.27000000000
190304.00000000000,Srae Sambour,846.00000000000,2520.00000000000,70065.00000000000,3.60000000000
160906.00000000000,Kaoh Peak,710.00000000000,666.00000000000,4858.00000000000,13.71000000000
130203.00000000000,Sangkae Muoy,309.00000000000,418.00000000000,32900.00000000000,1.27000000000
130205.00000000000,Mlu Prey Muoy,405.00000000000,842.00000000000,332377.00000000000,0.25000000000
10702.00000000000,Kouk Romiet,4558.00000000000,9952.45800000000,18828.11500000000,52.86000000000
10706.00000000000,Kumru,1808.00000000000,5755.50000000000,7252.00000000000,79.36000000000
