NCDD_Code,NCDD_CodeD,Acronym_D,Acronym_C,NCDD_CodeC,Com_Code,OCSCode,Commune,Per_HH_El
10,1006,D,C,100602,100602,100602,Changkrang,0
2,209,D,C,20906,20906,20906,Mean Chey,18.018018
15,1501,D,C,150108,150108,150108,Svay Doun Kaev,48.156182
2,209,D,C,20903,20903,20903,Ou Samril,18.54899
2,213,D,C,21306,21306,21306,Chhnal Moan,4.284104
11,1101,D,C,110101,110101,110101,Chong Phlah,44.106464
15,1501,D,C,150102,150102,150102,Boeng Khnar,33.119297
6,607,D,C,60709,60709,60709,Ti Pou,0
10,1004,D,C,100410,100410,100410,Voadthonak,0
6,602,D,C,60206,60206,60206,Phat Sanday,1.757469
6,602,D,C,60203,60203,60203,Kampong Kou,0
6,603,M,S,60308,60308,60308,Prey Ta Hu,83.374283
6,603,M,S,60309,60309,60309,Achar Leak,83.359375
6,602,D,C,60211,60211,60211,Prey Kuy,0
6,602,D,C,60210,60210,60210,Kdei Doung,1.288404
10,1003,D,C,100302,100302,100302,Chrouy Banteay,1.907357
6,607,D,C,60710,60710,60710,Tboung Krapeu,0.570497
10,1006,D,C,100610,100610,100610,Thmei,0
6,603,M,S,60306,60306,60306,Kampong Krabau,71.030043
11,1104,D,C,110404,110404,110404,Bu Sra,50.795334
2,209,D,C,20907,20907,20907,Ta Sanh,17.607332
6,603,M,S,60303,60303,60303,Kampong Roteh,94.72693
6,603,M,S,60301,60301,60301,Damrei Choan Khla,81.955428
15,1502,D,C,150203,150203,150203,Kandieng,25.251799
6,603,M,S,60302,60302,60302,Kampong Thum,98.828125
6,603,M,S,60304,60304,60304,Ou Kanthor,3.871681
15,1503,D,C,150306,150306,150306,Kampong Pou,0.157233
15,1502,D,C,150204,150204,150204,Kanhchor,1.327434
2,209,D,C,20904,20904,20904,Sung,29.582449
6,607,D,C,60704,60704,60704,Kakaoh,2.121771
2,214,D,C,21401,21401,21401,Preaek Chik,2.465753
6,603,M,S,60310,60310,60310,Srayov,25.60915
15,1502,D,C,150210,150210,150210,Kaoh Chum,0
2,209,D,C,20902,20902,20902,Kampong Lpov,12.753188
6,607,D,C,60702,60702,60702,Chroab,1.675393
11,1105,M,S,110502,110502,110502,Sokh Dom,55.428571
2,214,D,C,21402,21402,21402,Prey Tralach,0
15,1503,D,C,150308,150308,150308,Ou Sandan,5.681818
11,1104,D,C,110403,110403,110403,Srae Ampum,27.310924
15,1503,D,C,150309,150309,150309,Sna Ansa,0
15,1502,D,C,150207,150207,150207,Svay Luong,26.14897
15,1501,D,C,150106,150106,150106,Rumlech,8.233455
15,1501,D,C,150110,150110,150110,Trapeang chorng,19.878249
15,1501,D,C,150103,150103,150103,Khnar Totueng,2.551834
6,607,D,C,60708,60708,60708,Tang Krasang,30.112972
15,1502,D,C,150201,150201,150201,Anlong Vil,30.717703
11,1101,D,C,110103,110103,110103,Srae Chhuk,4.5677
10,1006,D,C,100603,100603,100603,Dar,0
4,404,D,C,40404,40404,40404,Phlov Tuk,1.298701
11,1105,M,S,110503,110503,110503,Spean Mean Chey,93.939394
15,1503,D,C,150301,150301,150301,Anlong Tnaot,41.733871
6,607,D,C,60703,60703,60703,Kampong Thma,50.756811
10,1006,D,C,100605,100605,100605,Kou Loab,0
6,607,D,C,60707,60707,60707,Prasat,7.847296
11,1105,M,S,110504,110504,110504,Romonea,6.25
15,1505,M,S,150504,150504,150504,Phteah Prey,80.810171
11,1101,D,C,110102,110102,110102,Memang,6.297229
15,1503,D,C,150307,150307,150307,Kbal Trach,36.614937
15,1502,D,C,150209,150209,150209,Veal,88.322521
10,1006,D,C,100609,100609,100609,Thma Kreae,4.323827
15,1501,D,C,150109,150109,150109,Ta Lou,3.975853
15,1506,D,C,150602,150602,150602,Krapeu Pir,3.068592
15,1503,D,C,150303,150303,150303,Boeng Kantuot,0.281889
4,404,D,C,40401,40401,40401,Chranouk,0
15,1505,M,S,150508,150508,150508,Banteay Dei,76.045939
11,1103,D,C,110301,110301,110301,Dak Dam,34.862385
15,1503,D,C,150302,150302,150302,Ansa Chambak,0
15,1505,M,S,150507,150507,150507,Svay At,67.477204
11,1105,M,S,110501,110501,110501,Monourom,93.656716
6,601,D,C,60105,60105,60105,Chaeung Daeung,0.137868
6,607,D,C,60706,60706,60706,Pnov,0
15,1505,M,S,150505,150505,150505,Prey Nhi,82.32642
10,1003,D,C,100307,100307,100307,Saob,14.779271
10,1002,M,S,100208,100208,100208,Krakor,68.157895
6,601,D,C,60117,60117,60117,Tnaot Chum,0
15,1505,M,S,150503,150503,150503,Lolok Sa,33.755702
6,601,D,C,60101,60101,60101,Bak Sna,5.848903
15,1505,M,S,150506,150506,150506,Roleab,41.35101
6,601,D,C,60111,60111,60111,Krava,10.175268
10,1002,M,S,100207,100207,100207,Kaoh Trong,0
10,1002,M,S,100210,100210,100210,Ou Ruessei,59.784483
15,1503,D,C,150311,150311,150311,Tnaot Chum,0
2,209,D,C,20901,20901,20901,Ta Taok,15.68323
15,1504,D,C,150403,150403,150403,Phteah Rung,5.811001
10,1005,D,C,100505,100505,100505,Svay Chreah,0.093327
4,401,D,C,40102,40102,40102,Chhnok Tru,4.324324
4,404,D,C,40406,40406,40406,Pralay Meas,0.687623
15,1504,D,C,150401,150401,150401,Bak Chenhchien,0.35014
15,1505,M,S,150501,150501,150501,Chamraeun Phal,6.55106
6,601,D,C,60102,60102,60102,Ballangk,57.611312
15,1504,D,C,150407,150407,150407,Samraong,1.156421
3,315,D,C,31514,31514,31514,Tuol Sambuor,4.919584
10,1006,D,C,100604,100604,100604,Kantuot,0
4,401,D,C,40111,40111,40111,Trapeang Chan,3.098373
10,1002,M,S,100209,100209,100209,Kracheh,98.760029
6,601,D,C,60108,60108,60108,Chong Doung,45.360825
3,315,D,C,31506,31506,31506,Ou Mlu,24.839006
3,315,D,C,31503,31503,31503,Dang Kdar,28.304467
6,601,D,C,60110,60110,60110,Kokir Thum,0
4,401,D,C,40103,40103,40103,Chak,16.423841
10,1002,M,S,100211,100211,100211,Roka Kandal,98.016997
4,401,D,C,40104,40104,40104,Khon Rang,20.573871
11,1103,D,C,110302,110302,110302,Saen Monourom,7.912458
10,1003,D,C,100301,100301,100301,Chambak,37.068443
10,1003,D,C,100305,100305,100305,Preaek Prasab,29.492405
10,1003,D,C,100306,100306,100306,Ruessei Kaev,54.013015
4,404,D,C,40402,40402,40402,Dar,0
4,401,D,C,40110,40110,40110,Ponley,64.63631
15,1504,D,C,150404,150404,150404,Prongil,3.491272
10,1006,D,C,100601,100601,100601,Bos Leav,0.626959
10,1006,D,C,100608,100608,100608,Thma Andaeuk,0
4,401,D,C,40105,40105,40105,Kampong Preah Kokir,0
15,1506,D,C,150603,150603,150603,Anlong Reab,0.993049
3,315,D,C,31501,31501,31501,Areaks Tnot,46.895844
4,401,D,C,40107,40107,40107,Phsar,0.078864
6,601,D,C,60104,60104,60104,Boeng,30.706962
4,401,D,C,40109,40109,40109,Popel,16.331878
6,601,D,C,60103,60103,60103,Baray,55.111294
4,401,D,C,40108,40108,40108,Pech Changvar,0
15,1506,D,C,150604,150604,150604,Pramaoy,27.630522
11,1101,D,C,110105,110105,110105,Srae Preah,18.686869
4,401,D,C,40106,40106,40106,Melum,0
6,601,D,C,60107,60107,60107,Chhuk Khsach,5.115574
4,404,D,C,40405,40405,40405,Pou,0
3,315,D,C,31504,31504,31504,Khpob Ta Nguon,0
10,1006,D,C,100606,100606,100606,Kaoh Chraeng,0
15,1503,D,C,150310,150310,150310,Svay Sa,7.730673
10,1005,D,C,100501,100501,100501,Khsuem,1.624365
15,1506,D,C,150605,150605,150605,Thma Da,8.752735
15,1503,D,C,150304,150304,150304,Chheu Tom,16.003511
3,302,D,C,30208,30208,30208,Ta Prok,18.669872
10,1003,D,C,100308,100308,100308,Ta Mau,21.673954
10,1003,D,C,100303,100303,100303,Kampong Kor,0
3,302,D,C,30202,30202,30202,Chamkar Andoung,48.883999
4,404,D,C,40407,40407,40407,Samraong Saen,0
15,1504,D,C,150402,150402,150402,Leach,62.535053
4,401,D,C,40101,40101,40101,Anhchanh Rung,0
3,302,D,C,30204,30204,30204,Lvea Leu,36.998617
3,302,D,C,30205,30205,30205,Spueu,60.948304
3,315,D,C,31510,31510,31510,Preak Kak,29.794058
6,601,D,C,60118,60118,60118,Triel,45.223881
4,404,D,C,40408,40408,40408,Svay Rumpear,0
4,406,D,C,40612,40612,40612,Svay Chrum,11.619604
10,1001,D,C,100105,100105,100105,Kanhchor,0.625559
4,406,D,C,40608,40608,40608,Prasnoeb,0.075075
4,408,D,C,40806,40806,40806,Krang Skear,2.907516
3,315,D,C,31505,31505,31505,Me Sar Chrey,37.576453
15,1504,D,C,150406,150406,150406,Santreae,13.338192
15,1504,D,C,150405,150405,150405,Rokat,24.418605
3,302,D,C,30203,30203,30203,Cheyyou,21.083861
3,315,D,C,31507,31507,31507,Peam Kaoh Snar,0.136986
4,404,D,C,40409,40409,40409,Trangel,1.962457
3,315,D,C,31508,31508,31508,Preah Andoung,0.699301
6,601,D,C,60115,60115,60115,Sralau,39.065817
4,406,D,C,40602,40602,40602,Banteay Preal,3.042198
3,302,D,C,30206,30206,30206,Svay Teab,59.140503
4,403,M,S,40301,40301,40301,Phsar Chhnang,72.041654
4,403,M,S,40304,40304,40304,Khsam,67.644726
6,601,D,C,60112,60112,60112,Andoung Pou,35.778986
11,1101,D,C,110104,110104,110104,Srae Khtum,82.783552
3,315,D,C,31512,31512,31512,Soupheas,0.272851
4,404,D,C,40403,40403,40403,Kampong Hau,24.763705
4,406,D,C,40607,40607,40607,Pongro,13.134851
4,402,D,C,40204,40204,40204,Peam Chhkaok,1.028999
3,309,D,C,30905,30905,30905,Krouch Chhmar,54.551008
10,1001,D,C,100108,100108,100108,Preaek Saman,6.165919
6,601,D,C,60109,60109,60109,Chrolong,14.632035
3,309,D,C,30911,30911,30911,Trea,60.720945
3,302,D,C,30207,30207,30207,Ta Ong,36.862069
3,309,D,C,30910,30910,30910,Svay Khleang,77.890011
10,1003,D,C,100304,100304,100304,Kaoh Ta Suy,6.865672
3,309,D,C,30907,30907,30907,Peus Pir,69.581395
6,601,D,C,60113,60113,60113,Pongro,4.64135
6,601,D,C,60106,60106,60106,Chraneang,12.804878
15,1506,D,C,150601,150601,150601,Ou Saom,5.490196
4,406,D,C,40611,40611,40611,Srae Thmei,59.15493
3,315,D,C,31513,31513,31513,Tuol Preah Khleang,0
10,1001,D,C,100101,100101,100101,Chhloung,71.17052
4,403,M,S,40302,40302,40302,Kampong Chhnang,76.142376
3,309,D,C,30906,30906,30906,Peus Muoy,71.783296
10,1001,D,C,100103,100103,100103,Han Chey,74.547983
6,601,D,C,60114,60114,60114,Sou Young,50.571945
3,301,D,C,30111,30111,30111,Trab,0
10,1001,D,C,100107,100107,100107,Pongro,42.457421
10,1001,D,C,100106,100106,100106,Khsach Andaet,66.226415
3,309,D,C,30909,30909,30909,Roka Khnor,42.273368
3,309,D,C,30902,30902,30902,Chumnik,18.438914
10,1001,D,C,100102,100102,100102,Damrei Phong,19.486504
4,403,M,S,40303,40303,40303,B'er,78.432956
4,402,D,C,40203,40203,40203,Kampong Ous,0
4,406,D,C,40606,40606,40606,Krang Leav,0
6,601,D,C,60116,60116,60116,Svay Phleung,0.295858
3,301,D,C,30108,30108,30108,Sandaek,5.455933
3,309,D,C,30908,30908,30908,Preaek A chi,0
3,309,D,C,30901,30901,30901,Chhuk,0
3,303,D,C,30305,30305,30305,Pring Chrum,0
4,406,D,C,40604,40604,40604,Chrey Bak,28.499613
3,315,D,C,31509,31509,31509,Preaek Bak,0
3,304,D,C,30405,30405,30405,Seda,0.313858
3,303,D,C,30306,30306,30306,Sampong Chey,1.335428
3,309,D,C,30912,30912,30912,Tuol Snuol,2.713816
3,313,D,C,31302,31302,31302,Boeng Nay,6.651147
10,1005,D,C,100503,100503,100503,Snuol,31.656051
3,302,D,C,30201,30201,30201,Bos Khnor,57.365854
4,406,D,C,40605,40605,40605,Kouk Banteay,28.847641
4,402,D,C,40205,40205,40205,Prey Kri,33.053892
3,304,D,C,30407,30407,30407,Trapeang Pring,7.202305
10,1001,D,C,100104,100104,100104,Kampong Damrei,14.689266
4,402,D,C,40201,40201,40201,Chol Sar,5.839416
3,313,D,C,31313,31313,31313,Thma Pun,18.802573
4,406,D,C,40601,40601,40601,Andoung Snay,39.884868
4,406,D,C,40610,40610,40610,Rolea B'ier,66.74889
3,306,D,C,30613,30613,30613,Srak,0.067114
4,406,D,C,40609,40609,40609,Prey Mul,0
3,309,D,C,30904,30904,30904,Kaoh Pir,0.353357
3,306,D,C,30602,30602,30602,Hanchey,6.614786
3,313,D,C,31306,31306,31306,Krouch,6.759203
3,313,D,C,31305,31305,31305,Kor,15.474061
10,1005,D,C,100504,100504,100504,Srae Char,10.956924
4,408,D,C,40807,40807,40807,Tang Krasang,0.045331
3,309,D,C,30903,30903,30903,Kampong Treas,0.241546
3,310,D,C,31011,31011,31011,Rumchek,1.924448
4,406,D,C,40603,40603,40603,Cheung Kreav,0
3,303,D,C,30307,30307,30307,Sdaeung Chey,2.970297
3,313,D,C,31315,31315,31315,Trapeang Preah,24.467456
4,408,D,C,40802,40802,40802,Chieb,0.060132
4,402,D,C,40202,40202,40202,Kaoh Thkov,0
10,1005,D,C,100502,100502,100502,Pir Thnu,27.059497
3,316,D,C,31615,31615,31615,Peam Chileang,0
3,303,D,C,30310,30310,30310,Trapeang Kor,0
3,306,D,C,30610,30610,30610,Ou Svay,24.21875
3,316,D,C,31616,31616,31616,Roka Po Pram,36.084453
4,408,D,C,40805,40805,40805,Khlong Popok,0.222222
3,306,D,C,30612,30612,30612,Rumchek,0
3,313,D,C,31301,31301,31301,Baray,20.787262
4,406,D,C,40613,40613,40613,Tuek Hout,6.670468
3,306,D,C,30603,30603,30603,Kien Chrey,0
4,405,D,C,40508,40508,40508,Saeb,14.889467
9,907,D,C,90701,90701,90701,Ta Tey Leu,10.416667
3,306,D,C,30614,30614,30614,Trean,0
3,301,D,C,30110,30110,30110,Tang Krasang,4.405286
3,301,D,C,30112,30112,30112,Tumnob,9.733978
3,313,D,C,31310,31310,31310,Sour Saen,0
3,306,D,C,30607,30607,30607,Kaoh Samraong,63.554464
3,316,D,C,31621,31621,31621,Thma Pech,26.623794
3,304,D,C,30402,30402,30402,Dambae,15.30343
3,303,D,C,30309,30309,30309,Sramar,17.038308
3,313,D,C,31309,31309,31309,Prey Chhor,0
3,303,D,C,30303,30303,30303,Pdau Chum,32.371984
3,303,D,C,30302,30302,30302,Kouk Rovieng,0
3,306,D,C,30609,30609,30609,Krala,46.585021
3,303,D,C,30308,30308,30308,Soutib,52.953661
3,313,D,C,31304,31304,31304,Khvet Thum,2.167414
3,303,D,C,30301,30301,30301,Khnor Dambang,0.647668
5,504,D,C,50403,50403,50403,Trapeang Chour,1.883562
3,301,D,C,30104,30104,30104,Cheung Prey,6.225931
4,405,D,C,40501,40501,40501,Ampil Tuek,0.344382
3,316,D,C,31602,31602,31602,Boeng Pruol,0.291758
3,313,D,C,31307,31307,31307,Lvea,4.903148
3,313,D,C,31303,31303,31303,Chrey Vien,37.459283
3,313,D,C,31312,31312,31312,Sragnae,7.869634
3,306,D,C,30611,30611,30611,Ro'ang,16.783544
3,301,D,C,30105,30105,30105,Me Pring,0
4,408,D,C,40801,40801,40801,Akphivoadth,27.352941
4,405,D,C,40502,40502,40502,Chhuk Sa,13.317972
4,405,D,C,40509,40509,40509,Ta Ches,3.117601
3,313,D,C,31308,31308,31308,Mien,9.593023
3,303,D,C,30304,30304,30304,Prey Char,18.48249
3,313,D,C,31311,31311,31311,Samraong,0.704225
3,306,D,C,30615,30615,30615,Vihear Thum,28.243728
4,407,D,C,40702,40702,40702,Khna Chhmar,0
3,301,D,C,30106,30106,30106,Ph'av,68.349754
4,408,D,C,40803,40803,40803,Chaong Maong,0
3,313,D,C,31314,31314,31314,Tong Rong,0.30326
3,310,D,C,31006,31006,31006,Kampoan,6.986028
3,306,D,C,30601,30601,30601,Ampil,70.740268
4,408,D,C,40808,40808,40808,Tuol Khpos,0
3,316,D,C,31605,31605,31605,Chirou Ti Muoy,0
9,905,D,C,90501,90501,90501,Pak Khlang,84.151247
3,307,D,C,30706,30706,30706,Preaek Krabau,12.513904
3,316,D,C,31612,31612,31612,Kor,33.76054
3,316,D,C,31606,31606,31606,Chirou Ti Pir,52.169077
3,304,D,C,30403,30403,30403,Kouk Srok,0.267953
3,305,M,S,30501,30501,30501,Boeng Kok,99.348341
3,307,D,C,30711,30711,30711,Sour Kong,27.703636
4,408,D,C,40804,40804,40804,Kbal Tuek,0
3,301,D,C,30101,30101,30101,Batheay,26.863572
4,405,D,C,40510,40510,40510,Thma Edth,8.722467
3,316,D,C,31622,31622,31622,Tonle Bet,56.751955
3,307,D,C,30707,30707,30707,Reay Pay,0
3,305,M,S,30502,30502,30502,Kampong Cham,100
3,305,M,S,30504,30504,30504,Veal Vong,98.522167
4,405,D,C,40503,40503,40503,Chres,6.231199
3,307,D,C,30709,30709,30709,Roka Koy,58.618844
3,317,M,S,31702,31702,31702,Vihear Luong,66.974104
3,305,M,S,30503,30503,30503,Sambuor Meas,92.156134
3,307,D,C,30701,30701,30701,Angkor Ban,35.372069
3,306,D,C,30606,30606,30606,Kaoh Roka,56.950673
3,310,D,C,31014,31014,31014,Tonlung,11.422505
4,407,D,C,40703,40703,40703,Krang Lvea,1.844467
3,306,D,C,30605,30605,30605,Kaoh Mitt,49.230769
3,306,D,C,30604,30604,30604,Kokor,56.875
3,301,D,C,30102,30102,30102,Chbar Ampov,0
3,316,D,C,31608,31608,31608,Chob,93.845785
3,310,D,C,31007,31007,31007,Memong,0.713267
3,317,M,S,31701,31701,31701,Suong,95.470536
4,407,D,C,40709,40709,40709,Thlok Vien,1.486698
3,310,D,C,31004,31004,31004,Choam Ta Mau,0.435967
4,405,D,C,40504,40504,40504,Kampong Tralach,24.396135
3,316,D,C,31613,31613,31613,Lngieng,17.244094
3,307,D,C,30705,30705,30705,Preaek Koy,1.868327
3,307,D,C,30704,30704,30704,Peam Chi Kang,59.072696
4,405,D,C,40506,40506,40506,Ou Ruessei,43.793446
3,307,D,C,30703,30703,30703,Khchau,4.190676
5,508,D,C,50801,50801,50801,Amleang,0
3,304,D,C,30406,30406,30406,Tuek Chrov,27.933357
3,304,D,C,30401,30401,30401,Chong Cheach,17.015209
4,405,D,C,40507,40507,40507,Peani,24.06232
3,314,D,C,31411,31411,31411,Ruessei Srok,0.683371
3,308,D,C,30802,30802,30802,Kaoh Sotin,5.903128
3,316,D,C,31618,31618,31618,Sralab,53.148093
3,306,D,C,30608,30608,30608,Kaoh Tontuem,0
9,907,D,C,90702,90702,90702,Pralay,5.208333
3,301,D,C,30103,30103,30103,Chealea,36.026059
3,310,D,C,31016,31016,31016,Kokir,44.59203
3,314,D,C,31413,31413,31413,Svay Khsach Phnum,12.093023
3,314,D,C,31404,31404,31404,Kaoh Andaet,0
3,308,D,C,30805,30805,30805,Moha Khnhoung,5.931729
3,301,D,C,30107,30107,30107,Sambour,39.503468
4,407,D,C,40708,40708,40708,Tbaeng Khpos,8.657588
3,308,D,C,30801,30801,30801,Kampong Reab,0
3,308,D,C,30808,30808,30808,Preaek Ta Nong,0.294985
4,407,D,C,40705,40705,40705,Sedthei,6.126238
3,314,D,C,31410,31410,31410,Preaek Rumdeng,0
5,504,D,C,50405,50405,50405,Ta Sal,0.07837
3,316,D,C,31614,31614,31614,Mong Riev,54.736245
3,314,D,C,31408,31408,31408,Preaek Dambouk,41.797432
4,405,D,C,40505,40505,40505,Longveaek,30.677052
3,311,D,C,31107,31107,31107,Preah Theat,18.968134
3,308,D,C,30806,30806,30806,Peam Prathnuoh,11.693374
3,307,D,C,30702,30702,30702,Kang Ta Noeng,0
3,307,D,C,30708,30708,30708,Roka Ar,0.933956
3,304,D,C,30404,30404,30404,Neang Teut,0
3,308,D,C,30807,30807,30807,Pongro,5.208333
3,312,D,C,31204,31204,31204,Kandaol Chrum,37.158734
3,310,D,C,31013,31013,31013,Tramung,49.176277
3,307,D,C,30710,30710,30710,Sdau,13.140496
3,314,D,C,31406,31406,31406,Phteah Kandal,63.339383
8,809,D,C,80905,80905,80905,Kaoh Chen,43.771828
3,314,D,C,31401,31401,31401,Baray,5.871671
3,301,D,C,30109,30109,30109,Tang Krang,15.096201
4,407,D,C,40707,40707,40707,Svay Chuk,12.852665
8,809,D,C,80903,80903,80903,Kampong Luong,86.986987
3,308,D,C,30803,30803,30803,Lve,5.899851
3,316,D,C,31604,31604,31604,Chikor,6.698757
8,807,D,C,80707,80707,80707,Roka Kong Ti Muoy,70.803783
3,312,D,C,31209,31209,31209,Veal Mlu,28.75166
8,807,D,C,80711,80711,80711,Svay Ampear,7.181241
3,310,D,C,31008,31008,31008,Memot,75.757576
3,316,D,C,31601,31601,31601,Anhchaeum,16.995741
3,312,D,C,31207,31207,31207,Popel,70.91147
3,310,D,C,31005,31005,31005,Dar,55.913462
14,1412,D,C,141207,141207,141207,Preaek Changkran,27.025232
3,308,D,C,30804,30804,30804,Moha Leaph,0
3,312,D,C,31206,31206,31206,Kraek,69.301205
4,407,D,C,40706,40706,40706,Svay,12.272333
4,407,D,C,40704,40704,40704,Peam,0.768808
14,1412,D,C,141204,141204,141204,Pnov Ti Muoy,0
8,807,D,C,80708,80708,80708,Roka Kong Ti Pir,69.724771
3,310,D,C,31003,31003,31003,Choam Kravien,34.185681
4,407,D,C,40701,40701,40701,Chhean Laeung,0
3,311,D,C,31108,31108,31108,Tuol Souphi,12.08516
3,314,D,C,31409,31409,31409,Preaek Pou,49.589905
8,803,D,C,80317,80317,80317,Ta Aek,6.403013
3,314,D,C,31405,31405,31405,Mean Chey,0.447678
14,1412,D,C,141210,141210,141210,Rumlech,6.045651
3,311,D,C,31105,31105,31105,Mien,0
14,1412,D,C,141203,141203,141203,Lve,0
3,311,D,C,31101,31101,31101,Ampil Ta Pok,35.900621
8,807,D,C,80704,80704,80704,Preaek Dambang,50.327049
8,809,D,C,80914,80914,80914,Vihear Luong,80.411047
8,803,D,C,80304,80304,80304,Kaoh Chouram,82.174339
3,311,D,C,31103,31103,31103,Damril,0
3,314,D,C,31407,31407,31407,Pram Yam,0
8,809,D,C,80904,80904,80904,Kampong Os,12.903226
3,311,D,C,31102,31102,31102,Chak,0
14,1412,D,C,141202,141202,141202,Chrey Khmum,0
5,505,D,C,50511,50511,50511,Veang Chas,83.539095
8,807,D,C,80710,80710,80710,Sambuor Meas,45.076923
3,311,D,C,31104,31104,31104,Kong Chey,44.37067
8,809,D,C,80911,80911,80911,Phsar Daek,73.784615
3,312,D,C,31205,31205,31205,Kaong Kang,87.273306
8,803,D,C,80316,80316,80316,Svay Romiet,47.185741
5,505,D,C,50507,50507,50507,Preah Srae,30.684327
14,1412,D,C,141205,141205,141205,Pnov Ti Pir,0
5,505,D,C,50510,50510,50510,Veal Pong,1.116071
3,312,D,C,31202,31202,31202,Dountei,0.069638
3,314,D,C,31412,31412,31412,Svay Pou,3.312192
3,310,D,C,31015,31015,31015,Triek,37.998373
3,314,D,C,31403,31403,31403,Khnar Sa,0
8,809,D,C,80907,80907,80907,Ponhea Lueu,87.903226
5,508,D,C,50807,50807,50807,Veal Pon,0.183711
8,807,D,C,80709,80709,80709,Ruessei Chrouy,75.788288
14,1408,D,C,140805,140805,140805,Mesar Prachan,0
3,310,D,C,31001,31001,31001,Chan Mul,12.387792
3,312,D,C,31203,31203,31203,Kak,14.000961
14,1408,D,C,140809,140809,140809,Prey Sralet,0
14,1412,D,C,141208,141208,141208,Prey Daeum Thnoeng,38.938053
8,809,D,C,80906,80906,80906,Phnum Bat,48.393107
8,803,D,C,80306,80306,80306,Preah Prasab,58.731118
3,314,D,C,31414,31414,31414,Tong Tralach,0
3,310,D,C,31010,31010,31010,Rung,21.141649
8,809,D,C,80913,80913,80913,Tumnob Thum,40.301724
8,807,D,C,80703,80703,80703,Preaek Anhchanh,87.220698
5,508,D,C,50802,50802,50802,Monourom,2.276867
14,1412,D,C,141209,141209,141209,Prey Tueng,0
14,1412,D,C,141211,141211,141211,Ruessei Sanh,0
5,508,D,C,50804,50804,50804,Prambei Mum,0.206612
3,314,D,C,31402,31402,31402,Chi Bal,0
8,803,D,C,80310,80310,80310,Preaek Ta Meak,59.221658
14,1412,D,C,141201,141201,141201,Ampil Krau,1.400778
3,310,D,C,31002,31002,31002,Choam,14.882155
3,312,D,C,31208,31208,31208,Trapeang Phlong,75.052362
8,809,D,C,80910,80910,80910,Preaek Ta Teaen,66.190476
5,504,D,C,50404,50404,50404,Sangkae Satob,11.561562
14,1404,D,C,140408,140408,140408,Tnaot,1.262399
14,1408,D,C,140802,140802,140802,Kanhcham,2.283268
5,505,D,C,50509,50509,50509,Trach Tong,0
9,907,D,C,90704,90704,90704,Ruessei Chrum,7.30897
8,803,D,C,80312,80312,80312,Roka Chonlueng,0
14,1404,D,C,140405,140405,140405,Kouk Kong Lech,2.335766
14,1404,D,C,140404,140404,140404,Kouk Kong Kaeut,0.074683
5,508,D,C,50805,50805,50805,Rung Roeang,0.104439
8,803,D,C,80302,80302,80302,Chey Thum,0
8,809,D,C,80902,80902,80902,Chrey Loas,63.456938
8,803,D,C,80311,80311,80311,Puk Ruessei,65.010989
12,1207,K,S,120713,120713,80701,Bak Kaeng,98.162939
5,505,D,C,50504,50504,50504,Khsem Khsant,40.989583
14,1404,D,C,140402,140402,140402,Kanhchriech,19.796954
14,1412,D,C,141206,141206,141206,Pou Ti,0.091075
14,1402,D,C,140201,140201,140201,Cheach,0
5,505,D,C,50506,50506,50506,Mean Chey,0
8,803,D,C,80313,80313,80313,Sanlung,18.69107
14,1404,D,C,140403,140403,140403,Kdoeang Reay,4.708439
14,1404,D,C,140407,140407,140407,Thma Pun,8.863399
12,1208,K,S,120806,120806,80912,Samraong,94.106583
5,505,D,C,50501,50501,50501,Chan Saen,0
14,1408,D,C,140811,140811,140811,Roka,43.98682
12,1207,K,S,120714,120714,80702,Kaoh Dach,61.94655
5,505,D,C,50512,50512,50512,Yutth Sameakki,0
8,803,D,C,80318,80318,80318,Vihear Suork,56.162953
14,1408,D,C,140807,140807,140807,Prey Pnov,15.809434
8,809,D,C,80901,80901,80901,Chhveang,35.225278
14,1408,D,C,140801,140801,140801,Kampong Popil,26.954083
14,1404,D,C,140401,140401,140401,Chong Ampil,3.760163
8,803,D,C,80314,80314,80314,Sithor,28.631579
14,1402,D,C,140204,140204,140204,Krabau,21.587744
12,1208,K,S,120805,120805,80909,Preaek Phnov,99.390739
5,508,D,C,50808,50808,50808,Yea Angk,1.515972
14,1408,D,C,140810,140810,140810,Reab,19.914927
14,1404,D,C,140406,140406,140406,Preal,0
8,808,D,C,80809,80809,80809,Mkak,86.403086
9,907,D,C,90703,90703,90703,Chumnoab,0
12,1207,K,S,120708,120708,120708,Preaek Lieb,100
8,803,D,C,80307,80307,80307,Preaek Ampil,60.957976
12,1208,K,S,120804,120804,80908,Ponhea Pon,91.415158
8,803,D,C,80303,80303,80303,Kampong Chamlang,38.618246
12,1207,K,S,120709,120709,120709,Preaek Ta Sek,81.825213
5,505,D,C,50502,50502,50502,Cheung Roas,25.127831
14,1402,D,C,140205,140205,140205,Seang Khveang,0.192382
5,505,D,C,50513,50513,50513,Damnak Reang,1.473839
12,1209,K,S,120902,120903,120503,Kouk Roka,92.759146
12,1207,K,S,120703,120703,120703,Svay Pak,98.699473
9,904,M,S,90401,90401,90401,Smach Mean Chey,92.22668
12,1209,K,S,120912,120925,80812,Ponsang,19.625247
8,803,D,C,80305,80305,80305,Kaoh Oknha Tei,90.918065
14,1402,D,C,140208,140208,140208,Trabaek,0
