NCDD_Code,NCDD_CodeD,Acronym_D,Acronym_C,NCDD_CodeC,Com_Code,OCSCode,Commune,Per_HH_El
16,1603,D,C,160302,160302,160302,Keh Chong,2.097902
1,108,D,C,10803,10803,10803,Sla Kram,18.026263
1,108,D,C,10808,10808,10808,Roluos,32.432432
19,1901,D,C,190105,190105,190105,Sdau,7.85124
19,1901,D,C,190104,190104,190104,Samkhuoy,12.144213
19,1901,D,C,190106,190106,190106,Srae Kor,32.686084
13,1308,M,S,130802,130802,130802,Pal Hal,16.076696
1,103,D,C,10306,10306,10306,Phnum Dei,5.54939
13,1308,M,S,130801,130801,130801,Kampong Pranak,81.865018
13,1304,D,C,130401,130401,130401,Kuleaen Tboung,48.363636
1,105,D,C,10509,10509,10509,Ou Bei Choan,29.562543
17,1714,D,C,171404,171404,171404,Svay Sa,0
1,108,D,C,10806,10806,10806,Ta Phou,26.494346
16,1607,D,C,160705,160705,160705,Sesan,0
16,1604,D,C,160404,160404,160404,Teun,5.714286
17,1712,D,C,171203,171203,171203,Tram Sasar,0
16,1606,D,C,160601,160601,160601,Cha Ung,0
17,1712,D,C,171204,171204,171204,Moung,0
1,108,D,C,10802,10802,10802,Sarongk,22.602089
16,1604,D,C,160403,160403,160403,Ta Ang,9.143687
1,108,D,C,10805,10805,10805,Ta Baen,16.138329
13,1304,D,C,130404,130404,130404,Phnum Penh,0
1,103,D,C,10305,10305,10305,Srah Chik,58.902077
13,1302,D,C,130206,130206,130206,Mlu Prey Pir,1.108033
1,103,D,C,10304,10304,10304,Spean Sraeng,0
19,1905,D,C,190504,190504,190504,Kaoh Snaeng,11.835749
16,1606,D,C,160603,160603,160603,Aekakpheap,1.678657
16,1604,D,C,160406,160406,160406,Trapeang Kraham,3.565062
16,1607,D,C,160703,160703,160703,Pak Nhai,1.022147
13,1304,D,C,130405,130405,130405,Phnum Tbaeng Pir,0.286123
16,1603,D,C,160306,160306,160306,Ting Chak,0
17,1713,D,C,171305,171305,171305,Ta Siem,0
16,1607,D,C,160702,160702,160702,Lum Choar,32.822757
17,1701,D,C,170102,170102,170102,Doun Peng,0
17,1703,D,C,170302,170302,170302,Khun Ream,5.331599
16,1602,M,S,160203,160203,160203,Yeak Laom,27.741935
1,105,D,C,10507,10507,10507,Soengh,21.076573
13,1302,D,C,130204,130204,130204,Sangkae Pir,0
16,1602,M,S,160202,160202,160202,Labansiek,99.559295
17,1701,D,C,170103,170103,170103,Kouk Doung,0.03635
17,1706,D,C,170607,170607,170607,Saen Sokh,0
1,104,D,C,10407,10407,10407,Tean Kam,0
16,1603,D,C,160303,160303,160303,La Minh,54.088953
13,1301,D,C,130102,130102,130102,Tasu,0
17,1701,D,C,170104,170104,170104,Koul,0
16,1602,M,S,160201,160201,160201,Kachanh,60.702875
1,110,M,S,11002,11001,11002,Paoy Paet,91.912805
1,104,D,C,10409,10409,10409,Bos Sbov,2.898551
19,1901,D,C,190103,190103,190103,Phluk,0
17,1706,D,C,170604,170604,170604,Krouch Kor,0
1,110,M,S,11001,11002,11001,Nimitt,42.003763
1,104,D,C,10402,10402,10402,Chob Veari,35.355086
17,1701,D,C,170107,170107,170107,Ta Saom,1.823867
1,105,D,C,10501,10501,10501,Changha,38.910761
1,106,M,S,10604,10604,10604,Mkak,25.188537
13,1306,D,C,130603,130603,130603,Phnum Tbaeng Muoy,0
17,1701,D,C,170101,170101,170101,Char Chhuk,21.154884
13,1307,D,C,130706,130706,130706,Preah Khleang,0.215054
16,1607,D,C,160707,160707,160707,Ya Tung,7.067138
16,1603,D,C,160304,160304,160304,Lung Khung,13.078471
16,1604,D,C,160405,160405,160405,Trapeang Chres,1.81962
1,105,D,C,10506,10506,10506,Souphi,18.705882
1,105,D,C,10502,10502,10502,Koub,35.157042
16,1605,D,C,160504,160504,160504,Lbang Pir,7.281553
17,1702,D,C,170201,170201,170201,Chob Ta Trav,0
17,1706,D,C,170601,170601,170601,Chanleas Dai,0
17,1702,D,C,170203,170203,170203,Peak Snaeng,0
1,104,D,C,10406,10406,10406,Rohal,5.95177
16,1603,D,C,160305,160305,160305,Saeung,5.742574
13,1306,D,C,130602,130602,130602,Ro'ang,0
13,1301,D,C,130103,130103,130103,Khyang,0
16,1607,D,C,160704,160704,160704,Pa Te,9.589041
17,1706,D,C,170610,170610,170610,Ta An,0.639386
17,1706,D,C,170608,170608,170608,Snuol,0
19,1905,D,C,190510,190510,190510,Srae Ruessei,21.989529
16,1607,D,C,160701,160701,160701,Bar Kham,3.846154
13,1301,D,C,130104,130104,130104,Chrach,1.564945
1,104,D,C,10408,10408,10408,Tuek Chour,13.333333
17,1701,D,C,170105,170105,170105,Nokor Pheas,0
1,104,D,C,10401,10401,10401,Chnuor Mean Chey,17.326363
1,106,M,S,10602,10602,10602,Kampong Svay,86.579805
13,1301,D,C,130101,130101,130101,S'ang,1.333333
17,1713,D,C,171303,171303,171303,Khnang Phnum,38.713911
16,1605,D,C,160503,160503,160503,Lbang Muoy,0
13,1301,D,C,130106,130106,130106,Putrea,0.166113
1,104,D,C,10403,10403,10403,Phnum Lieb,9.194342
13,1301,D,C,130105,130105,130105,Thmea,0
13,1306,D,C,130601,130601,130601,Chamraeun,17.509025
1,106,M,S,10606,10606,10606,Phniet,53.515625
13,1306,D,C,130604,130604,130604,Sdau,0
19,1905,D,C,190511,190511,190511,Thala Barivat,15.024038
17,1713,D,C,171304,171304,171304,Svay Leu,5.428419
17,1706,D,C,170605,170605,170605,Roung Kou,0
17,1707,D,C,170703,170703,170703,Kdei Run,0
16,1605,D,C,160502,160502,160502,Ka Laeng,18.559557
13,1305,D,C,130509,130509,130509,Reaksa,0.170068
1,104,D,C,10405,10405,10405,Preah Netr Preah,14.96063
17,1703,D,C,170301,170301,170301,Khnar Sanday,15.640704
17,1703,D,C,170306,170306,170306,Tbaeng,0
13,1305,D,C,130510,130510,130510,Rumdaoh,0
1,106,M,S,10607,10607,10607,Preah Ponlea,98.304598
17,1706,D,C,170602,170602,170602,Kampong Thkov,76.821773
17,1707,D,C,170711,170711,170711,Prey Chruk,16.855754
19,1905,D,C,190506,190506,190506,Ou Rai,4.421053
1,106,M,S,10608,10608,10608,Tuek Thla,93.916756
1,109,D,C,10905,10905,10905,Tuol Pongro,13.653603
19,1901,D,C,190102,190102,190102,Kbal Romeas,7.663317
19,1905,D,C,190501,190501,190501,Anlong Phe,2.666667
17,1707,D,C,170715,170715,170715,Trei Nhoar,0
1,106,M,S,10605,10605,10605,Ou Ambel,98.221396
16,1605,D,C,160506,160506,160506,Seda,4.107981
1,105,D,C,10503,10503,10503,Kuttasat,63.980661
1,106,M,S,10603,10603,10603,Kaoh Pong Satv,38.049303
17,1707,D,C,170716,170716,170716,Yeang,0
16,1605,D,C,160505,160505,160505,Ba Tang,2.043423
17,1706,D,C,170609,170609,170609,Sranal,0.047778
17,1706,D,C,170603,170603,170603,Kralanh,49.710983
1,105,D,C,10505,10505,10505,Samraong,25.412736
17,1707,D,C,170712,170712,170712,Reul,0
1,109,D,C,10902,10902,10902,Malai,95.162883
1,109,D,C,10906,10906,10906,Ta Kong,0
1,109,D,C,10903,10903,10903,Ou Sampoar,2.508961
1,109,D,C,10904,10904,10904,Ou Sralau,76.267281
1,102,D,C,10205,10205,10205,Koy Maeng,75.807723
17,1702,D,C,170204,170204,170204,Svay Chek,0
16,1604,D,C,160401,160401,160401,Serei Mongkol,0.777202
1,109,D,C,10901,10901,10901,Boeng Beng,68.71207
1,102,D,C,10209,10209,10209,Ruessei Kraok,94.230325
19,1901,D,C,190101,190101,190101,Kamphun,21.577381
19,1905,D,C,190502,190502,190502,Chamkar Leu,8.268734
1,104,D,C,10404,10404,10404,Prasat,0
1,102,D,C,10202,10202,10202,Bat Trang,78.753351
17,1707,D,C,170701,170701,170701,Sasar Sdam,19.020408
