Com_Code,Commune,TT_Family,RLUn_1Ha_N,RLUn_1Ha_P
10501,Changha,1517,127,8.3718
10604,Mkak,1841,73,3.9652
130603,Phnum Tbaeng Muoy,425,26,6.1176
170101,Char Chhuk,1908,301,15.7757
130706,Preah Khleang,618,62,10.0324
160707,Ya Tung,557,133,23.8779
160304,Lung Khung,672,38,5.6548
160405,Trapeang Chres,1266,112,8.8468
10506,Souphi,1194,17,1.4238
10502,Koub,1974,521,26.3931
160504,Lbang Pir,280,15,5.3571
170201,Chob Ta Trav,808,272,33.6634
170601,Chanleas Dai,1796,188,10.4677
170203,Peak Snaeng,1056,498,47.1591
10406,Rohal,1973,245,12.4176
160305,Saeung,620,43,6.9355
130602,Ro'ang,1086,61,5.6169
130103,Khyang,867,51,5.8824
160704,Pa Te,434,103,23.7327
170610,Ta An,798,149,18.6717
170608,Snuol,1419,279,19.6617
190510,Srae Ruessei,386,133,34.456
160701,Bar Kham,477,7,1.4675
130104,Chrach,750,38,5.0667
10408,Tuek Chour,2790,578,20.7168
170105,Nokor Pheas,1698,328,19.3168
10401,Chnuor Mean Chey,1443,147,10.1871
10602,Kampong Svay,5167,190,3.6772
130101,S'ang,684,17,2.4854
171303,Khnang Phnum,777,204,26.2548
160503,Lbang Muoy,384,83,21.6146
130106,Putrea,1311,119,9.077
10403,Phnum Lieb,3325,259,7.7895
130105,Thmea,723,81,11.2033
130601,Chamraeun,1139,174,15.2766
10606,Phniet,1068,124,11.6105
130604,Sdau,588,91,15.4762
190511,Thala Barivat,980,67,6.8367
171304,Svay Leu,1908,275,14.413
170605,Roung Kou,1024,147,14.3555
170703,Kdei Run,1038,263,25.3372
160502,Ka Laeng,744,54,7.2581
130509,Reaksa,643,42,6.5319
10405,Preah Netr Preah,3028,657,21.6975
170301,Khnar Sanday,1574,336,21.3469
170306,Tbaeng,1722,268,15.5633
130510,Rumdaoh,780,55,7.0513
10607,Preah Ponlea,3067,367,11.9661
170602,Kampong Thkov,1128,311,27.5709
170711,Prey Chruk,1866,375,20.0965
190506,Ou Rai,519,48,9.2486
10608,Tuek Thla,3228,75,2.3234
10905,Tuol Pongro,2327,364,15.6425
190102,Kbal Romeas,840,104,12.381
190501,Anlong Phe,570,134,23.5088
170715,Trei Nhoar,1685,306,18.1602
10605,Ou Ambel,3705,229,6.1808
160506,Seda,1055,181,17.1564
10503,Kuttasat,1391,43,3.0913
10603,Kaoh Pong Satv,1025,81,7.9024
170716,Yeang,991,149,15.0353
160505,Ba Tang,899,27,3.0033
170609,Sranal,2095,524,25.0119
170603,Kralanh,1205,215,17.8423
10505,Samraong,1793,93,5.1868
170712,Reul,2771,989,35.6911
10902,Malai,1942,117,6.0247
10906,Ta Kong,2185,342,15.6522
10903,Ou Sampoar,1143,240,20.9974
10904,Ou Sralau,922,223,24.1866
10205,Koy Maeng,1687,358,21.2211
170204,Svay Chek,1247,434,34.8035
160401,Serei Mongkol,425,26,6.1176
10901,Boeng Beng,1567,157,10.0191
10209,Ruessei Kraok,5168,928,17.9567
190101,Kamphun,776,70,9.0206
190502,Chamkar Leu,396,87,21.9697
10404,Prasat,1567,185,11.806
10202,Bat Trang,1706,152,8.9097
170701,Sasar Sdam,2560,725,28.3203
190402,Srah Ruessei,768,35,4.5573
170202,Leang Dai,1964,872,44.3992
170404,Khvav,2559,244,9.535
10213,Ta Lam,1953,373,19.0988
190403,Preah Bat,578,108,18.6851
170304,Rumchek,672,439,65.3274
170606,Sambuor,1403,248,17.6764
10201,Banteay Neang,4206,1051,24.9881
190401,Stueng Traeng,2754,63,2.2876
160501,Chey Otdam,881,61,6.924
10208,Rohat Tuek,2732,547,20.022
170707,Lvea,2104,673,31.9867
170702,Doun Kaev,2709,1098,40.5316
160402,Srae Angkrorng,382,40,10.4712
10212,Srah Reang,1576,362,22.9695
190203,Kaoh Sralay,780,303,38.8462
170708,Mukh Paen,1187,180,15.1643
170303,Preah Dak,1652,981,59.3826
10206,Ou Prasat,3330,897,26.9369
171301,Boeng Mealea,1066,136,12.758
10203,Chamnaom,3690,620,16.8022
170305,Run Ta Aek,1417,853,60.1976
171107,Khnar Pou,1097,276,25.1595
10204,Kouk Ballangk,1460,183,12.5342
130505,Rik Reay,475,25,5.2632
10211,Soea,3096,404,13.0491
10210,Sambuor,1534,110,7.1708
130511,Romtum,1022,324,31.7025
171101,Chan Sa,1915,540,28.1984
190503,Kang Cham,768,157,20.4427
130506,Ruos Roan,464,12,2.5862
171108,Popel,2176,904,41.5441
130605,Ronak Ser,757,181,23.9102
190206,Siem Bouk,389,93,23.9075
170710,Puok,2834,1300,45.8716
171003,Kouk Chak,6974,746,10.6969
171005,Nokor Thum,1574,342,21.7281
130508,Rieb Roy,348,129,37.069
190202,Kaoh Sampeay,550,17,3.0909
170705,Khnat,1944,1200,61.7284
170903,Ballangk,1275,253,19.8431
60602,Dang Kambet,470,108,22.9787
130501,Robieb,973,242,24.8715
171013,Tuek Vil,2261,740,32.7289
10207,Phnum Touch,2642,435,16.4648
171011,Ampil,1388,534,38.4726
170713,Samraong Yea,1176,438,37.2449
170709,Pou Treay,405,0,0
170406,Kouk Thlok Leu,2109,735,34.8506
190207,Srae Krasang,653,124,18.9893
20404,Prey Khpos,2465,428,17.3631
110203,Roya,449,15,3.3408
20207,Boeng Pring,1974,237,12.0061
130507,Rotanak,623,240,38.5233
171110,Ta Yaek,2684,851,31.7064
100406,Roluos Mean Chey,939,30,3.1949
170409,Pongro Leu,1610,247,15.3416
190205,Ou Ruessei Kandal,974,0,0
130503,Rohas,539,61,11.3173
130502,Reaksmei,346,119,34.3931
170704,Kaev Poar,1281,404,31.5379
171010,Srangae,1133,249,21.9771
20206,Chrouy Sdau,2208,272,12.3188
20506,Prey Chas,991,0,0
171001,Sla Kram,6750,0,0
171012,Krabei Riel,1558,869,55.7766
170902,Bakong,1624,792,48.7685
171002,Svay Dankum,6066,784,12.9245
170905,Kantreang,1941,758,39.052
20403,Lvea,2563,450,17.5575
110202,A Buon Leu,389,72,18.509
20405,Ampil Pram Daeum,2318,423,18.2485
100405,Ou Krieng,1579,541,34.2622
20202,Ta Meun,3396,690,20.318
170906,Kandaek,2737,1648,60.2119
171008,Sngkat Sambuor,789,507,64.2586
171004,Sala Kamraeuk,4521,79,1.7474
20210,Rung Chrey,2298,425,18.4943
130512,Romoneiy,944,182,19.2797
171006,Chreav,2175,1370,62.9885
20507,Kaoh Chiveang,2442,0,0
20201,Ta Pung,3166,607,19.1725
