Com_Code,Commune,TT_Family,RLUn_1Ha_N,RLUn_1Ha_P
30903,Kampong Treas,1868,274,14.6681
31011,Rumchek,2699,519,19.2293
40603,Cheung Kreav,1620,724,44.6914
30307,Sdaeung Chey,2609,658,25.2204
31315,Trapeang Preah,3363,1812,53.8805
40802,Chieb,1615,629,38.9474
40202,Kaoh Thkov,1871,661,35.3287
100502,Pir Thnu,1625,96,5.9077
31615,Peam Chileang,1999,583,29.1646
30310,Trapeang Kor,1575,837,53.1429
30610,Ou Svay,1616,822,50.8663
31616,Roka Po Pram,7012,2117,30.1911
40805,Khlong Popok,1360,409,30.0735
30612,Rumchek,1150,712,61.913
31301,Baray,2493,1946,78.0586
40613,Tuek Hout,1702,1191,69.9765
30603,Kien Chrey,1091,811,74.3355
40508,Saeb,1578,675,42.7757
90701,Ta Tey Leu,142,52,36.6197
30614,Trean,2289,1709,74.6614
30110,Tang Krasang,1921,984,51.2233
30112,Tumnob,1686,1136,67.3784
31310,Sour Saen,1337,694,51.9073
30607,Kaoh Samraong,1456,0,0
31621,Thma Pech,3453,1705,49.3774
30402,Dambae,1892,531,28.0655
30309,Sramar,1879,964,51.3039
31309,Prey Chhor,776,305,39.3041
30303,Pdau Chum,1699,1323,77.8693
30302,Kouk Rovieng,1490,828,55.5705
30609,Krala,2351,1720,73.1604
30308,Soutib,3214,2100,65.3391
31304,Khvet Thum,1614,859,53.2218
30301,Khnor Dambang,1642,1283,78.1364
50403,Trapeang Chour,2434,1081,44.4125
30104,Cheung Prey,1787,1365,76.385
40501,Ampil Tuek,2452,1178,48.0424
31602,Boeng Pruol,1656,241,14.5531
31307,Lvea,2072,1527,73.6969
31303,Chrey Vien,4256,2648,62.218
31312,Sragnae,1524,1225,80.3806
30611,Ro'ang,2390,1325,55.4393
30105,Me Pring,1399,744,53.1808
40801,Akphivoadth,2054,722,35.1509
40502,Chhuk Sa,2240,1209,53.9732
40509,Ta Ches,2692,1908,70.8767
31308,Mien,3073,2287,74.4224
30304,Prey Char,1893,1170,61.8067
31311,Samraong,1769,1406,79.4799
30615,Vihear Thum,1633,1068,65.4011
40702,Khna Chhmar,1577,812,51.4902
30106,Ph'av,1710,1478,86.4327
40803,Chaong Maong,1476,604,40.9214
31314,Tong Rong,1466,1031,70.3274
31006,Kampoan,2499,96,3.8415
30601,Ampil,3648,2225,60.9923
40808,Tuol Khpos,1016,363,35.7283
31605,Chirou Ti Muoy,1584,101,6.3763
90501,Pak Khlang,2311,737,31.891
30706,Preaek Krabau,2207,1715,77.7073
31612,Kor,3566,2033,57.0107
31606,Chirou Ti Pir,2905,1053,36.2478
30403,Kouk Srok,1870,601,32.139
30501,Boeng Kok,1666,48,2.8812
30711,Sour Kong,2500,2078,83.12
40804,Kbal Tuek,1236,547,44.2557
30101,Batheay,3228,1784,55.2664
40510,Thma Edth,1165,763,65.4936
31622,Tonle Bet,3191,325,10.1849
30707,Reay Pay,2469,1302,52.7339
30502,Kampong Cham,1311,0,0
30504,Veal Vong,3001,0,0
40503,Chres,2311,1574,68.109
30709,Roka Koy,2307,1235,53.5327
31702,Vihear Luong,3016,1007,33.3886
30503,Sambuor Meas,2668,293,10.982
30701,Angkor Ban,2203,155,7.0359
30606,Kaoh Roka,2015,1212,60.1489
31014,Tonlung,2311,315,13.6305
40703,Krang Lvea,1950,814,41.7436
30605,Kaoh Mitt,1656,982,59.2995
30604,Kokor,1335,836,62.6217
30102,Chbar Ampov,1398,693,49.5708
31608,Chob,4308,1380,32.0334
31007,Memong,1565,131,8.3706
31701,Suong,4922,649,13.1857
40709,Thlok Vien,1292,767,59.3653
31004,Choam Ta Mau,1849,115,6.2196
40504,Kampong Tralach,1333,726,54.4636
31613,Lngieng,1464,632,43.1694
30705,Preaek Koy,2409,1681,69.78
30704,Peam Chi Kang,2046,1067,52.1505
40506,Ou Ruessei,2047,948,46.3117
30703,Khchau,2014,1442,71.5988
50801,Amleang,2262,1370,60.5659
30406,Tuek Chrov,2703,979,36.219
30401,Chong Cheach,3249,1381,42.5054
40507,Peani,1851,1356,73.2577
31411,Ruessei Srok,1501,39,2.5983
30802,Kaoh Sotin,2727,231,8.4708
31618,Sralab,3835,1497,39.0352
30608,Kaoh Tontuem,824,527,63.9563
90702,Pralay,192,0,0
30103,Chealea,1495,686,45.8863
31016,Kokir,1768,145,8.2014
31413,Svay Khsach Phnum,1253,479,38.2283
31404,Kaoh Andaet,1334,465,34.8576
30805,Moha Khnhoung,2363,1383,58.5273
30107,Sambour,2701,923,34.1725
40708,Tbaeng Khpos,2100,1299,61.8571
30801,Kampong Reab,1881,600,31.8979
30808,Preaek Ta Nong,2650,1282,48.3774
40705,Sedthei,1640,749,45.6707
31410,Preaek Rumdeng,3079,814,26.4372
50405,Ta Sal,1304,390,29.908
31614,Mong Riev,2149,972,45.2303
31408,Preaek Dambouk,2467,1146,46.4532
40505,Longveaek,1818,904,49.725
31107,Preah Theat,3399,1450,42.6596
30806,Peam Prathnuoh,2519,368,14.609
30702,Kang Ta Noeng,2041,1751,85.7913
30708,Roka Ar,1983,1659,83.6611
30404,Neang Teut,915,490,53.5519
30807,Pongro,1074,131,12.1974
31204,Kandaol Chrum,4425,1790,40.452
31013,Tramung,2635,309,11.7268
30710,Sdau,1306,926,70.9035
31406,Phteah Kandal,1329,663,49.8871
80905,Kaoh Chen,1998,631,31.5816
31401,Baray,1935,763,39.4315
30109,Tang Krang,2304,1376,59.7222
40707,Svay Chuk,2064,1491,72.2384
80903,Kampong Luong,2042,922,45.1518
30803,Lve,2493,1364,54.7132
31604,Chikor,2789,1355,48.5837
80707,Roka Kong Ti Muoy,1735,438,25.245
31209,Veal Mlu,1603,620,38.6775
80711,Svay Ampear,2050,687,33.5122
31008,Memot,3176,460,14.4836
31601,Anhchaeum,2874,1118,38.9005
31207,Popel,2387,842,35.2744
31005,Dar,4215,794,18.8375
141207,Preaek Changkran,1699,435,25.6033
30804,Moha Leaph,1704,229,13.439
31206,Kraek,8054,1758,21.8277
40706,Svay,2341,1789,76.4203
40704,Peam,1795,829,46.1838
141204,Pnov Ti Muoy,1515,865,57.0957
80708,Roka Kong Ti Pir,1388,784,56.4841
31003,Choam Kravien,2487,169,6.7953
40701,Chhean Laeung,951,504,52.9968
31108,Tuol Souphi,1903,1001,52.6012
31409,Preaek Pou,3389,1165,34.3759
80317,Ta Aek,646,403,62.3839
31405,Mean Chey,2146,1188,55.3588
141210,Rumlech,1703,1106,64.9442
31105,Mien,2546,1771,69.5601
141203,Lve,1503,418,27.811
31101,Ampil Ta Pok,3564,2090,58.642
80704,Preaek Dambang,2807,1401,49.9109
80914,Vihear Luong,1687,1042,61.7664
80304,Kaoh Chouram,1123,403,35.886
31103,Damril,2421,1339,55.3077
31407,Pram Yam,1438,421,29.2768
80904,Kampong Os,1660,582,35.0602
31102,Chak,2920,1018,34.863
141202,Chrey Khmum,1373,646,47.0503
50511,Veang Chas,1487,170,11.4324
80710,Sambuor Meas,2505,1418,56.6068
31104,Kong Chey,3706,1713,46.2223
80911,Phsar Daek,1801,882,48.9728
31205,Kaong Kang,3386,1199,35.4105
80316,Svay Romiet,1223,1043,85.2821
50507,Preah Srae,1804,941,52.1619
141205,Pnov Ti Pir,861,161,18.6992
50510,Veal Pong,2683,1569,58.4793
31202,Dountei,3098,1232,39.7676
31412,Svay Pou,1627,1351,83.0363
31015,Triek,1273,741,58.209
31403,Khnar Sa,904,188,20.7965
80907,Ponhea Lueu,753,357,47.4104
50807,Veal Pon,1739,1166,67.05
80709,Ruessei Chrouy,2108,996,47.2486
140805,Mesar Prachan,2205,1001,45.3968
31001,Chan Mul,1075,235,21.8605
31203,Kak,4240,1272,30
140809,Prey Sralet,2846,987,34.6803
141208,Prey Daeum Thnoeng,1029,371,36.0544
80906,Phnum Bat,2359,1310,55.532
80306,Preah Prasab,1763,1385,78.5593
31414,Tong Tralach,910,226,24.8352
31010,Rung,1897,513,27.0427
80913,Tumnob Thum,1598,794,49.6871
80703,Preaek Anhchanh,2802,1593,56.8522
50802,Monourom,1088,663,60.9375
141209,Prey Tueng,1867,1186,63.5244
141211,Ruessei Sanh,2094,674,32.1872
50804,Prambei Mum,1953,630,32.2581
31402,Chi Bal,877,426,48.5747
80310,Preaek Ta Meak,2792,1971,70.5946
141201,Ampil Krau,1493,440,29.4709
31002,Choam,1334,155,11.6192
31208,Trapeang Phlong,4423,1381,31.2232
80910,Preaek Ta Teaen,1691,1146,67.7705
50404,Sangkae Satob,1388,638,45.9654
140408,Tnaot,1206,358,29.6849
140802,Kanhcham,3222,892,27.6847
50509,Trach Tong,1544,616,39.8964
90704,Ruessei Chrum,278,125,44.964
80312,Roka Chonlueng,1336,770,57.6347
140405,Kouk Kong Lech,1545,683,44.2071
140404,Kouk Kong Kaeut,1454,335,23.0399
50805,Rung Roeang,1891,433,22.8979
80302,Chey Thum,1436,878,61.1421
80902,Chrey Loas,1821,1078,59.1982
80311,Puk Ruessei,2739,1545,56.4074
120713,Bak Kaeng,1561,239,15.3107
50504,Khsem Khsant,1926,830,43.0945
140402,Kanhchriech,1464,364,24.8634
141206,Pou Ti,1174,625,53.2368
140201,Cheach,3225,897,27.814
50506,Mean Chey,1220,487,39.918
80313,Sanlung,2020,1007,49.8515
140403,Kdoeang Reay,2990,1127,37.6923
140407,Thma Pun,2069,725,35.0411
120806,Samraong,1541,633,41.0772
50501,Chan Saen,1393,742,53.2663
140811,Roka,3691,1629,44.1344
120714,Kaoh Dach,3064,174,5.6789
50512,Yutth Sameakki,1482,708,47.7733
80318,Vihear Suork,2878,1540,53.5094
140807,Prey Pnov,4692,1365,29.0921
80901,Chhveang,1797,948,52.7546
140801,Kampong Popil,3175,1676,52.7874
140401,Chong Ampil,2139,451,21.0846
80314,Sithor,1669,1059,63.4512
140204,Krabau,2654,1208,45.5162
120805,Preaek Phnov,2557,0,0
50808,Yea Angk,1862,486,26.101
140810,Reab,2905,1863,64.1308
140406,Preal,2613,431,16.4945
80809,Mkak,2118,1264,59.6789
90703,Chumnoab,85,0,0
120708,Preaek Lieb,3192,8,0.2506
80307,Preaek Ampil,2668,1609,60.3073
120804,Ponhea Pon,1406,905,64.367
80303,Kampong Chamlang,1237,546,44.139
120709,Preaek Ta Sek,1277,98,7.6742
50502,Cheung Roas,1364,715,52.4194
140205,Seang Khveang,2990,699,23.3779
50513,Damnak Reang,1345,629,46.7658
120902,Kouk Roka,2506,986,39.3456
120703,Svay Pak,2465,0,0
90401,Smach Mean Chey,2013,3,0.149
120912,Ponsang,2051,1412,68.8445
80305,Kaoh Oknha Tei,1318,100,7.5873
140208,Trabaek,1564,245,15.665
141308,Prey Khla,2409,669,27.7709
120803,Khmuonh,3827,522,13.6399
90303,Ta Tai Kraom,233,45,19.3133
80816,Tuol Prech,1434,1003,69.9442
80308,Preaek Luong,1288,440,34.1615
140203,Kranhung,2880,1049,36.4236
140808,Prey Sniet,1615,285,17.6471
80602,Barong,848,395,46.5802
90304,Trapeang Rung,544,168,30.8824
50401,Haong Samnam,920,208,22.6087
120711,Chrang Chamreh Ti Muoy,1814,0,0
50402,Reaksmei Sameakki,963,240,24.9221
50508,Prey Krasang,1663,557,33.4937
120712,Chrang Chamreh Ti Pir,2493,0,0
90706,Thma Doun Pov,125,11,8.8
50806,Toap Mean,635,267,42.0472
140803,Kampong Prang,1419,989,69.697
120704,Kilomaetr Lekh Prammuoy,3330,0,0
50505,Krang Chek,2800,1809,64.6071
50514,Peang Lvea,1612,701,43.4864
80309,Preaek Ta kov,1530,436,28.4967
50515,Phnum Touch,2102,988,47.0029
90605,Dang Peaeng,1596,574,35.9649
120907,Krang Thnong,1043,203,19.4631
80301,Bak Dav,919,769,83.6779
141302,Chea Khlang,2246,1032,45.9484
120706,Ruessei Kaev,5303,0,0
90402,Dang Tong,2432,0,0
141106,Kampong Ruessei,2242,765,34.1213
90403,Stueng Veaeng,549,34,6.1931
141310,Svay Antor,2389,228,9.5437
140202,Doun Koeng,1981,671,33.8718
120710,Chrouy Changvar,3433,0,0
120913,Snaor,983,679,69.0743
120501,Dangkao,3716,1106,29.7632
50714,Tumpoar Meas,1419,336,23.6786
80315,Svay Chrum,965,451,46.7358
120801,Phnom Penh Thmei,6135,34,0.5542
141307,Popueus,1369,726,53.0314
141104,Prey Kanlaong,1316,689,52.3556
140206,Smaong Khang Cheung,3952,891,22.5455
90503,Tuol Kokir,265,64,24.1509
50503,Chumpu Proeks,624,93,14.9038
200416,Tras,1432,531,37.081
200403,Andoung Trabaek,1614,1072,66.4188
120702,Tuol Sangkae,11755,0,0
80613,Sarikakaev,1860,462,24.8387
80609,Preaek Kmeng,657,308,46.8798
80814,Samraong Leu,1850,1185,64.0541
141303,Chrey,3125,651,20.832
120911,Ovlaok,800,509,63.625
141101,Pou Rieng,1618,198,12.2373
120407,Boeng Kak Ti Muoy,2354,0,0
120210,Srah Chak,4317,0,0
120408,Boeng Kak Ti Pir,4120,0,0
50703,Khtum Krang,1639,487,29.7132
141107,Preaek Ta Sar,1506,1245,82.6693
80601,Akreiy Ksatr,2348,79,3.3646
80607,Peam Oknha Ong,1899,797,41.9695
90502,Peam Krasaob,292,0,0
141301,Angkor Tret,2143,459,21.4186
120211,Voat Phnum,1034,0,0
120205,Phsar Kandal Ti Muoy,1403,0,0
120209,Phsar Chas,1292,0,0
120401,Phsar Depou Ti Muoy,1547,0,0
120201,Phsar Thmei Ti Muoy,956,0,0
120404,Tuek L'ak Ti Muoy,2266,0,0
120202,Phsar Thmei Ti Pir,1100,0,0
120305,Monourom,2073,0,0
120306,Mittakpheap,1716,0,0
50705,Pneay,2424,1153,47.566
120206,Phsar Kandal Ti Pir,1230,0,0
120203,Phsar Thmei Ti Bei,1499,0,0
141305,Me Bon,1596,618,38.7218
90603,Chi kha Leu,829,173,20.8685
120307,Veal Vong,3686,0,0
120402,Phsar Depou Ti Pir,1616,0,0
120304,Ou Ruessei Ti Buon,1199,0,0
120208,Chey Chummeah,1556,0,0
120204,Boeng Reang,885,0,0
80605,Kaoh Reah,736,77,10.462
120303,Ou Ruessei Ti Bei,1277,0,0
120405,Tuek L'ak Ti Pir,1896,0,0
120301,Ou Ruessei Ti Muoy,1521,0,0
120403,Phsar Depou Ti Bei,1395,0,0
120302,Ou Ruessei Ti Pir,1685,0,0
120406,Tuek L'ak Ti Bei,4513,0,0
120308,Boeng Prolit,1571,0,0
120207,Chakto Mukh,1277,0,0
80610,Preaek Rey,972,331,34.0535
120409,Phsar Daeum Kor,2307,0,0
50708,Sambour,1804,1067,59.1463
200410,Krasang,1251,680,54.3565
120410,Boeng Salang,4295,0,0
120107,Tuol Svay Prey Ti Pir,1525,0,0
120101,Tonle Basak,4565,0,0
120608,Nirouth,3522,0,0
120102,Boeng Keng Kang Ti Muoy,1280,0,0
50707,Samraong Tong,1406,642,45.6615
120105,Oulampik,1233,0,0
120103,Boeng Keng Kang Ti Pir,1572,0,0
120106,Tuol Svay Prey Ti Muoy,2136,0,0
120612,Veal Sbov,1296,0,0
120108,Tumnob Tuek,2103,0,0
120104,Boeng Keng Kang Ti Bei,3002,0,0
80803,Chhak Chheu Neang,818,435,53.1785
141105,Ta Kao,1500,534,35.6
120610,Preaek Aeng,3123,0,0
80804,Damnak Ampil,1196,567,47.408
120109,Tuol Tumpung Ti Pir,1484,0,0
80614,Thma Kor,901,423,46.9478
120602,Boeng Tumpun,8770,0,0
120111,Boeng Trabaek,1546,0,0
120110,Tuol Tumpung Ti Muoy,1483,0,0
120609,Kbal Kaoh,3756,519,13.8179
120605,Chhbar Ampov Ti Pir,3901,0,0
141102,Preaek Anteah,1917,709,36.9849
80208,Phum Thum,2409,78,3.2379
140207,Smaong Khang Tboung,2963,765,25.8184
80801,Baek Chan,2520,1148,45.5556
120112,Phsar Daeum Thkov,2500,0,0
80608,Phum Thum,556,297,53.4173
120604,Chhbar Ampov Ti Muoy,1876,0,0
120606,Chak Angrae Leu,3114,0,0
80811,Peuk,1664,815,48.9784
50605,Krang Dei Vay,1620,515,31.7901
141304,Damrei Puon,2381,676,28.3914
50711,Tang Krouch,1796,655,36.4699
120603,Preaek Pra,3350,20,0.597
80615,Tuek Khleang,936,308,32.906
80206,Kokir,3800,130,3.4211
141002,Cheung Tuek,1471,724,49.2182
50715,Voa Sar,2787,1518,54.4672
120607,Chak Angrae Kraom,3594,0,0
50201,Chbar Mon,1722,748,43.4379
80203,Dei Edth,3526,307,8.7067
141306,Pean Roung,3702,981,26.4992
50713,Trapeang Kong,3282,2113,64.3815
120903,Phleung Chheh Roteh,1012,561,55.4348
200413,Sambuor,1268,455,35.8833
90302,Kaoh Kapi,625,2,0.32
50203,Rokar Thum,2820,819,29.0426
80813,Prey Puoch,1564,1072,68.5422
120515,Cheung Aek,1922,290,15.0884
80807,Krang Mkak,1014,727,71.6963
120507,Pong Tuek,1287,598,46.4646
200409,Kokir,811,627,77.312
120508,Prey Veaeng,1128,555,49.2021
80808,Lumhach,1700,1243,73.1176
141003,Kampong Leav,2911,43,1.4772
120908,Boeng Thum,1581,1275,80.6452
120611,Preaek Thmei,3498,0,0
50204,Sopoar Tep,1273,517,40.6127
80603,Boeng Krum,1098,450,40.9836
200401,Ampil,1371,686,50.0365
80201,Banteay Daek,3115,1491,47.8652
81103,Daeum Mien,2656,0,0
80611,Preaek Ruessei,1680,907,53.9881
141103,Preaek Chrey,1574,204,12.9606
81104,Ta Khmau,3859,0,0
140506,Prey Totueng,2744,659,24.016
50610,Tang Samraong,1315,222,16.8821
80202,Chheu Teal,2096,349,16.6508
120513,Prateah Lang,1078,599,55.5659
81102,Preaek Ruessei,1899,26,1.3691
141001,Baray,1288,254,19.7205
80606,Lvea Sar,709,308,43.4415
120519,Spean Thma,707,500,70.7214
140507,Svay Chrum,3406,1027,30.1527
50701,Roleang Chak,1783,1062,59.5625
81101,Ta Kdol,1138,9,0.7909
50202,Kandaol Dom,1437,871,60.6124
141309,Samraong,2216,555,25.0451
81106,Kampong Samnanh,2346,59,2.5149
200414,Sambatt Mean Chey,1678,489,29.1418
90301,Chrouy Pras,364,6,1.6484
50706,Roleang Kreul,2486,1666,67.0153
120514,Sak Sampov,585,420,71.7949
200406,Chrey Thum,2659,874,32.8695
120517,Preaek Kampues,1888,529,28.0191
80106,Daeum Rues,2067,1395,67.4891
81105,Preaek Hou,1639,67,4.0879
81002,Kaoh Anlong Chen,1526,0,0
50205,Svay Kravan,1543,812,52.6248
50611,Tang Sya,1965,884,44.9873
80204,Kampong Svay,2365,1195,50.5285
81013,Svay Rolum,2773,450,16.2279
120512,Krang Pongro,561,311,55.4367
81011,Setbou,1819,667,36.6685
80118,Roleang Kaen,1198,986,82.3038
80117,Roka,725,607,83.7241
80211,Samraong Thum,4847,2652,54.7143
50702,Kahaeng,1507,1196,79.363
80604,Kaoh Kaev,561,55,9.8039
120520,Tien,567,435,76.7196
50606,Moha Sang,2436,1955,80.2545
140708,Prey Kandieng,2482,664,26.7526
120518,Roluos,637,407,63.8932
120516,Kong Noy,422,223,52.8436
80612,Sambuor,1430,906,63.3566
50608,Prey Rumduol,1001,140,13.986
80103,Barku,1153,773,67.0425
80102,Anlong Romiet,865,376,43.4682
50305,Preah Nipean,2544,1669,65.6053
180403,Ou Bak Roteh,719,62,8.6231
50308,Roka Kaoh,1597,1003,62.8053
50710,Skuh,2144,1114,51.959
80105,Cheung Kaeub,851,576,67.6851
81009,Roka Khpos,2458,1343,54.6379
140504,Prey Khnes,3550,2196,61.8592
141311,Tuek Thla,2316,968,41.7962
200408,Kampong Trach,2770,1182,42.6715
80113,Preah Putth,495,277,55.9596
50709,Saen Dei,2415,1320,54.6584
50601,Chambak,654,364,55.6575
140704,Peam Mean Chey,1584,449,28.346
80107,Kandaok,1477,971,65.7414
80122,Siem Reab,1081,620,57.3543
50712,Thummoda Ar,2124,1312,61.7702
81012,Svay Prateal,3323,800,24.0746
200402,Andoung Pou,1372,435,31.7055
80127,Trapeang Veaeng,853,473,55.4513
80108,Thmei,527,337,63.9469
80109,Kouk Trab,1060,709,66.8868
140701,Ba Baong,1746,997,57.1019
200411,Mukh Da,2003,797,39.7903
200407,Doung,2691,1232,45.7822
140109,Theay,2633,1736,65.9324
140502,Chres,3721,2222,59.7151
80128,Trea,1341,825,61.5213
50313,Veal,1842,1230,66.7752
200412,Mream,2501,1080,43.1827
50604,Kiri Voan,1309,757,57.8304
50301,Angk Popel,1327,737,55.5388
140503,Chi Phoch,4127,2540,61.5459
80101,Ampov Prey,1462,1159,79.275
200415,Trapeang Sdau,2288,1060,46.3287
90705,Chi Phat,618,316,51.1327
50304,Pechr Muni,1142,740,64.7986
50704,Krang Ampil,1665,999,60
81015,Traeuy Sla,3979,1546,38.854
80116,Preaek Slaeng,930,725,77.957
81010,S'ang Phnum,3052,2258,73.9843
80115,Preaek Roka,1151,871,75.6733
50613,Traeng Trayueng,4415,760,17.214
80125,Tbaeng,952,579,60.8193
50306,Prey Nheat,2186,1185,54.2086
81008,Preaek Koy,3025,994,32.8595
50607,Ou,2715,957,35.2486
80104,Boeng Khyang,1550,761,49.0968
81006,Prasat,1224,554,45.2614
140101,Boeng Preah,3259,1310,40.1964
50311,Srang,2134,1347,63.1209
50312,Tuek L'ak,1323,990,74.8299
80207,Kokir Thum,2860,1156,40.4196
140505,Prey Rumdeng,2266,1564,69.0203
210208,Lumpong,1666,1282,76.9508
210207,Krang Thnong,2009,1266,63.0164
210210,Pot Sar,2401,1566,65.2228
210212,Tang Doung,1148,630,54.878
50609,Prey Kmeng,850,173,20.3529
140104,Reaks Chey,2103,1339,63.6709
50302,Chongruk,2600,1713,65.8846
140705,Peam Ro,1669,264,15.8179
81004,Kaoh Khsach Tonlea,1349,573,42.4759
200404,Angk Prasrae,1571,845,53.7874
81016,Tuek Vil,2198,1140,51.8653
200405,Chantrei,2150,1027,47.7674
80501,Kampong Phnum,2913,1246,42.7738
90203,Preaek Khsach,361,153,42.3823
180402,Kampong Seila,1471,260,17.6751
81014,Ta Lon,2622,2114,80.6255
210204,Kandoeng,1783,1281,71.8452
50602,Choam Sangkae,1590,670,42.1384
90101,Andoung Tuek,1162,238,20.4819
50110,Svay Chacheb,1803,1033,57.2934
210215,Trapeang Sab,3944,3368,85.3955
140702,Banlich Prasat,1521,542,35.6345
140108,Spueu Kha,1827,640,35.0301
81005,Krang Yov,3958,2530,63.9212
140508,Trapeang Srae,3824,2671,69.8483
50603,Dambouk Rung,1155,535,46.3203
140105,Roung Damrei,2318,1489,64.2364
210211,Sour Phi,1496,665,44.4519
140706,Preaek Khsay Ka,1670,36,2.1557
50112,Tuol Sala,1606,897,55.8531
210202,Champei,1352,599,44.3047
140501,Angkor Sar,2787,1980,71.0441
200305,Kampong Ampil,904,183,20.2434
200310,Thna Thnong,1504,720,47.8723
81003,Kaoh Khael,1903,1223,64.2669
50310,Snam Krapeu,2643,1388,52.5161
210205,Komar Reachea,2100,1580,75.2381
140107,Spueu Ka,2339,1047,44.7627
90102,Kandaol,758,226,29.8153
200302,Thmea,868,251,28.9171
210203,Doung,1828,1242,67.9431
81001,Khpob,2704,1845,68.2322
200304,Chrung Popel,1241,263,21.1926
140102,Cheung Phnum,1920,727,37.8646
200508,Doun Sa,1955,699,35.7545
200516,Svay Yea,2498,1191,47.6781
140103,Chheu Kach,2220,1022,46.036
50114,Svay Rumpear,1752,1256,71.6895
140703,Neak Loeang,1662,515,30.9868
140707,Preaek Khsay Kha,2455,32,1.3035
80506,Preaek Tonloab,2421,327,13.5068
200301,Bos Mon,1187,274,23.0834
210209,Pea Ream,1652,1232,74.5763
50303,Moha Ruessei,2021,1561,77.239
140306,Kou Khchak,3408,1787,52.4354
50309,Sdok,1718,1164,67.7532
50115,Preah Khae,1366,817,59.8097
210206,Krang Leav,2617,2033,77.6844
140905,Kampong Soeng,2815,1432,50.8703
200306,Meun Chey,1592,662,41.5829
210201,Chambak,2684,2157,80.3651
81007,Preaek Ambel,4995,3474,69.5495
50102,Kat Phluk,1795,1109,61.7827
140106,Sdau Kaong,2576,933,36.2189
210214,Trapeang Krasang,1998,1376,68.8689
80408,Pouthi Ban,2579,1642,63.6681
80407,Leuk Daek,3205,1009,31.4821
200513,Svay Angk,1538,532,34.5904
210604,Char,2095,1157,55.2267
50307,Prey Vihear,2221,1250,56.281
200501,Angk Ta Sou,1635,977,59.7554
200308,Sangkae,1236,272,22.0065
140305,Kansoam Ak,2412,1256,52.073
200309,Svay Chek,1412,517,36.6147
210213,Tnaot,1589,1118,70.3587
50113,Kak,1311,894,68.1922
140607,Preaek Krabau,1036,202,19.4981
140910,Rumchek,3381,2226,65.8385
210707,Rovieng,3808,2988,78.4664
140601,Angkor Angk,1147,296,25.8065
200517,Thlok,1421,576,40.5348
200307,Pong Tuek,1683,390,23.1729
200702,Kokir Saom,1816,404,22.2467
50104,Pheakdei,1285,481,37.4319
80505,Preaek Dach,1571,501,31.8905
140907,Lvea,1724,926,53.7123
210607,Kdanh,1484,1114,75.0674
210613,Tang Yab,1916,1495,78.0271
50105,Pheari Mean Chey,1762,965,54.7673
210612,Snao,1454,833,57.2902
210705,Khvav,3456,2681,77.5752
210704,Chumreah Pen,3047,2242,73.5806
140311,Prey Chhor,1687,660,39.1227
80405,Kaoh Thum Kha,1588,563,35.4534
200510,Kraol Kou,2907,1061,36.4981
200303,Kampong Chak,1282,243,18.9548
50109,Pou Mreal,2269,918,40.4584
50111,Tuol Ampil,2284,1700,74.4308
90202,Phnhi Meas,249,68,27.3092
140906,Krang Svay,1936,626,32.3347
200706,Prey Ta Ei,877,186,21.2087
80404,Kaoh Thum Ka,1324,557,42.0695
210710,Sla,1918,1720,89.6767
140610,Svay Phluoh,1414,366,25.884
200509,Kouk Pring,2291,1195,52.1606
50101,Basedth,2681,1560,58.1872
80403,Kampong Kong,2602,1163,44.6964
140307,Kampong Trabaek,1976,426,21.5587
200711,Svay Rumpear,1122,173,15.4189
90602,Chi Kha Kraom,646,326,50.4644
140309,Prasat,2588,935,36.1283
50103,Nitean,1839,898,48.8309
210610,Prey Lvea,1639,912,55.6437
200512,Pouthi Reach,1765,1150,65.1558
70309,Trapeang Phleang,2607,622,23.8588
210611,Prey Phdau,2136,1490,69.7566
210606,Kampong Reab,1737,1078,62.061
80411,Preaek Thmei,4259,504,11.8338
50106,Phong,1887,1008,53.4181
140909,Reathor,1572,322,20.4835
210603,Champa,1745,1222,70.0287
210708,Samraong,1553,1115,71.7965
200708,Romeang Thkaol,1486,365,24.5626
200607,Sangkhoar,1644,488,29.6837
80504,Peam Reang,1592,823,51.696
210703,Cheung Kuon,1882,1685,89.5324
70404,Srae Chaeng,2186,835,38.1976
140904,Chey Kampok,2325,1317,56.6452
210602,Ban Kam,1629,719,44.1375
50107,Pou Angkrang,3330,2060,61.8619
200514,Svay Chrum,1189,584,49.1169
210701,Boeng Tranh Khang Cheung,2469,2229,90.2795
140310,Pratheat,2349,1627,69.2635
90601,Boeng Preav,1253,494,39.4254
140301,Ansaong,1658,606,36.5501
70302,Takaen,2592,357,13.7731
200605,Chek,2118,1701,80.3116
200507,Chheu Teal,2652,1199,45.2112
210906,Ou Saray,3135,1258,40.1276
200505,Ta Suos,2644,951,35.9682
200709,Sambuor,1947,828,42.527
90606,Srae Ambel,2537,335,13.2046
210709,Soengh,2350,1887,80.2979
210608,Pou Rumchak,1855,979,52.7763
210605,Kampeaeng,1863,1000,53.6769
200704,Monourom,311,49,15.7556
50108,Pou Chamraeun,1697,741,43.6653
210702,Boeng Tranh Khang Tboung,2915,2676,91.801
90103,Ta Noun,412,221,53.6408
140901,Angkor Reach,2699,818,30.3075
180401,Chamkar Luong,452,56,12.3894
200705,Popeaet,1154,100,8.6655
140911,Sena Reach Otdam,2795,1115,39.8927
