Com_Code,Commune,Family,PigFarm,PigRaised,ChickFarm,ChickRaise,DuckFarm,DuckRaised,CowFarm,CowRaised,BuffFarm,BuffRaised,Rpig,Rpoultry,Rcow,Rbuff
30706,Preaek Krabau,2207,186,473,1022,3692,63,2220,814,2173,27,73,2.543,5.4488,2.6695,2.7037
31612,Kor,3566,39,260,2915,12865,448,1528,511,1632,98,271,6.6667,4.2798,3.1937,2.7653
31606,Chirou Ti Pir,2905,257,527,1698,5686,375,1113,896,2115,222,491,2.0506,3.2798,2.3605,2.2117
30403,Kouk Srok,1870,50,135,565,2393,4,13,78,203,6,27,2.7,4.2285,2.6026,4.5
30501,Boeng Kok,1666,56,104,229,992,37,375,46,294,0,0,1.8571,5.1391,6.3913,0
30711,Sour Kong,2500,178,858,1699,5144,40,1961,1279,3148,0,0,4.8202,4.0857,2.4613,0
40804,Kbal Tuek,1236,569,690,791,3625,27,194,907,4230,184,416,1.2127,4.6687,4.6637,2.2609
30101,Batheay,3228,768,1769,1987,12731,125,13938,1114,2029,135,452,2.3034,12.6274,1.8214,3.3481
40510,Thma Edth,1165,695,960,958,3509,46,335,929,2043,18,48,1.3813,3.8287,2.1991,2.6667
31622,Tonle Bet,3191,87,299,1523,4506,68,550,478,1485,32,103,3.4368,3.1779,3.1067,3.2188
30707,Reay Pay,2469,922,1150,1857,5438,85,591,1511,2811,2,7,1.2473,3.1045,1.8604,3.5
30502,Kampong Cham,1311,1,2,15,130,1,17,1,3,0,0,2,9.1875,3,0
30504,Veal Vong,3001,2,5,262,2306,7,60,3,17,0,0,2.5,8.7955,5.6667,0
40503,Chres,2311,844,1488,1871,10406,82,1633,1563,3643,26,116,1.763,6.1644,2.3308,4.4615
30709,Roka Koy,2307,171,371,1760,8911,446,1658,1540,5374,24,47,2.1696,4.791,3.4896,1.9583
31702,Vihear Luong,3016,66,387,2239,7900,298,2055,273,739,71,224,5.8636,3.9239,2.707,3.1549
30503,Sambuor Meas,2668,131,329,940,8748,154,747,235,791,4,11,2.5115,8.6792,3.366,2.75
30701,Angkor Ban,2203,93,525,1267,4234,45,580,1128,2694,0,0,5.6452,3.6692,2.3883,0
30606,Kaoh Roka,2015,375,1071,1429,9607,85,242,848,1894,1,2,2.856,6.5053,2.2335,2
31014,Tonlung,2311,50,99,481,1673,3,16,37,114,33,121,1.98,3.4897,3.0811,3.6667
