NCDD_CodeP,NCDD_CodeD,NCDD_CodeC,Commune,SLR
3,304,30403,Kouk Srok,0
3,304,30404,Neang Teut,0
3,304,30405,Seda,0
3,304,30406,Tuek Chrov,0
3,304,30407,Trapeang Pring,0
3,305,30501,Boeng Kok,0
3,305,30502,Kampong Cham,0
3,305,30503,Sambuor Meas,0
3,305,30504,Veal Vong,0
3,306,30601,Ampil,1
3,306,30602,Hanchey,0
3,306,30603,Kien Chrey,0
3,306,30604,Kokor,0
3,306,30605,Kaoh Mitt,0
3,306,30606,Kaoh Roka,0
3,306,30607,Kaoh Samraong,0
3,306,30608,Kaoh Tontuem,0
3,306,30609,Krala,1
3,306,30610,Ou Svay,1
3,306,30611,Ro'ang,0
3,306,30612,Rumchek,0
3,306,30613,Srak,0
3,306,30614,Trean,0
3,306,30615,Vihear Thum,1
3,307,30701,Angkor Ban,0
3,307,30702,Kang Ta Noeng,0
3,307,30703,Khchau,0
3,307,30704,Peam Chi Kang,0
3,307,30705,Preaek Koy,0
3,307,30706,Preaek Krabau,0
3,307,30707,Reay Pay,0
3,307,30708,Roka Ar,0
3,307,30709,Roka Koy,0
3,307,30710,Sdau,0
3,307,30711,Sour Kong,0
3,308,30801,Kampong Reab,0
3,308,30802,Kaoh Sotin,0
3,308,30803,Lve,0
3,308,30804,Moha Leaph,0
3,308,30805,Moha Khnhoung,0
3,308,30806,Peam Prathnuoh,0
3,308,30807,Pongro,0
3,308,30808,Preaek Ta Nong,0
3,309,30901,Chhuk,0
3,309,30902,Chumnik,0
3,309,30903,Kampong Treas,0
3,309,30904,Kaoh Pir,0
3,309,30905,Krouch Chhmar,0
3,309,30906,Peus Muoy,0
3,309,30907,Peus Pir,0
3,309,30908,Preaek A chi,0
3,309,30909,Roka Khnor,0
3,309,30910,Svay Khleang,0
3,309,30911,Trea,0
3,309,30912,Tuol Snuol,0
3,310,31001,Chan Mul,0
3,310,31002,Choam,0
3,310,31003,Choam Kravien,0
3,310,31004,Choam Ta Mau,0
3,310,31005,Dar,0
3,310,31006,Kampoan,0
3,310,31007,Memong,0
3,310,31008,Memot,0
3,310,31010,Rung,0
3,310,31011,Rumchek,0
3,310,31013,Tramung,0
3,310,31014,Tonlung,0
3,310,31015,Triek,0
3,310,31016,Kokir,0
3,311,31101,Ampil Ta Pok,0
3,311,31102,Chak,1
3,311,31103,Damril,1
3,311,31104,Kong Chey,1
3,311,31105,Mien,0
3,311,31107,Preah Theat,0
3,311,31108,Tuol Souphi,1
3,312,31202,Dountei,0
3,312,31203,Kak,0
3,312,31204,Kandaol Chrum,0
3,312,31205,Kaong Kang,0
3,312,31206,Kraek,0
3,312,31207,Popel,0
3,312,31208,Trapeang Phlong,0
3,312,31209,Veal Mlu,0
3,313,31301,Baray,1
3,313,31302,Boeng Nay,1
3,313,31303,Chrey Vien,1
3,313,31304,Khvet Thum,1
3,313,31305,Kor,1
3,313,31306,Krouch,1
3,313,31307,Lvea,1
3,313,31308,Mien,1
3,313,31309,Prey Chhor,1
3,313,31310,Sour Saen,1
3,313,31311,Samraong,1
3,313,31312,Sragnae,1
3,313,31313,Thma Pun,1
3,313,31314,Tong Rong,1
3,313,31315,Trapeang Preah,1
3,314,31401,Baray,0
3,314,31402,Chi Bal,0
3,314,31403,Khnar Sa,0
3,314,31404,Kaoh Andaet,0
3,314,31405,Mean Chey,0
3,314,31406,Phteah Kandal,0
3,314,31407,Pram Yam,0
3,314,31408,Preaek Dambouk,0
3,314,31409,Preaek Pou,0
3,314,31410,Preaek Rumdeng,0
3,314,31411,Ruessei Srok,0
3,314,31412,Svay Pou,0
3,314,31413,Svay Khsach Phnum,0
3,314,31414,Tong Tralach,0
3,315,31501,Areaks Tnot,0
3,315,31503,Dang Kdar,0
3,315,31504,Khpob Ta Nguon,0
3,315,31505,Me Sar Chrey,0
3,315,31506,Ou Mlu,0
3,315,31507,Peam Kaoh Snar,0
3,315,31508,Preah Andoung,0
3,315,31509,Preaek Bak,0
3,315,31510,Preak Kak,0
3,315,31512,Soupheas,0
3,315,31513,Tuol Preah Khleang,0
3,315,31514,Tuol Sambuor,0
3,316,31601,Anhchaeum,0
3,316,31602,Boeng Pruol,0
3,316,31604,Chikor,0
3,316,31605,Chirou Ti Muoy,0
3,316,31606,Chirou Ti Pir,0
3,316,31608,Chob,0
3,316,31612,Kor,0
3,316,31613,Lngieng,0
3,316,31614,Mong Riev,0
3,316,31615,Peam Chileang,0
3,316,31616,Roka Po Pram,0
3,316,31618,Sralab,0
3,316,31621,Thma Pech,0
3,316,31622,Tonle Bet,0
3,317,31701,Suong,0
3,317,31702,Vihear Luong,0
4,401,40101,Anhchanh Rung,0
4,401,40102,Chhnok Tru,0
4,401,40103,Chak,0
4,401,40104,Khon Rang,1
4,401,40105,Kampong Preah Kokir,0
4,401,40106,Melum,0
4,401,40107,Phsar,0
4,401,40108,Pech Changvar,1
4,401,40109,Popel,1
4,401,40110,Ponley,0
4,401,40111,Trapeang Chan,0
4,402,40201,Chol Sar,0
4,402,40202,Kaoh Thkov,0
4,402,40203,Kampong Ous,0
4,402,40204,Peam Chhkaok,0
4,402,40205,Prey Kri,0
4,403,40301,Phsar Chhnang,0
4,403,40302,Kampong Chhnang,0
4,403,40303,B'er,0
4,403,40304,Khsam,0
4,404,40401,Chranouk,0
4,404,40402,Dar,0
4,404,40403,Kampong Hau,0
4,404,40404,Phlov Tuk,0
4,404,40405,Pou,0
4,404,40406,Pralay Meas,0
4,404,40407,Samraong Saen,0
4,404,40408,Svay Rumpear,0
4,404,40409,Trangel,0
4,405,40501,Ampil Tuek,0
4,405,40502,Chhuk Sa,0
4,405,40503,Chres,0
4,405,40504,Kampong Tralach,0
4,405,40505,Longveaek,0
4,405,40506,Ou Ruessei,0
4,405,40507,Peani,0
4,405,40508,Saeb,0
4,405,40509,Ta Ches,0
4,405,40510,Thma Edth,0
4,406,40601,Andoung Snay,0
4,406,40602,Banteay Preal,0
4,406,40603,Cheung Kreav,1
4,406,40604,Chrey Bak,1
4,406,40605,Kouk Banteay,0
4,406,40606,Krang Leav,0
4,406,40607,Pongro,0
4,406,40608,Prasnoeb,0
4,406,40609,Prey Mul,0
4,406,40610,Rolea B'ier,1
4,406,40611,Srae Thmei,1
4,406,40612,Svay Chrum,0
4,406,40613,Tuek Hout,1
4,407,40701,Chhean Laeung,0
4,407,40702,Khnar Chhmar,0
4,407,40703,Krang Lvea,0
4,407,40704,Peam,0
4,407,40705,Sedthei,0
4,407,40706,Svay,0
4,407,40707,Svay Chuk,0
4,407,40708,Tbaeng Khpos,0
4,407,40709,Thlok Vien,0
4,408,40801,Akphivoadth,0
4,408,40802,Chieb,0
4,408,40803,Chaong Maong,0
4,408,40804,Kbal Tuek,0
4,408,40805,Khlong Popok,0
4,408,40806,Krang Skear,0
4,408,40807,Tang Krasang,0
4,408,40808,Tuol Khpos,0
5,501,50101,Basedth,0
5,501,50102,Kat Phluk,0
5,501,50103,Nitean,0
5,501,50104,Pheakdei,0
5,501,50105,Pheari Mean Chey,0
5,501,50106,Phong,0
5,501,50107,Pou Angkrang,0
5,501,50108,Pou Chamraeun,0
5,501,50109,Pou Mreal,0
5,501,50110,Svay Chacheb,0
5,501,50111,Tuol Ampil,0
5,501,50112,Tuol Sala,0
5,501,50113,Kak,0
5,501,50114,Svay Rumpear,0
5,501,50115,Preah Khae,0
5,502,50201,Chbar Mon,1
5,502,50202,Kandaol Dom,1
5,502,50203,Rokar Thum,1
