Pro_Code,Province,Neo_Mort,U5_Mort
1.00000000000,Banteay Meanchey,26.00000000000,76
2.00000000000,Battambang,28.00000000000,54
3.00000000000,Kampong Cham,33.00000000000,58
4.00000000000,Kampong Chhnang,45.00000000000,97
5.00000000000,Kampong Speu,39.00000000000,73
6.00000000000,Kampong Thom,29.00000000000,67
7.00000000000,Kampot,44.00000000000,73
8.00000000000,Kandal,34.00000000000,69
9.00000000000,Koh Kong,20.00000000000,63
10.00000000000,Kratie,47.00000000000,86
11.00000000000,Mondul Kiri,30.00000000000,106
12.00000000000,Phnom Penh,8.00000000000,18
13.00000000000,Preah Vihear,29.00000000000,118
14.00000000000,Prey Veng,34.00000000000,74
15.00000000000,Pursat,29.00000000000,57
16.00000000000,Ratanak Kiri,30.00000000000,106
17.00000000000,Siem Reap,28.00000000000,60
18.00000000000,Preah Sihanouk,20.00000000000,63
19.00000000000,Stung Treng,29.00000000000,118
20.00000000000,Svay Rieng,27.00000000000,93
21.00000000000,Takeo,37.00000000000,84
22.00000000000,Otdar Meanchey,20.00000000000,47
23.00000000000,Kep,44.00000000000,73
24.00000000000,Pailin,28.00000000000,54
