Name,Commission Year,Size,River,lat,lon,Country,Investor,Comments,Sources,,
Xayaburi,2019,1285,Mekong,19.254017,101.813667,Laos,,,Wikipedia,,
Xekong 3 (Lower),2011,32,Xe Kaman,,,Laos,,,CGIAR,,
Xekong 3 (Upper),2012,91.1,Xekong,,,Laos,,,CGIAR,,
Xepian-Xenamnoy,1970,5,Xedon,,,Laos,,,CGIAR,,
Xeset 2,1991,45,Xeset,,,Laos,,,CGIAR,,
Xeset 3,2009,76,Xeset,,,Laos,,,CGIAR,,
Che Chaung (Mindat),,,,,,Myanmar,,,Wikipedia,,
Chinshwehaw (Extension),,,,,,Myanmar,,,Wikipedia,,
Dapein I,,,,,,Myanmar,,,Wikipedia,,
Dapein II,,,,,,Myanmar,,,Wikipedia,,
Hopin,,,,,,Myanmar,,,Wikipedia,,
Kattalu (Kyunsu),,,,,,Myanmar,,,Wikipedia,,
Kunhing,,,,,,Myanmar,,,Wikipedia,,
Kunlon,,,,,,Myanmar,,,Wikipedia,,
Lahe,,,,,,Myanmar,,,Wikipedia,,
Lawpita,,,,,,Myanmar,,,Wikipedia,,
Lawpita Hydroelectric,,,,19.57018065,97.3151164,Myanmar,,"Multiple? 1,2,3",,,
Mogok,,,,,,Myanmar,,,Wikipedia,,
Monechaung,,,,,,Myanmar,,,Wikipedia,,
Nam Hkam Hka,,,,,,Myanmar,,,Wikipedia,,
Nam Suang Ngaung,,,,,,Myanmar,,,Wikipedia,,
Namlat,,,,,,Myanmar,,,Wikipedia,,
Paung Laung,,,,19.78850201,96.33912273,Myanmar,,Upper and Lower,,,
Sedawgyi,,,,,,Myanmar,,,Wikipedia,,
Shweli I,,,,23.69768281,97.50591287,Myanmar,,,http://www.internationalrivers.org/campaigns/shweli-1-dam,,
TaSang,,,,20.45638596,98.64999552,Myanmar,,,http://en.wikipedia.org/wiki/TaSang_Dam; http://www.dvb.no/news/thai-govt-urges-burma-to-speed-up-tasang-dam-project-myanmar/33254,,
Thapanseik,,,,,,Myanmar,,,Wikipedia,,
Tui Swang (Tonzang),,,,,,Myanmar,,,Wikipedia,,
Yeywa,,,,21.68891808,96.42137039,Myanmar,,,http://en.wikipedia.org/wiki/Yeywa_Dam,,
Zaungtu,,,,,,Myanmar,,,Wikipedia,,
Zawgyi I,,,,,,Myanmar,,,Wikipedia,,
Zawgyi II,,,,,,Myanmar,,,Wikipedia,,
Zawgyt,,,,,,Myanmar,,,Wikipedia,,
Zi Chaung,,,,,,Myanmar,,,Wikipedia,,
Ban Khun Klang,,0.18,,18.54,98.524,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=172&Itemid=128,http://enipedia.tudelft.nl/wiki/Ban_Khun_Klang_Powerplant,
Ban Santi,,0.01275,,6.096,191.314,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=172&Itemid=128,http://enipedia.tudelft.nl/wiki/Ban_Santi_Powerplant,
Ban Yang,,0.1245,,17.092,100.417,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=172&Itemid=128,http://enipedia.tudelft.nl/wiki/Ban_Yang_Powerplant,
Bang Lang,,72,,6.156,101.274,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=65&Itemid=117,http://enipedia.tudelft.nl/wiki/Bang_Lang_Dam,
Bhumibol,,743.8,,17.24311712,98.97408872,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=50&Itemid=117,,
Chao Phraya,,12,,,,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=29&Itemid=133,,
Chulabhorn,,40,,16.53605536,101.6500211,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=58&Itemid=117,,
Huai Kui Mang,,0.1,,14.947,99.183,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=29&Itemid=133,http://enipedia.tudelft.nl/wiki/Huai_Kui_Mang_Powerplant,
Huai Kum,,1.06,,16.014,101.889,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=172&Itemid=128,http://enipedia.tudelft.nl/wiki/Huai_Kum_Powerplant,
Kaeng Krachan,,19,,12.917,99.63,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=66&Itemid=117,http://enipedia.tudelft.nl/wiki/Kaeng_Krachan_Powerplant,
Khlong Chong Klam,,0.02,,,,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=29&Itemid=133,,
Lam Ta Khong,,1000,,14.8652104,101.5596939,Thailand,,,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=46&Itemid=117,,
