Province,District,Commune,Vil_Code,Village,L1_HH,L2_HH,L1_Per_HH,L2_Per_HH,TOT_PerHH,TOP_HH,Rounds,Scale
Kampong Speu,Odongk,Trach Tong,5050916.00000000000,Thmei,5.00000000000,15.00000000000,0.06200000000,0.18500000000,0.24700000000,20.00000000000,2011,1
Kampong Speu,Odongk,Trach Tong,5050917.00000000000,Trapeang Lpeak,2.00000000000,13.00000000000,0.02500000000,0.16000000000,0.18500000000,15.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051001.00000000000,Prey Chrab Kaeut,22.00000000000,17.00000000000,0.20400000000,0.15700000000,0.36100000000,39.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051002.00000000000,Prey Chrab Lech,15.00000000000,14.00000000000,0.10500000000,0.09800000000,0.20300000000,29.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051003.00000000000,Prey Totueng,32.00000000000,10.00000000000,0.20100000000,0.06300000000,0.26400000000,42.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051004.00000000000,Phkor,6.00000000000,11.00000000000,0.06300000000,0.11600000000,0.17900000000,17.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051005.00000000000,Khnor Ampil,17.00000000000,14.00000000000,0.11900000000,0.09800000000,0.21700000000,31.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051006.00000000000,Trapeang K'aek,2.00000000000,8.00000000000,0.01600000000,0.06500000000,0.08100000000,10.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051007.00000000000,Thal,9.00000000000,13.00000000000,0.09000000000,0.13000000000,0.22000000000,22.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051008.00000000000,Khsach Puon,15.00000000000,8.00000000000,0.16000000000,0.08500000000,0.24500000000,23.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051009.00000000000,Khchas,11.00000000000,6.00000000000,0.22900000000,0.12500000000,0.35400000000,17.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051010.00000000000,Kralanh,12.00000000000,8.00000000000,0.12100000000,0.08100000000,0.20200000000,20.00000000000,2011,2
Kampong Speu,Odongk,Veal Pong,5051011.00000000000,Tuol,3.00000000000,6.00000000000,0.05500000000,0.10900000000,0.16400000000,9.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051012.00000000000,Thlea Chas,16.00000000000,14.00000000000,0.14700000000,0.12800000000,0.27500000000,30.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051013.00000000000,Souvongs Kraom,4.00000000000,11.00000000000,0.08200000000,0.22400000000,0.30600000000,15.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051014.00000000000,Krang Ponhea,8.00000000000,18.00000000000,0.08000000000,0.18000000000,0.26000000000,26.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051015.00000000000,Trapeang Pou,8.00000000000,9.00000000000,0.11900000000,0.13400000000,0.25400000000,17.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051016.00000000000,Trapeang Khtum,8.00000000000,24.00000000000,0.06800000000,0.20300000000,0.27100000000,32.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051017.00000000000,Damnak Smach,53.00000000000,9.00000000000,0.26900000000,0.04600000000,0.31500000000,62.00000000000,2011,2
Kampong Speu,Odongk,Veal Pong,5051018.00000000000,Chamkar Doung,7.00000000000,12.00000000000,0.10800000000,0.18500000000,0.29200000000,19.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051019.00000000000,Sdok Kraol,5.00000000000,7.00000000000,0.04200000000,0.05800000000,0.10000000000,12.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051020.00000000000,Veal Pong,5.00000000000,3.00000000000,0.07100000000,0.04300000000,0.11400000000,8.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051021.00000000000,Souvongs Leu,19.00000000000,16.00000000000,0.18800000000,0.15800000000,0.34700000000,35.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051022.00000000000,Snam Puk,11.00000000000,35.00000000000,0.07600000000,0.24300000000,0.31900000000,46.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051023.00000000000,Pou,3.00000000000,6.00000000000,0.04500000000,0.09100000000,0.13600000000,9.00000000000,2011,2
Kampong Speu,Odongk,Veal Pong,5051024.00000000000,Andoung Chambak,10.00000000000,8.00000000000,0.18500000000,0.14800000000,0.33300000000,18.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051025.00000000000,Voat Kdei,11.00000000000,10.00000000000,0.08000000000,0.07200000000,0.15200000000,21.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051026.00000000000,Boureirom,5.00000000000,27.00000000000,0.04100000000,0.22300000000,0.26400000000,32.00000000000,2011,1
Kampong Speu,Odongk,Veal Pong,5051027.00000000000,Sameakkipheap,9.00000000000,20.00000000000,0.11400000000,0.25300000000,0.36700000000,29.00000000000,2011,1
Kampong Speu,Odongk,Veang Chas,5051101.00000000000,Odongk,7.00000000000,2.00000000000,0.03000000000,0.00800000000,0.03800000000,9.00000000000,2011,1
Kampong Speu,Odongk,Veang Chas,5051102.00000000000,Ou Karong,0.00000000000,9.00000000000,0.00000000000,0.08200000000,0.08200000000,9.00000000000,2011,1
Kampong Speu,Odongk,Veang Chas,5051103.00000000000,Chamkar Luong,13.00000000000,16.00000000000,0.08000000000,0.09900000000,0.17900000000,29.00000000000,2011,1
Kampong Speu,Odongk,Veang Chas,5051104.00000000000,Vihear Khpos,12.00000000000,8.00000000000,0.06100000000,0.04100000000,0.10200000000,20.00000000000,2011,1
Kampong Speu,Odongk,Veang Chas,5051105.00000000000,Khleang Pram,6.00000000000,27.00000000000,0.02600000000,0.11500000000,0.14100000000,33.00000000000,2011,1
Kampong Speu,Odongk,Veang Chas,5051106.00000000000,Knong Veang,21.00000000000,4.00000000000,0.18100000000,0.03400000000,0.21600000000,25.00000000000,2011,1
Kampong Speu,Odongk,Veang Chas,5051107.00000000000,Chen Dam Mlu,10.00000000000,21.00000000000,0.07500000000,0.15700000000,0.23100000000,31.00000000000,2011,1
Kampong Speu,Odongk,Veang Chas,5051108.00000000000,Srah Kaev,6.00000000000,12.00000000000,0.05800000000,0.11500000000,0.17300000000,18.00000000000,2011,2
Kampong Speu,Odongk,Veang Chas,5051109.00000000000,Krang Ponley,6.00000000000,23.00000000000,0.06000000000,0.23000000000,0.29000000000,29.00000000000,2011,1
Kampong Speu,Odongk,Veang Chas,5051110.00000000000,Voat Pou,13.00000000000,8.00000000000,0.23600000000,0.14500000000,0.38200000000,21.00000000000,2011,1
Kampong Speu,Odongk,Yutth Sameakki,5051201.00000000000,Prey Thum,19.00000000000,32.00000000000,0.09100000000,0.15400000000,0.24500000000,51.00000000000,2011,2
Kampong Speu,Odongk,Yutth Sameakki,5051202.00000000000,Trach Kaong,12.00000000000,5.00000000000,0.11900000000,0.05000000000,0.16800000000,17.00000000000,2011,1
Kampong Speu,Odongk,Yutth Sameakki,5051203.00000000000,Angkor Ban,9.00000000000,7.00000000000,0.16400000000,0.12700000000,0.29100000000,16.00000000000,2011,1
Kampong Speu,Odongk,Yutth Sameakki,5051204.00000000000,Roung Kou,9.00000000000,9.00000000000,0.16400000000,0.16400000000,0.32700000000,18.00000000000,2011,1
Kampong Speu,Odongk,Yutth Sameakki,5051205.00000000000,Prey Chum,17.00000000000,25.00000000000,0.18500000000,0.27200000000,0.45700000000,42.00000000000,2011,1
Kampong Speu,Odongk,Yutth Sameakki,5051206.00000000000,Thommeak Tey,17.00000000000,18.00000000000,0.23300000000,0.24700000000,0.47900000000,35.00000000000,2011,1
Kampong Speu,Odongk,Yutth Sameakki,5051207.00000000000,Trapeang Khnar,14.00000000000,17.00000000000,0.17700000000,0.21500000000,0.39200000000,31.00000000000,2011,1
Kampong Speu,Odongk,Yutth Sameakki,5051208.00000000000,Prey Tean,8.00000000000,7.00000000000,0.17400000000,0.15200000000,0.32600000000,15.00000000000,2011,1
Kampong Speu,Odongk,Yutth Sameakki,5051209.00000000000,Trapeang Thum,16.00000000000,15.00000000000,0.16300000000,0.15300000000,0.31600000000,31.00000000000,2011,2
Kampong Speu,Odongk,Yutth Sameakki,5051210.00000000000,Rung,24.00000000000,8.00000000000,0.17900000000,0.06000000000,0.23900000000,32.00000000000,2011,2
Kampong Speu,Odongk,Yutth Sameakki,5051211.00000000000,Reang Ter,11.00000000000,15.00000000000,0.12500000000,0.17000000000,0.29500000000,26.00000000000,2011,1
Kampong Speu,Odongk,Yutth Sameakki,5051212.00000000000,Krang Kdei,12.00000000000,8.00000000000,0.17400000000,0.11600000000,0.29000000000,20.00000000000,2011,1
Kampong Speu,Odongk,Yutth Sameakki,5051213.00000000000,Krang Chres,17.00000000000,22.00000000000,0.13100000000,0.16900000000,0.30000000000,39.00000000000,2011,2
Kampong Speu,Odongk,Yutth Sameakki,5051214.00000000000,Trapeang Lpeak,9.00000000000,9.00000000000,0.05400000000,0.05400000000,0.10800000000,18.00000000000,2011,1
Kampong Speu,Odongk,Yutth Sameakki,5051215.00000000000,Srah Thul,19.00000000000,18.00000000000,0.14500000000,0.13700000000,0.28200000000,37.00000000000,2011,1
Kampong Speu,Odongk,Damnak Reang,5051301.00000000000,Krang Knaor,8.00000000000,13.00000000000,0.06800000000,0.11100000000,0.17900000000,21.00000000000,2011,1
Kampong Speu,Odongk,Damnak Reang,5051302.00000000000,Chumtob Moan,9.00000000000,5.00000000000,0.11800000000,0.06600000000,0.18400000000,14.00000000000,2011,1
Kampong Speu,Odongk,Damnak Reang,5051303.00000000000,Chambak Run,0.00000000000,11.00000000000,0.00000000000,0.17500000000,0.17500000000,11.00000000000,2011,1
Kampong Speu,Odongk,Damnak Reang,5051304.00000000000,Sdok,3.00000000000,4.00000000000,0.07000000000,0.09300000000,0.16300000000,7.00000000000,2011,2
Kampong Speu,Odongk,Damnak Reang,5051305.00000000000,Tuol Samnang,3.00000000000,8.00000000000,0.11500000000,0.30800000000,0.42300000000,11.00000000000,2011,1
Kampong Speu,Odongk,Damnak Reang,5051306.00000000000,Trapeang Smach,6.00000000000,14.00000000000,0.07700000000,0.17900000000,0.25600000000,20.00000000000,2011,1
Kampong Speu,Odongk,Damnak Reang,5051307.00000000000,Khsach Poun,1.00000000000,4.00000000000,0.02400000000,0.09800000000,0.12200000000,5.00000000000,2011,1
Kampong Speu,Odongk,Damnak Reang,5051308.00000000000,Damnak Reang,4.00000000000,3.00000000000,0.12500000000,0.09400000000,0.21900000000,7.00000000000,2011,1
Kampong Speu,Odongk,Damnak Reang,5051309.00000000000,Trapeang Veaeng,4.00000000000,4.00000000000,0.08000000000,0.08000000000,0.16000000000,8.00000000000,2011,2
Kampong Speu,Odongk,Damnak Reang,5051310.00000000000,Angkrong,0.00000000000,3.00000000000,0.00000000000,0.08800000000,0.08800000000,3.00000000000,2011,1
Kampong Speu,Odongk,Damnak Reang,5051311.00000000000,Pong Tuek,3.00000000000,14.00000000000,0.04200000000,0.19400000000,0.23600000000,17.00000000000,2011,1
Kampong Speu,Odongk,Damnak Reang,5051312.00000000000,Tuol Sambour,4.00000000000,9.00000000000,0.06000000000,0.13400000000,0.19400000000,13.00000000000,2011,1
Kampong Speu,Odongk,Damnak Reang,5051313.00000000000,Pou,11.00000000000,11.00000000000,0.06700000000,0.06700000000,0.13400000000,22.00000000000,2011,2
Kampong Speu,Odongk,Damnak Reang,5051314.00000000000,Trapeang Run,10.00000000000,13.00000000000,0.11400000000,0.14800000000,0.26100000000,23.00000000000,2011,2
Kampong Speu,Odongk,Damnak Reang,5051315.00000000000,Tumnob Bak,11.00000000000,24.00000000000,0.10600000000,0.23100000000,0.33700000000,35.00000000000,2011,1
Kampong Speu,Odongk,Damnak Reang,5051316.00000000000,Pingpong,18.00000000000,23.00000000000,0.14000000000,0.17800000000,0.31800000000,41.00000000000,2011,1
Kampong Speu,Odongk,Damnak Reang,5051317.00000000000,Doek Peang,18.00000000000,19.00000000000,0.18000000000,0.19000000000,0.37000000000,37.00000000000,2011,1
