Province,District,Commune,Vil_Code,Village,L1_HH,L2_HH,L1_Per_HH,L2_Per_HH,TOT_PerHH,TOP_HH,Rounds,Scale
Kampong Speu,Basedth,Pheari Mean Chey,5010502,Thmei,5,22,0.023,0.103,0.126,27,2011,1
Kampong Speu,Basedth,Pheari Mean Chey,5010503,Prey Kanhchan,5,29,0.055,0.319,0.374,34,2011,1
Kampong Speu,Basedth,Pheari Mean Chey,5010504,Das Skor,4,11,0.085,0.234,0.319,15,2011,1
Kampong Speu,Basedth,Pheari Mean Chey,5010505,Prey Ngoung,6,42,0.036,0.253,0.289,48,2011,1
Kampong Speu,Basedth,Pheari Mean Chey,5010506,Pheari,3,28,0.021,0.194,0.215,31,2011,1
Kampong Speu,Basedth,Pheari Mean Chey,5010507,Ta Thomm,7,43,0.049,0.303,0.352,50,2011,1
Kampong Speu,Basedth,Pheari Mean Chey,5010508,Trapeang Phlong,6,77,0.034,0.44,0.474,83,2011,1
Kampong Speu,Basedth,Pheari Mean Chey,5010509,Prey Roung,7,44,0.047,0.295,0.342,51,2011,2
Kampong Speu,Basedth,Pheari Mean Chey,5010510,Ta Saom Ak,6,45,0.07,0.523,0.593,51,2011,2
Kampong Speu,Basedth,Pheari Mean Chey,5010511,Samraong Pong Tuek,8,46,0.058,0.331,0.388,54,2011,2
Kampong Speu,Basedth,Pheari Mean Chey,5010512,Sach Trei,6,27,0.048,0.216,0.264,33,2011,1
Kampong Speu,Basedth,Pheari Mean Chey,5010513,Tuek Thla,6,24,0.057,0.226,0.283,30,2011,1
Kampong Speu,Basedth,Phong,5010601,Boeng Ta Mom,13,11,0.071,0.06,0.13,24,2011,1
Kampong Speu,Basedth,Phong,5010602,Tuol,0,8,0,0.086,0.086,8,2011,1
Kampong Speu,Basedth,Phong,5010603,Thmei,3,1,0.073,0.024,0.098,4,2011,1
Kampong Speu,Basedth,Phong,5010604,Sambour Meas,6,5,0.08,0.067,0.147,11,2011,1
Kampong Speu,Basedth,Phong,5010605,Kanlang Chum,10,3,0.068,0.02,0.088,13,2011,1
Kampong Speu,Basedth,Phong,5010606,Prey Mnou,10,10,0.061,0.061,0.123,20,2011,1
Kampong Speu,Basedth,Phong,5010607,Trapeang Tuek Chrov,13,14,0.144,0.156,0.3,27,2011,1
Kampong Speu,Basedth,Phong,5010608,Trapeang Veaeng,12,24,0.046,0.092,0.137,36,2011,2
Kampong Speu,Basedth,Phong,5010609,Chhuk Kieb,18,7,0.137,0.053,0.191,25,2011,1
Kampong Speu,Basedth,Phong,5010610,Trapeang Lieb,2,10,0.012,0.06,0.071,12,2011,1
Kampong Speu,Basedth,Phong,5010611,Dambouk Khpos,15,34,0.049,0.11,0.159,49,2011,1
Kampong Speu,Basedth,Phong,5010612,Tuol Phngeas,19,19,0.104,0.104,0.208,38,2011,1
Kampong Speu,Basedth,Phong,5010613,Srae Roluos,7,4,0.149,0.085,0.234,11,2011,2
Kampong Speu,Basedth,Pou Angkrang,5010701,Trapeang Prei,9,16,0.15,0.267,0.417,25,2011,1
Kampong Speu,Basedth,Pou Angkrang,5010702,Sangkom Mean chey,6,11,0.036,0.065,0.101,17,2011,1
Kampong Speu,Basedth,Pou Angkrang,5010703,Trapeang Chhuk,9,15,0.033,0.056,0.089,24,2011,1
Kampong Speu,Basedth,Pou Angkrang,5010704,Kandaol,12,67,0.068,0.379,0.446,79,2011,2
Kampong Speu,Basedth,Pou Angkrang,5010705,Pou Thum,16,25,0.119,0.187,0.306,41,2011,1
Kampong Speu,Basedth,Pou Angkrang,5010706,Pou Kandal,9,36,0.055,0.221,0.276,45,2011,3
Kampong Speu,Basedth,Pou Angkrang,5010707,Prey Edth,12,13,0.062,0.067,0.128,25,2011,1
Kampong Speu,Basedth,Pou Angkrang,5010708,Chranieng Chas,10,45,0.057,0.259,0.316,55,2011,2
Kampong Speu,Basedth,Pou Angkrang,5010709,Chranieng Thmei,10,10,0.105,0.105,0.211,20,2011,1
Kampong Speu,Basedth,Pou Angkrang,5010710,Prey Khla,8,31,0.074,0.287,0.361,39,2011,1
Kampong Speu,Basedth,Pou Angkrang,5010711,Trapeang Kak,9,21,0.033,0.078,0.111,30,2011,1
Kampong Speu,Basedth,Pou Angkrang,5010712,Serei Chuob Chum,14,17,0.2,0.243,0.443,31,2011,1
Kampong Speu,Basedth,Pou Angkrang,5010713,Trakuon,10,48,0.058,0.277,0.335,58,2011,2
Kampong Speu,Basedth,Pou Angkrang,5010714,Trapeang Trakiet,10,29,0.041,0.119,0.16,39,2011,1
Kampong Speu,Basedth,Pou Angkrang,5010715,Kranhung,12,24,0.037,0.074,0.111,36,2011,1
Kampong Speu,Basedth,Pou Angkrang,5010716,Serei Phoat,10,15,0.114,0.17,0.284,25,2011,1
Kampong Speu,Basedth,Pou Angkrang,5010717,Prey Sroul,11,16,0.035,0.052,0.087,27,2011,1
Kampong Speu,Basedth,Pou Angkrang,5010718,Noreay,12,31,0.071,0.185,0.256,43,2011,1
Kampong Speu,Basedth,Pou Angkrang,5010719,Prey Ta Phem,8,23,0.063,0.181,0.244,31,2011,1
Kampong Speu,Basedth,Pou Chamraeun,5010801,Khley Chas,20,19,0.143,0.136,0.279,39,2011,1
Kampong Speu,Basedth,Pou Chamraeun,5010802,Khley Thmei,22,24,0.142,0.155,0.297,46,2011,1
