Province,District,Com_Code,Commune,TT_Family,TT_M,TT_F,TT_Both,Both_UP_18,M_18_24,F_18_24,M_25_35,F_25_35,M_36_45,F_36_45,M_46_60,F_46_60,M_UP_61,F_UP_61,M_IM_UP_18,F_IM_UP_18,Both_IM_18,IM_UP_18_P,IM_POP_P
Pursat,Bakan,150105,Ou Ta Paong,3324,8233,8589,16822,8803,1068,1081,947,992,884,955,787,884,598,607,197,177,374,4.25000000000,2.22000000000
Kampong Thom,Stoung,060801,Banteay Stoung,2308,5296,5569,10865,7088,702,662,921,1010,733,794,761,864,267,374,263,121,384,5.42000000000,3.53000000000
Battambang,Sangkae,020807,Reang Kesei,1862,4151,4366,8517,5214,583,680,603,671,428,485,463,502,399,400,149,98,247,4.74000000000,2.90000000000
Battambang,Banan,020103,Bay Damram,1643,3933,3892,7825,4558,593,567,607,615,418,395,345,475,272,271,86,89,175,3.84000000000,2.24000000000
Kampong Thom,Sandan,060603,Klaeng,876,1882,1996,3878,2317,307,328,356,302,180,201,174,222,101,146,18,17,35,1.51000000000,0.90000000000
Battambang,Moung Ruessei,020606,Ta Loas,2075,4527,4910,9437,5650,707,820,770,823,432,453,439,599,261,346,184,170,354,6.27000000000,3.75000000000
Kampong Thom,Prasat Sambour,060501,Chhuk,2343,5178,5416,10594,6223,504,650,707,766,681,675,752,654,413,421,149,70,219,3.52000000000,2.07000000000
Kampong Thom,Stoung,060810,Preah Damrei,1518,2975,3198,6173,3550,388,427,407,430,394,394,326,374,147,263,200,152,352,9.92000000000,5.70000000000
Kampong Thom,Kampong Svay,060202,Damrei Slab,861,2109,2193,4302,2639,260,294,362,384,280,260,285,338,89,87,142,68,210,7.96000000000,4.88000000000
Battambang,Moung Ruessei,020608,Prey Touch,2212,5194,5392,10586,6173,827,853,930,830,469,557,460,571,304,372,131,95,226,3.66000000000,2.13000000000
Kracheh,Sambour,100404,Kaoh Khnhaer,959,2303,2448,4751,2317,222,259,325,376,226,234,178,196,140,161,0,4,4,0.17000000000,0.08000000000
Kracheh,Sambour,100403,Kbal Damrei,1063,2579,2780,5359,2933,442,328,385,470,292,367,203,237,91,118,10,6,16,0.55000000000,0.30000000000
Battambang,Rotonak Mondol,020704,Traeng,2666,6353,6123,12476,6737,905,859,864,790,575,660,642,665,387,390,64,110,174,2.58000000000,1.39000000000
Kampong Thom,Stoung,060806,Msa Krang,2140,4591,4928,9519,5568,479,650,551,586,432,435,658,661,545,571,89,51,140,2.51000000000,1.47000000000
Battambang,Banan,020102,Kantueu Pir,1462,3154,3102,6256,3794,484,437,544,556,380,387,357,357,131,161,226,138,364,9.59000000000,5.82000000000
Kampong Thom,Prasat Sambour,060502,Koul,1146,2318,2535,4853,3046,276,302,398,392,278,351,324,321,213,191,33,33,66,2.17000000000,1.36000000000
Kampong Thom,Stoung,060811,Rung Roeang,1156,2547,2892,5439,3582,467,427,513,571,288,373,233,331,129,250,250,157,407,11.36000000000,7.48000000000
Pailin,Sala Krau,240203,Stueng Kach,2915,6395,6495,12890,7555,1062,1094,1027,1066,736,774,713,767,184,132,102,129,231,3.06000000000,1.79000000000
Kampong Thom,Kampong Svay,060205,Nipech,812,1813,2014,3827,2147,287,320,294,274,187,238,133,182,93,139,39,12,51,2.38000000000,1.33000000000
Kampong Thom,Stoung,060805,Kampong Chen Tboung,2024,4525,5362,9887,6188,654,673,660,749,607,698,637,667,359,484,67,52,119,1.92000000000,1.20000000000
Battambang,Moung Ruessei,020607,Kakaoh,2790,6482,6638,13120,6823,898,922,919,895,584,662,534,716,343,350,224,116,340,4.98000000000,2.59000000000
Pursat,Bakan,150104,Me Tuek,3135,6901,7303,14204,8186,1023,1057,901,962,656,836,603,765,659,724,220,162,382,4.67000000000,2.69000000000
Battambang,Banan,020101,Kantueu Muoy,1181,2700,2593,5293,2881,358,323,334,323,323,333,267,249,184,187,66,38,104,3.61000000000,1.96000000000
Kracheh,Sambour,100402,Kampong Cham,2016,4774,4776,9550,5901,460,499,711,702,748,736,722,749,271,303,4,13,17,0.29000000000,0.18000000000
Kampong Thom,Stoung,060812,Samprouch,2696,7025,6863,13888,7637,1113,924,1090,911,685,720,594,655,432,513,140,128,268,3.51000000000,1.93000000000
Mondul Kiri,Pech Chreada,110401,Krang Teh,452,896,993,1889,979,93,111,133,131,121,121,82,93,66,28,0,0,0,0.00000000000,0.00000000000
Kampong Thom,Stoung,060803,Chamna Leu,2156,5417,6001,11418,6686,866,839,853,895,583,671,542,667,351,419,276,165,441,6.60000000000,3.86000000000
Mondul Kiri,Pech Chreada,110402,Pu Chrey,939,2337,2062,4399,2060,339,273,334,254,215,184,145,157,64,95,3,4,7,0.34000000000,0.16000000000
Battambang,Banan,020105,Chaeng Mean Chey,1795,4548,4848,9396,5221,557,699,587,591,525,553,470,513,356,370,62,46,108,2.07000000000,1.15000000000
Battambang,Koas Krala,021301,Thipakdei,2010,4512,4551,9063,4997,643,643,709,703,430,471,455,490,233,220,343,189,532,10.65000000000,5.87000000000
Kampong Thom,Stoung,060802,Chamna Kraom,2534,5720,6313,12033,6284,755,905,682,771,671,628,521,593,393,365,100,54,154,2.45000000000,1.28000000000
Pailin,Pailin,240103,Tuol Lvea,1418,3328,5240,8568,6005,522,515,576,2619,372,373,455,403,76,94,27,19,46,0.77000000000,0.54000000000
Pailin,Pailin,240101,Pailin,2920,6553,6227,12780,7851,1150,1096,1121,1038,712,757,847,785,178,167,60,63,123,1.57000000000,0.96000000000
Pailin,Pailin,240104,Bar Yakha,729,1759,1764,3523,2152,299,318,256,239,191,197,287,269,57,39,9,9,18,0.84000000000,0.51000000000
Kampong Thom,Stoung,060807,Peam Bang,612,1758,1634,3392,1889,145,159,194,250,221,275,226,225,94,100,20,2,22,1.16000000000,0.65000000000
Kampong Thom,Prasat Sambour,060504,Sraeung,1219,2770,2832,5602,3017,344,365,368,382,242,272,292,322,222,208,156,125,281,9.31000000000,5.02000000000
Kampong Thom,Kampong Svay,060208,Tbaeng,2725,7070,7410,14480,7612,787,930,842,995,701,929,666,833,383,546,163,204,367,4.82000000000,2.53000000000
Battambang,Rotonak Mondol,020702,Andaeuk Haeb,1098,2582,2541,5123,2882,277,273,270,327,318,345,342,338,234,158,37,63,100,3.47000000000,1.95000000000
Pailin,Pailin,240102,Ou Ta Vau,2264,5193,4569,9762,5491,704,635,671,670,597,560,721,605,214,114,55,56,111,2.02000000000,1.14000000000
Kampong Thom,Kampong Svay,060209,Trapeang Ruessei,3886,8574,9102,17676,10726,1497,1345,1620,1721,830,981,758,1048,362,564,294,162,456,4.25000000000,2.58000000000
Kampong Thom,Kampong Svay,060207,San Kor,3373,8501,8958,17459,10076,1027,1092,1121,1162,1003,1125,900,958,796,892,289,349,638,6.33000000000,3.65000000000
Kampong Thom,Kampong Svay,060201,Chey,997,2943,2654,5597,3182,337,303,381,376,275,307,231,239,399,334,136,69,205,6.44000000000,3.66000000000
Pursat,Bakan,150101,Boeng Bat Kandaol,2389,5787,5849,11636,6684,809,696,782,834,695,738,660,690,375,405,345,274,619,9.26000000000,5.32000000000
Kampong Thom,Prasat Sambour,060505,Tang Krasau,2295,5125,5312,10437,6787,828,828,1016,997,620,626,500,617,303,452,302,193,495,7.29000000000,4.74000000000
Pursat,Bakan,150107,Snam Preah,3752,8599,9234,17833,10166,1257,1379,1275,1339,928,970,842,1041,528,607,65,40,105,1.03000000000,0.59000000000
Battambang,Moung Ruessei,020604,Ruessei Krang,3212,7304,7425,14729,8507,1045,1223,1221,1164,706,722,706,769,451,500,120,161,281,3.30000000000,1.91000000000
Battambang,Koas Krala,021303,Hab,708,1592,1605,3197,1831,251,225,230,244,176,147,170,175,103,110,70,46,116,6.34000000000,3.63000000000
Battambang,Rotonak Mondol,020703,Phlov Meas,1355,4140,3651,7791,3885,352,395,438,401,441,459,469,352,363,215,13,24,37,0.95000000000,0.47000000000
Battambang,Moung Ruessei,020602,Kear,3469,7922,8646,16568,10161,1356,1293,1402,1465,754,902,798,992,489,710,493,352,845,8.32000000000,5.10000000000
Battambang,Koas Krala,021305,Doun Ba,923,2183,2194,4377,2756,246,225,369,379,331,307,336,306,117,140,108,74,182,6.60000000000,4.16000000000
Battambang,Moung Ruessei,020601,Moung,3201,7569,8020,15589,9079,1162,1154,1155,1153,772,909,777,881,473,643,323,216,539,5.94000000000,3.46000000000
Battambang,Koas Krala,021302,Kaos Krala,799,1846,1914,3760,2159,267,256,242,261,245,253,213,219,95,108,132,97,229,10.61000000000,6.09000000000
Kampong Thom,Santuk,060701,Boeng Lvea,1408,6392,7525,13917,7470,601,611,681,740,904,878,921,946,604,584,3,2,5,0.07000000000,0.04000000000
Kampong Thom,Kampong Svay,060204,Kampong Svay,2891,7373,7258,14631,8276,980,953,932,812,921,854,728,1068,489,539,175,194,369,4.46000000000,2.52000000000
Kampong Thom,Santuk,060705,Kraya,2949,6371,7061,13432,8001,842,904,834,967,835,1196,666,824,492,441,24,51,75,0.94000000000,0.56000000000
Kracheh,Sambour,100407,Sambour,1883,4422,4563,8985,5077,572,547,598,633,476,468,527,531,340,385,15,34,49,0.97000000000,0.55000000000
Kracheh,Sambour,100408,Sandan,1750,3823,3830,7653,4303,477,553,662,660,448,367,339,399,189,209,63,44,107,2.49000000000,1.40000000000
Battambang,Moung Ruessei,020603,Prey Svay,3003,6886,7276,14162,8467,1110,1164,1197,1111,664,733,718,771,453,546,236,137,373,4.41000000000,2.63000000000
Kracheh,Chetr Borei,100607,Sambok,1715,4038,3907,7945,4273,573,429,584,588,488,450,401,399,151,210,19,27,46,1.08000000000,0.58000000000
Battambang,Koas Krala,021304,Preah Phos,775,1821,1836,3657,2011,285,276,286,293,162,188,195,177,66,83,140,73,213,10.59000000000,5.82000000000
Battambang,Moung Ruessei,020609,Robas Mongkol,2765,6244,6460,12704,7683,1053,1111,1112,1077,562,607,691,760,300,410,381,296,677,8.81000000000,5.33000000000
Kracheh,Chetr Borei,100602,Changkrang,855,2202,1943,4145,1454,271,157,175,197,111,221,76,91,83,72,37,50,87,5.98000000000,2.10000000000
Battambang,Samlout,020906,Mean Chey,1018,2266,2176,4442,2463,316,275,293,261,260,289,281,311,101,76,21,21,42,1.71000000000,0.95000000000
Pursat,Bakan,150108,Svay Doun Kaev,1390,3382,3673,7055,4544,623,629,648,604,363,477,316,421,187,276,153,128,281,6.18000000000,3.98000000000
Battambang,Samlout,020903,Ou Samril,1303,2817,2997,5814,2987,445,352,345,354,246,357,204,278,141,265,23,27,50,1.67000000000,0.86000000000
Battambang,Koas Krala,021306,Chhnal Moan,921,2077,2004,4081,2222,305,295,288,279,187,236,265,239,52,76,62,54,116,5.22000000000,2.84000000000
Mondul Kiri,Kaev Seima,110101,Chong Phlah,613,1360,1355,2715,1427,156,135,220,208,167,166,148,123,48,56,0,0,0,0.00000000000,0.00000000000
Pursat,Bakan,150102,Boeng Khnar,2913,6361,6904,13265,8076,973,1055,977,1072,823,806,724,824,374,448,358,208,566,7.01000000000,4.27000000000
Kampong Thom,Santuk,060709,Ti Pou,1974,4883,5092,9975,5454,594,649,790,733,558,639,455,513,239,284,63,33,96,1.76000000000,0.96000000000
Kracheh,Sambour,100410,Voadthonak,899,2199,2095,4294,2071,291,311,296,253,225,183,180,186,66,80,12,18,30,1.45000000000,0.70000000000
Kampong Thom,Kampong Svay,060206,Phat Sanday,1080,2537,2593,5130,2717,359,361,328,347,269,263,249,288,114,139,7,13,20,0.74000000000,0.39000000000
Kampong Thom,Kampong Svay,060203,Kampong Kou,1411,4060,3720,7780,4478,462,482,690,658,486,474,353,363,287,223,48,64,112,2.50000000000,1.44000000000
Kampong Thom,Stueng Saen,060308,Prey Ta Hu,1485,2984,2997,5981,3528,413,528,456,455,570,397,243,253,115,98,6,2,8,0.23000000000,0.13000000000
Kampong Thom,Stueng Saen,060309,Achar Leak,1477,3097,3132,6229,4239,504,547,511,555,422,446,382,417,227,228,18,49,67,1.58000000000,1.08000000000
Kampong Thom,Kampong Svay,060211,Prey Kuy,1144,2540,2631,5171,3065,364,299,404,353,305,355,250,330,194,211,39,33,72,2.35000000000,1.39000000000
Kampong Thom,Kampong Svay,060210,Kdei Doung,1132,2849,2885,5734,3240,457,417,432,411,271,278,255,313,183,223,43,45,88,2.72000000000,1.53000000000
Kracheh,Prek Prasab,100302,Chrouy Banteay,2372,5220,5806,11026,5306,578,658,594,623,495,547,490,517,381,423,24,139,163,3.07000000000,1.48000000000
Kampong Thom,Santuk,060710,Tboung Krapeu,1269,2994,3073,6067,3261,394,370,422,456,329,318,265,302,185,220,64,51,115,3.53000000000,1.90000000000
Kracheh,Chetr Borei,100610,Thmei,2075,5446,5369,10815,4931,476,488,641,640,513,514,599,648,200,212,0,4,4,0.08000000000,0.04000000000
Kampong Thom,Stueng Saen,060306,Kampong Krabau,1014,2394,2383,4777,3353,224,202,374,292,357,355,403,508,327,311,76,24,100,2.98000000000,2.09000000000
Mondul Kiri,Pech Chreada,110404,Bu Sra,984,2177,2783,4960,1985,216,240,259,244,228,238,188,193,80,99,0,0,0,0.00000000000,0.00000000000
Battambang,Samlout,020907,Ta Sanh,2013,5242,4345,9587,6126,971,585,716,525,475,475,1102,778,248,251,4,18,22,0.36000000000,0.23000000000
Kampong Thom,Stueng Saen,060303,Kampong Roteh,1069,2214,2502,4716,2956,213,244,283,313,361,412,316,380,155,279,3,18,21,0.71000000000,0.45000000000
Kampong Thom,Stueng Saen,060301,Damrei Choan Khla,1528,3565,3629,7194,4969,654,620,737,692,403,534,411,467,185,266,15,21,36,0.72000000000,0.50000000000
Pursat,Kandieng,150203,Kandieng,1385,2981,3401,6382,4351,496,570,598,575,311,364,342,499,220,376,16,11,27,0.62000000000,0.42000000000
Kampong Thom,Stueng Saen,060302,Kampong Thum,553,1229,1365,2594,1860,215,235,244,254,171,242,158,178,67,96,4,5,9,0.48000000000,0.35000000000
Kampong Thom,Stueng Saen,060304,Ou Kanthor,1137,2478,2560,5038,3094,378,384,334,364,296,296,222,365,214,241,25,35,60,1.94000000000,1.19000000000
Pursat,Krakor,150306,Kampong Pou,1430,3286,3457,6743,3783,417,421,509,475,377,368,328,459,150,279,5,9,14,0.37000000000,0.21000000000
Pursat,Kandieng,150204,Kanhchor,2265,4649,4931,9580,5750,768,781,786,846,373,435,479,588,263,431,75,45,120,2.09000000000,1.25000000000
Battambang,Samlout,020904,Sung,1255,2793,2778,5571,3214,398,409,405,362,312,303,453,394,82,96,9,7,16,0.50000000000,0.29000000000
Kampong Thom,Santuk,060704,Kakaoh,2426,5592,5976,11568,6827,847,763,874,955,655,724,507,649,358,495,68,81,149,2.18000000000,1.29000000000
Battambang,Rukh Kiri,021401,Preaek Chik,1716,4007,4229,8236,4208,493,539,481,536,397,438,434,483,194,213,124,118,242,5.75000000000,2.94000000000
Kampong Thom,Stueng Saen,060310,Srayov,4334,9287,10300,19587,12356,1314,1256,1508,1636,1141,1328,931,1201,930,1111,145,102,247,2.00000000000,1.26000000000
Pursat,Kandieng,150210,Kaoh Chum,1681,3765,4099,7864,4407,547,579,608,641,330,382,342,453,214,311,145,90,235,5.33000000000,2.99000000000
Battambang,Samlout,020902,Kampong Lpov,1300,2838,2959,5797,3317,554,544,318,364,227,277,377,412,116,128,3,12,15,0.45000000000,0.26000000000
Kampong Thom,Santuk,060702,Chroab,992,2244,2561,4805,2884,368,411,332,385,347,329,203,264,135,110,50,72,122,4.23000000000,2.54000000000
Mondul Kiri,Saen Monourom,110502,Sokh Dom,561,1305,1368,2673,1369,158,177,175,181,150,171,128,119,51,59,0,1,1,0.07000000000,0.04000000000
Battambang,Rukh Kiri,021402,Prey Tralach,1646,3705,3629,7334,3651,490,519,505,456,302,338,389,410,131,111,38,46,84,2.30000000000,1.15000000000
Pursat,Krakor,150308,Ou Sandan,1174,2463,2762,5225,3099,386,444,328,411,257,303,253,331,181,205,19,11,30,0.97000000000,0.57000000000
Mondul Kiri,Pech Chreada,110403,Srae Ampum,316,685,660,1345,729,96,86,104,109,74,50,79,71,29,31,1,0,1,0.14000000000,0.07000000000
Pursat,Krakor,150309,Sna Ansa,1135,2618,2924,5542,3033,348,377,350,412,235,276,307,386,138,204,0,0,0,0.00000000000,0.00000000000
Pursat,Kandieng,150207,Svay Luong,1313,3445,3608,7053,4385,507,535,491,619,365,358,450,496,231,333,34,25,59,1.35000000000,0.84000000000
Pursat,Bakan,150106,Rumlech,1842,4070,4201,8271,4994,660,650,605,660,439,524,446,533,221,256,136,185,321,6.43000000000,3.88000000000
Pursat,Bakan,150110,Trapeang chorng,4223,10098,10386,20484,10837,1327,1377,1291,1262,1151,1103,985,1080,638,623,151,149,300,2.77000000000,1.46000000000
Pursat,Bakan,150103,Khnar Totueng,1792,4037,4246,8283,4525,553,605,566,565,433,454,388,471,242,248,185,114,299,6.61000000000,3.61000000000
Kampong Thom,Santuk,060708,Tang Krasang,2760,6784,6899,13683,7750,968,877,1099,1005,856,837,689,654,381,384,61,60,121,1.56000000000,0.88000000000
Pursat,Kandieng,150201,Anlong Vil,1154,2545,2791,5336,3309,453,444,429,453,240,278,252,346,139,275,8,18,26,0.79000000000,0.49000000000
Mondul Kiri,Kaev Seima,110103,Srae Chhuk,654,1600,1603,3203,1609,127,167,176,197,181,203,168,129,145,116,0,0,0,0.00000000000,0.00000000000
Kracheh,Chetr Borei,100603,Dar,1912,4793,4895,9688,4870,482,605,599,669,495,537,464,401,291,327,3,23,26,0.53000000000,0.27000000000
Kampong Chhnang,Kampong Leaeng,040404,Phlov Tuk,761,2163,1749,3912,1826,285,238,330,196,200,162,161,122,72,60,0,9,9,0.49000000000,0.23000000000
Mondul Kiri,Saen Monourom,110503,Spean Mean Chey,845,2324,2505,4829,2974,190,455,490,469,319,342,307,283,59,60,0,0,0,0.00000000000,0.00000000000
Pursat,Krakor,150301,Anlong Tnaot,1972,4844,5520,10364,6323,645,737,691,640,532,952,567,609,464,486,46,20,66,1.04000000000,0.64000000000
Kampong Thom,Santuk,060703,Kampong Thma,2181,4807,5088,9895,6342,581,707,739,811,648,612,583,702,434,525,32,25,57,0.90000000000,0.58000000000
Kracheh,Chetr Borei,100605,Kou Loab,985,2062,2153,4215,2358,253,253,320,353,226,209,224,256,108,156,61,82,143,6.06000000000,3.39000000000
Kampong Thom,Santuk,060707,Prasat,2013,4971,5238,10209,5942,531,605,644,686,592,603,604,692,465,520,27,30,57,0.96000000000,0.56000000000
Mondul Kiri,Saen Monourom,110504,Romonea,627,1388,1399,2787,1358,167,176,192,171,156,168,85,119,62,62,0,0,0,0.00000000000,0.00000000000
Pursat,Pursat,150504,Phteah Prey,3402,8255,9597,17852,10341,1579,1770,963,1043,840,1083,778,956,594,735,28,18,46,0.44000000000,0.26000000000
Mondul Kiri,Kaev Seima,110102,Memang,524,1123,1128,2251,1003,126,112,141,171,124,114,58,77,34,46,0,0,0,0.00000000000,0.00000000000
Pursat,Krakor,150307,Kbal Trach,2062,5234,5210,10444,5517,583,583,730,605,510,572,546,616,336,436,34,49,83,1.50000000000,0.79000000000
Pursat,Kandieng,150209,Veal,1148,2440,2711,5151,3600,409,373,498,518,261,313,307,398,188,335,14,13,27,0.75000000000,0.52000000000
Kracheh,Chetr Borei,100609,Thma Kreae,1129,2899,3050,5949,3704,277,303,432,453,362,398,561,563,171,184,16,20,36,0.97000000000,0.61000000000
Pursat,Bakan,150109,Ta Lou,4483,10466,11245,21711,12104,1456,1681,1433,1558,1109,1257,1099,1173,616,722,296,262,558,4.61000000000,2.57000000000
Pursat,Veal Veaeng,150602,Krapeu Pir,554,1278,1081,2359,1329,184,156,174,153,144,151,148,139,47,33,0,0,0,0.00000000000,0.00000000000
Pursat,Krakor,150303,Boeng Kantuot,1437,3272,3345,6617,3839,489,518,442,526,319,373,303,443,188,238,16,16,32,0.83000000000,0.48000000000
Kampong Chhnang,Kampong Leaeng,040401,Chranouk,1791,4675,4632,9307,4646,719,604,573,575,538,508,388,370,166,205,61,67,128,2.76000000000,1.38000000000
Pursat,Pursat,150508,Banteay Dei,1261,2678,2912,5590,3401,417,401,413,470,308,318,303,397,137,237,49,41,90,2.65000000000,1.61000000000
Mondul Kiri,Ou Reang,110301,Dak Dam,363,964,1027,1991,1067,100,138,119,143,96,134,111,122,47,57,15,4,19,1.78000000000,0.95000000000
Pursat,Krakor,150302,Ansa Chambak,1598,3628,3926,7554,4662,593,595,653,674,369,437,351,503,206,281,15,15,30,0.64000000000,0.40000000000
Pursat,Pursat,150507,Svay At,986,2148,2446,4594,2631,351,334,333,356,194,231,213,272,173,174,0,5,5,0.19000000000,0.11000000000
Mondul Kiri,Saen Monourom,110501,Monourom,312,699,671,1370,790,114,86,126,115,70,78,70,78,20,33,0,0,0,0.00000000000,0.00000000000
Kampong Thom,Baray,060105,Chaeung Daeung,2242,5078,5501,10579,5743,652,698,798,865,551,684,494,498,222,281,41,41,82,1.43000000000,0.78000000000
Kampong Thom,Santuk,060706,Pnov,545,1242,1373,2615,1693,186,158,174,188,158,193,171,169,126,170,5,12,17,1.00000000000,0.65000000000
Pursat,Pursat,150505,Prey Nhi,1063,2539,2751,5290,3263,377,499,445,380,250,282,263,362,175,230,25,25,50,1.53000000000,0.95000000000
Kracheh,Prek Prasab,100307,Saob,2118,5227,5013,10240,5964,619,604,703,664,645,584,652,638,430,425,31,40,71,1.19000000000,0.69000000000
Kracheh,Kracheh,100208,Krakor,813,1877,1919,3796,2515,239,273,376,359,262,265,230,238,118,155,20,19,39,1.55000000000,1.03000000000
Kampong Thom,Baray,060117,Tnaot Chum,1908,4374,4467,8841,5154,525,464,486,562,500,498,570,587,480,482,49,31,80,1.55000000000,0.90000000000
Pursat,Pursat,150503,Lolok Sa,1959,4694,5006,9700,5783,667,750,757,774,472,495,431,582,422,433,71,51,122,2.11000000000,1.26000000000
Kampong Thom,Baray,060101,Bak Sna,1424,3311,3729,7040,3276,367,440,402,584,362,333,264,248,149,127,6,72,78,2.38000000000,1.11000000000
Pursat,Pursat,150506,Roleab,3150,7565,7792,15357,8588,1081,1105,1082,1228,708,873,681,840,459,531,52,23,75,0.87000000000,0.49000000000
Kampong Thom,Baray,060111,Krava,2294,4867,5088,9955,5958,784,746,759,821,525,628,426,569,317,383,27,30,57,0.96000000000,0.57000000000
Kracheh,Kracheh,100207,Kaoh Trong,342,837,860,1697,1180,140,117,195,180,84,98,105,118,56,87,4,1,5,0.42000000000,0.29000000000
Kracheh,Kracheh,100210,Ou Ruessei,2521,6201,6906,13107,7430,839,961,792,899,780,796,788,840,277,458,77,51,128,1.72000000000,0.98000000000
Pursat,Krakor,150311,Tnaot Chum,2698,6749,6643,13392,6964,929,945,922,820,613,668,589,678,336,464,84,70,154,2.21000000000,1.15000000000
Battambang,Samlout,020901,Ta Taok,674,1562,1399,2961,1564,207,195,186,145,169,156,203,186,52,65,11,18,29,1.85000000000,0.98000000000
Pursat,Phnum Kravanh,150403,Phteah Rung,3598,8160,8372,16532,8838,991,1254,1171,1150,917,886,747,848,418,456,115,113,228,2.58000000000,1.38000000000
Kracheh,Snuol,100505,Svay Chreah,2314,4852,5214,10066,5130,575,613,624,615,521,543,460,494,276,409,3,15,18,0.35000000000,0.18000000000
Kampong Chhnang,Baribour,040102,Chhnok Tru,950,3392,2569,5961,3863,631,374,760,719,306,228,333,287,116,109,9,8,17,0.44000000000,0.29000000000
Kampong Chhnang,Kampong Leaeng,040406,Pralay Meas,1021,2263,2553,4816,2420,293,357,352,359,207,222,197,226,103,104,1,31,32,1.32000000000,0.66000000000
Pursat,Phnum Kravanh,150401,Bak Chenhchien,1429,3294,3671,6965,4269,479,542,520,614,353,412,398,460,240,251,35,19,54,1.26000000000,0.78000000000
Pursat,Pursat,150501,Chamraeun Phal,1493,3900,4029,7929,4154,493,512,536,537,378,491,418,431,163,195,0,0,0,0.00000000000,0.00000000000
Kampong Thom,Baray,060102,Ballangk,3616,7868,8551,16419,10258,1190,1294,1101,1153,974,1079,1099,1255,521,592,51,35,86,0.84000000000,0.52000000000
Pursat,Phnum Kravanh,150407,Samraong,2939,6563,7142,13705,6828,756,924,805,888,548,695,615,781,371,445,66,49,115,1.68000000000,0.84000000000
Kampong Cham,Stueng Trang,031514,Tuol Sambuor,1098,2896,2896,5792,2312,170,183,223,218,241,272,309,307,184,205,7,10,17,0.74000000000,0.29000000000
Kracheh,Chetr Borei,100604,Kantuot,1320,3305,3265,6570,3526,439,441,519,494,346,350,318,319,139,161,3,17,20,0.57000000000,0.30000000000
Kampong Chhnang,Baribour,040111,Trapeang Chan,1248,2707,3080,5787,2948,339,332,384,461,264,335,255,342,115,121,9,10,19,0.64000000000,0.33000000000
Kracheh,Kracheh,100209,Kracheh,1403,3102,3281,6383,4291,472,510,569,651,482,480,445,419,135,128,4,8,12,0.28000000000,0.19000000000
Kampong Thom,Baray,060108,Chong Doung,2778,6143,6453,12596,8144,798,835,993,1056,721,744,853,806,681,657,68,52,120,1.47000000000,0.95000000000
Kampong Cham,Stueng Trang,031506,Ou Mlu,2239,5786,5113,10899,5422,560,471,579,602,700,648,866,521,264,211,45,50,95,1.75000000000,0.87000000000
Kampong Cham,Stueng Trang,031503,Dang Kdar,2427,5774,6218,11992,6970,597,600,593,658,595,832,1012,1115,463,505,28,47,75,1.08000000000,0.63000000000
Kampong Thom,Baray,060110,Kokir Thum,2094,4395,4563,8958,4811,506,602,558,712,574,577,394,444,197,247,43,80,123,2.56000000000,1.37000000000
Kampong Chhnang,Baribour,040103,Chak,735,1512,1513,3025,1853,209,184,204,241,196,204,187,216,84,128,7,1,8,0.43000000000,0.26000000000
Kracheh,Kracheh,100211,Roka Kandal,1148,2706,2821,5527,3876,429,386,622,659,316,331,310,327,196,300,25,21,46,1.19000000000,0.83000000000
Kampong Chhnang,Baribour,040104,Khon Rang,1746,3642,3987,7629,4574,447,486,612,662,418,476,351,440,277,405,68,42,110,2.40000000000,1.44000000000
Mondul Kiri,Ou Reang,110302,Saen Monourom,629,1353,1509,2862,1389,136,144,143,166,189,200,88,129,74,120,0,0,0,0.00000000000,0.00000000000
Kracheh,Prek Prasab,100301,Chambak,1797,3907,4318,8225,5414,518,546,600,686,500,571,496,536,474,487,13,13,26,0.48000000000,0.32000000000
Kracheh,Prek Prasab,100305,Preaek Prasab,3093,7254,7536,14790,9568,945,945,1174,1152,1015,1028,897,943,711,758,37,53,90,0.94000000000,0.61000000000
Kracheh,Prek Prasab,100306,Ruessei Kaev,1452,3547,3847,7394,5063,538,527,650,597,417,490,376,491,419,558,13,6,19,0.38000000000,0.26000000000
Kampong Chhnang,Kampong Leaeng,040402,Dar,1609,3641,3501,7142,4166,511,473,532,479,363,430,401,388,330,259,213,80,293,7.03000000000,4.10000000000
Kampong Chhnang,Baribour,040110,Ponley,1719,3436,3922,7358,4714,464,467,623,661,425,574,340,649,220,291,47,47,94,1.99000000000,1.28000000000
Pursat,Phnum Kravanh,150404,Prongil,2263,4967,5611,10578,5301,529,543,564,633,539,599,552,614,292,436,103,75,178,3.36000000000,1.68000000000
Kracheh,Chetr Borei,100601,Bos Leav,1573,4236,4130,8366,4777,472,501,559,600,600,560,469,546,213,257,16,42,58,1.21000000000,0.69000000000
Kracheh,Chetr Borei,100608,Thma Andaeuk,979,2869,2260,5129,2748,389,240,388,336,336,229,279,225,185,141,0,12,12,0.44000000000,0.23000000000
Kampong Chhnang,Baribour,040105,Kampong Preah Kokir,458,995,1010,2005,1195,186,168,200,181,55,68,83,130,49,75,14,20,34,2.85000000000,1.70000000000
Pursat,Veal Veaeng,150603,Anlong Reab,1031,2347,2169,4516,2358,371,302,261,261,255,266,256,243,72,71,10,15,25,1.06000000000,0.55000000000
Kampong Cham,Stueng Trang,031501,Areaks Tnot,2173,5217,4455,9672,4882,493,552,645,476,646,534,559,501,256,220,25,69,94,1.93000000000,0.97000000000
