Dis_Code,District,Dis_Num,LSize_Skm,NB_EMIGRAN,Emigr_Skm,TOPOP,EmigPerPOP
0102,Mongkol Borei,102,807.22620551000,1347,1.66867724413,139315,9.66873631698
0103,Phnum Srok,103,762.34935205000,210,0.27546425984,46935,4.47427293065
0104,Preah Netr Preah,104,1092.68126864000,257,0.23520124978,87089,2.95100414518
0105,Ou Chrov,105,811.61653913600,705,0.86863680815,155185,4.54296484841
0106,Krong Serei Saophoan,106,269.59735310600,1906,7.06980234799,90279,21.11232955620
0107,Thma Puok,107,1089.63509627000,242,0.22209269950,61189,3.95495922470
0108,Svay Chek,108,813.43358134200,104,0.12785309383,55596,1.87063817541
0109,Malai,109,501.67292013800,59,0.11760650741,42284,1.39532683757
0201,Banan,201,874.44808532800,679,0.77648977840,92138,7.36938071154
0202,Thma Koul,202,856.16416112600,855,0.99864025945,113443,7.53682466084
0203,Krong Battambang,203,115.51160202200,6150,53.24140512590,144323,42.61275056640
0204,Bavel,204,962.22925573500,418,0.43440791008,100000,4.18000000000
0205,Aek Phnum,205,1067.81993652000,546,0.51132216334,68276,7.99695354151
0206,Moung Ruessei,206,1824.97238918000,1452,0.79562847559,152671,9.51064707770
0207,Rotonak Mondol,207,791.99126965400,149,0.18813338696,41170,3.61914015060
0208,Sangkae,208,1169.23925272000,2104,1.79946062802,111663,18.84240975080
0209,Samlout,209,1428.52098040000,40,0.02800098882,39701,1.00753129644
0210,Sampov Lun,210,452.44766803300,64,0.14145282321,35248,1.81570585565
0211,Phnom Proek,211,647.88322462500,73,0.11267462596,49722,1.46816298620
0212,Kamrieng,212,528.74822575300,70,0.13238815109,51053,1.37112412591
0213,Koas Krala,213,1151.86214821000,67,0.05816668262,25766,2.60032601102
0301,Batheay,301,665.59238552500,2527,3.79661795260,102924,24.55209669270
0302,Chamkar Leu,302,600.04037059600,3486,5.80960910436,110967,31.41474492420
0303,Cheung Prey,303,369.29659019200,3084,8.35101130611,83771,36.81464946100
0304,Dambae,304,729.96738166400,344,0.47125393359,80490,4.27382283513
0305,Krong Kampong Cham,305,22.92895251210,9153,399.18962696500,47300,193.50951374200
0306,Kampong Siem,306,431.05469944800,5087,11.80128648760,100047,50.84610233190
0307,Kang Meas,307,389.51892664200,5530,14.19699948260,89727,61.63139300320
0308,Kaoh Soutin,308,186.47368886800,7659,41.07281861850,60434,126.73329582700
0309,Krouch Chhmar,309,559.24070436000,4406,7.87853953700,92845,47.45543648020
0310,Memot,310,1537.03622275000,1353,0.88026552659,148463,9.11338178536
0311,Ou Reang Ov,311,341.81999285500,3738,10.93558035850,80947,46.17836362060
0312,Ponhea Kraek,312,760.12652832900,1543,2.02992520652,135318,11.40276977190
0313,Prey Chhor,313,444.94001145300,6262,14.07380734210,125352,49.95532580250
0314,Srei Santhor,314,347.74936830400,10720,30.82679934770,86563,123.84043991100
0315,Stueng Trang,315,1091.42006209000,2283,2.09177023522,118907,19.19987889700
0316,Tboung Khmum,316,1000.19006998000,6562,6.56075299781,215937,30.38849294010
0401,Baribour,401,433.99313749100,984,2.26731695733,56406,17.44495266460
0402,Chol Kiri,402,328.91446434200,282,0.85736576093,32048,8.79930104843
0403,Krong Kampong Chhnang,403,46.65612510070,2519,53.99076744080,43130,58.40482262930
0404,Kampong Leaeng,404,948.15390097300,849,0.89542425457,44520,19.07008086250
0405,Kampong Tralach,405,464.24588474300,2186,4.70871163718,80835,27.04274138680
0406,Rolea B'ier,406,707.00165737300,1856,2.62517064938,92715,20.01833576010
0407,Sameakki Mean Chey,407,671.63673700200,588,0.87547325452,65754,8.94242175381
0408,Tuek Phos,408,1694.54886000000,322,0.19002107735,56933,5.65577081833
0501,Basedth,501,508.80555869900,3255,6.39733576874,119531,27.23142950360
0502,Krong Chbar Mon,502,80.99134607340,2192,27.06461994120,46850,46.78762006400
0503,Kong Pisei,503,380.98993334200,4559,11.96619543200,112921,40.37335836560
0504,Aoral,504,2380.43993775000,39,0.01638352616,29883,1.30508985042
0505,Odongk,505,521.33160601600,2689,5.15794547841,119213,22.55626483690
0506,Phnum Sruoch,506,1647.28160956000,809,0.49111214215,95227,8.49548972455
0507,Samraong Tong,507,733.58727380700,2431,3.31385247100,142545,17.05426356590
0508,Thpong,508,711.30426925900,351,0.49345971221,50774,6.91298696183
0601,Baray,601,1309.71259600000,5683,4.33911990872,167581,33.91195899300
0602,Kampong Svay,602,1395.35915755000,1564,1.12085837652,89206,17.53245297400
0603,Krong Stueng Saen,603,366.37992813700,2835,7.73786930527,54033,52.46793626120
0604,Prasat Ballangk,604,1373.98417416000,169,0.12299996112,47193,3.58103956095
0605,Prasat Sambour,605,737.93356456300,483,0.65453046615,39402,12.25826100200
0606,Sandan,606,2963.70251328000,453,0.15284934907,49689,9.11670591076
0607,Santuk,607,2591.84156516000,1446,0.55790447203,80229,18.02340799460
0608,Stoung,608,1706.86335690000,1933,1.13248667047,104076,18.57296590950
0701,Angkor Chey,701,316.54430623900,3929,12.41216449820,72684,54.05591326840
0702,Banteay Meas,702,401.14781289700,2292,5.71360462730,83022,27.60714027610
0703,Chhuk,703,1292.74344023000,2346,1.81474523637,99587,23.55729161440
0704,Chum Kiri,704,448.28558080300,356,0.79413662907,47176,7.54620993726
0705,Dang Tong,705,315.13461487600,603,1.91346799601,54261,11.11295405540
0706,Kampong Trach,706,377.37096102400,2482,6.57708264903,85776,28.93583286700
0707,Tuek Chhou,707,1514.09913365000,3183,2.10224015671,106977,29.75405928380
0708,Krong Kampot,708,54.10205848800,1312,24.25046359910,36367,36.07666290870
