NCDD_CodeD,District,TOTPOP,DENSITY,NB_OUTMIGR,MIGRATION,NMR_PER100,Nb_InMIG_1,LSize_Skm,NB_EMIGRAN_PP,Emigr_Skm_PP,EmigPerPOP_PP,NB_EMIGRAN_PAI,Em_perSkm_PAI,Em_perPOP_PAI
502,Krong Chbar Mon,46850,578.4,7500,-529,-11.29,6971,80.99134607,2192,27.06461994,46.78762006,33,0.407450939,0.704375667
503,Kong Pisei,112921,296.4,13270,-7180,-63.58,6090,380.9899333,4559,11.96619543,40.37335837,125,0.328092658,1.106968589
504,Aoral,29883,12.6,1695,4653,155.71,6348,2380.439938,39,0.016383526,1.30508985,10,0.004200904,0.334638423
505,Odongk,119213,228.8,13632,-6760,-56.71,6872,521.331606,2689,5.157945478,22.55626484,253,0.485295726,2.122251768
506,Phnum Sruoch,95227,57.8,8359,3354,35.22,11713,1647.28161,809,0.491112142,8.495489725,137,0.083167322,1.438667605
507,Samraong Tong,142545,194.2,14106,-3851,-27.02,10255,733.5872738,2431,3.313852471,17.05426357,67,0.09133201,0.470027009
508,Thpong,50774,71.4,4706,-1971,-38.82,2735,711.3042693,351,0.493459712,6.912986962,205,0.288202966,4.037499508
601,Baray,167581,127.9,29953,-20000,-120.89,9694,1309.712596,5683,4.339119909,33.91195899,556,0.424520618,3.317798557
602,Kampong Svay,89206,63.9,11357,-5431,-60.88,5926,1395.359158,1564,1.120858377,17.53245297,232,0.166265437,2.600721925
603,Krong Stueng Saen,54033,147.6,11645,-3078,-56.97,8567,366.3799281,2835,7.737869305,52.46793626,70,0.191058501,1.295504599
604,Prasat Ballangk,47193,34.3,2684,-615,-13.03,2069,1373.984174,169,0.122999961,3.581039561,69,0.050218919,1.462081241
605,Prasat Sambour,39402,53.4,4090,-1933,-49.06,2157,737.9335646,483,0.654530466,12.258261,80,0.108410843,2.030353789
606,Sandan,49689,16.8,5869,323,6.5,6192,2963.702513,453,0.152849349,9.116705911,42,0.014171463,0.845257502
607,Santuk,80229,31,8562,2233,27.83,10795,2591.841565,1446,0.557904472,18.02340799,70,0.027007824,0.872502462
608,Stoung,104076,61,14545,-9570,-91.95,4975,1706.863357,1933,1.13248667,18.57296591,220,0.128891396,2.113839886
701,Angkor Chey,72684,229.3,13736,-10000,-146.54,3085,316.5443062,3929,12.4121645,54.05591327,418,1.320510247,5.750921798
702,Banteay Meas,83022,207,13745,-9959,-119.96,3786,401.1478129,2292,5.713604627,27.60714028,253,0.630690214,3.04738503
703,Chhuk,99587,77,22391,-3397,-34.11,18994,1292.74344,2346,1.814745236,23.55729161,490,0.37903886,4.920320925
704,Chum Kiri,47176,105.3,4889,-1604,-34,3285,448.2855808,356,0.794136629,7.546209937,214,0.477374266,4.53620485
705,Dang Tong,54261,172.3,9566,-4737,-87.3,4829,315.1346149,603,1.913467996,11.11295406,143,0.453774334,2.635410332
706,Kampong Trach,85776,227.5,18451,-10000,-168.59,3990,377.370961,2482,6.577082649,28.93583287,120,0.317989491,1.398992725
707,Tuek Chhou,106977,70.7,18591,-6401,-59.84,12190,1514.099134,3183,2.102240157,29.75405928,215,0.141998628,2.009777803
708,Krong Kampot,36367,673.5,4497,2530,69.57,7027,54.10205849,1312,24.2504636,36.07666291,26,0.480573212,0.714933869
801,Kandal Stueng,100460,380.5,13099,-2009,-20,11090,263.6353122,4900,18.58628102,48.77563209,59,0.223793996,0.587298427
802,Kien Svay,172950,449.2,19600,-1381,-7.98,18219,384.61356,7722,20.07729524,44.64874241,126,0.327601554,0.728534258
803,Khsach Kandal,117322,322.3,13252,-7436,-63.38,5816,364.1027382,6684,18.35745601,56.97141201,88,0.241690025,0.75007245
804,Kaoh Thum,141470,293.5,21598,-20000,-120.61,4536,482.3947307,7202,14.92968215,50.90831979,278,0.576291535,1.965080936
805,Leuk Daek,54250,144.3,5798,-3882,-71.56,1916,376.0402412,2328,6.190826792,42.9124424,114,0.303159044,2.101382488
806,Lvea Aem,66734,258.7,9078,-5658,-84.78,3420,258.3971993,4555,17.62790004,68.25606138,33,0.127710363,0.494500554
807,Mukh Kampul,90748,368.9,10424,-279,-3.07,10145,246.236375,4599,18.67717554,50.67880284,41,0.166506675,0.451800591
