longitude,latitude,vil_code,village,school_name,school_dist
103.0026101,13.48919188,1020614,Rung Krabau,Hun Sen Mongkol Borei,4479.293021
103.0199224,13.40528051,1020701,Phnum Touch Tboung,Phnom Thom,2995.065611
103.0189548,13.41069542,1020702,Phnum Touch Cheung,Phnom Thom,2386.881814
103.0169825,13.42604365,1020703,Thnal Bat,Phnom Thom,688.6453656
103.020912,13.39715451,1020704,Ou Nhor,Phnom Thom,3898.91021
103.0021591,13.43225275,1020705,Boeng Tras,Phnom Thom,1363.882158
103.0069392,13.41240826,1020706,Monourom,Phnom Thom,2313.437714
103.038403,13.39748982,1020707,Paoy Ta Sek,Phnom Thom,4586.773907
103.0329383,13.42467751,1020708,Prey Totueng,Phnom Thom,2125.186026
103.0115995,13.40702256,1020709,Boeng Reang,Phnom Thom,2770.369153
103.0170418,13.41881413,1020710,Voat Thmei,Phnom Thom,1465.827157
102.985012,13.49537726,1020801,Pou Pir Daeum,Hun Sen Mongkol Borei,5106.430089
102.9850878,13.48634059,1020802,Rohat Tuek,Hun Sen Mongkol Borei,5805.911877
102.9854859,13.4818161,1020803,Thnal Bat,Hun Sen Mongkol Borei,6163.066683
102.9758994,13.4808443,1020804,Kramol,Phnom Thom,6860.678637
102.9809498,13.47104338,1020805,Khtum Chrum,Phnom Thom,5673.413827
102.9602786,13.47168069,1020806,Chak Lech,Raung Ko,6215.0131
102.968286,13.4660431,1020807,Doun Mul,Raung Ko,6202.173828
102.9622018,13.46265912,1020808,Preaek Samraong,Raung Ko,5498.225331
102.9834909,13.45650471,1020809,Ou Dangkao,Phnom Thom,4346.267805
102.9779664,13.45465289,1020810,Chamkar Chek,Phnom Thom,4714.235358
102.9780194,13.44832723,1020811,Ou Chuob,Phnom Thom,4374.837134
102.9888637,13.43450569,1020812,Ka Svay,Phnom Thom,2818.421224
102.9669378,13.47260225,1020813,Chak Kaeut,Raung Ko,6689.567375
103.0407447,13.54078965,1020901,Anhchanh,Mongkol Borei,2276.7432
103.0049218,13.5443382,1020902,Neang Ket,Mongkol Borei,2380.985835
102.9993346,13.54971593,1020903,Praek Ropov,Mongkol Borei,3225.606189
103.0058153,13.54796027,1020904,Sala Daeng,Mongkol Borei,2579.782676
103.028013,13.54452144,1020905,Samraong,Mongkol Borei,1617.123861
103.0547379,13.540917,1020906,Anlong Mean Troap,Mongkol Borei,3685.905639
103.0190574,13.53058722,1020907,Chamkar Ta Daok,Mongkol Borei,346.2282364
103.040065,13.53919372,1020908,Pralay Luong Kraom,Mongkol Borei,2131.762352
103.0317671,13.53732105,1020909,Luong,Mongkol Borei,1244.883689
103.0521727,13.54171944,1020910,Ou Ta Kol,Mongkol Borei,3450.9872
103.0350715,13.53760912,1020911,Pralay Luong Leu,Mongkol Borei,1569.249032
103.0234321,13.53996654,1020912,Kouk Svay,Mongkol Borei,995.2255467
103.0717511,13.5480078,1020913,Ou Ta Ma,Mongkol Borei,5681.127879
103.0215474,13.54447035,1020914,Kaoh Kaev,Mongkol Borei,1486.684391
103.0315861,13.54135938,1020915,Phasi Sra,Mongkol Borei,1526.21361
103.0252644,13.54178851,1020916,Ruessei Kraok,Mongkol Borei,1233.013454
103.0198571,13.52547837,1020917,Chumteav,Hun Sen Mongkol Borei,84.48551288
103.1781603,13.47877837,1021001,Chhnaeum Meas,Chup Vary,16186.57333
103.1800277,13.47608045,1021002,Sranal,Chup Vary,16487.62714
103.1837421,13.47339587,1021003,La,Rohal,16793.22134
103.1892761,13.47433965,1021004,Ta Meaeng Pok,Rohal,16553.94372
103.1985785,13.46536824,1021005,Sambuor,Rohal,17350.0984
103.2245151,13.4547067,1021006,Doun Loek,Rohal,18347.13174
103.2282353,13.45111755,1021007,Kbal Krabei,Rohal,18754.58124
103.2319223,13.45204734,1021008,Srah Chhuk,Rohal,18670.69949
103.2374694,13.45118242,1021009,Srae Prey,Rohal,18810.48232
103.2468743,13.42774794,1021010,Chaek Angkar,Rohal,21498.25961
103.2377268,13.41593407,1021011,Thma Dab,Thmar Kaul,21899.77069
102.9303872,13.37053751,1021101,Ta Mau,Lovea,3144.892078
102.9278918,13.3720082,1021102,Ansam Chek,Lovea,3092.577729
102.9308967,13.37572897,1021103,Tnaot,Lovea,3617.449319
102.9327506,13.38346181,1021104,Buor,Raung Ko,4387.627136
102.9346697,13.38898109,1021105,Bos Laok,Raung Ko,3790.389684
102.9286216,13.39460684,1021106,Soea,Raung Ko,3167.577344
102.9276831,13.39640655,1021107,Boeng Touch,Raung Ko,2981.829489
102.930319,13.40012434,1021108,Phlov Damrei Leu,Raung Ko,2544.872937
